#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Intro (Difference)","Bryson Tiller",51,108,"r&b","R&B","T R A P S O U L",2015-10-02,01:31,42,71,67,0,62,30,70,-10,A,4,2018-12-14,39a23fzBmNlAzz7fHok1Jo,"TrapSoul/RCA Records",11B,USRC11502181
2,"Home Body","Lil Durk,Gunna,TK Kravitz",0,85,"drill, melodic rap, ","Hip Hop","Just Cause Y'all Waited",2018-03-30,03:23,66,61,26,0,36,60,10,-7,C,4,2019-01-03,0rpqbQCNydbmOXuS5UwAJZ,"Lil Durk",8B,USUYG1190341
3,"No Longer Friends","Bryson Tiller",56,114,"r&b","R&B","True to Self",2017-05-26,02:14,65,66,21,0,38,30,10,-8,B,4,2018-12-14,4IdAIZRVkwuQQnHpi529cn,"TrapSoul/RCA Records",1B,USRC11700938
4,"KeeP IN tOUcH (feat. Bryson Tiller)","Tory Lanez,Bryson Tiller",0,109,"r&b","R&B","LoVE me NOw",2018-10-26,03:19,54,89,31,0,56,40,10,-4,B minor,5,2019-01-03,1BZdJrCYel0jMNmKY8KkUD,"Mad Love/Interscope Records",10A,USUM71811232
5,"Fuck Love","XXXTENTACION,Trippie Redd",85,131,"emo rap, melodic rap","Hip Hop, Rock","17",2017-08-25,02:26,80,53,2,0,33,0,10,-10,C minor,4,2019-01-03,7AQim7LbvFVZJE3O8TYgf2,"Bad Vibes Forever / EMPIRE",5A,USUYG1156898
6,"Let Em' Know","Bryson Tiller",79,111,"r&b","R&B","T R A P S O U L",2015-10-02,04:21,49,41,3,0,18,20,30,-11,A,4,2018-12-14,5QDGKcQLqOJvoiu8eScEaM,"TrapSoul/RCA Records",11B,USRC11502183
7,"From Time","Drake,Jhené Aiko",0,94,"rap, r&b","R&B, Hip Hop","Nothing Was The Same (Deluxe)",2013-01-01,05:22,74,49,63,0,45,40,10,-10,C♯/D♭ minor,4,2019-01-03,10VBBaul4zVD0reteuIHM2,"Aspire Music Group, LLC",12A,USCM51300744
8,"Wednesday Night Interlude","Drake,PARTYNEXTDOOR",64,135,"rap, r&b","R&B, Hip Hop","If You're Reading This It's Too Late",2015-02-12,03:32,31,47,73,0,20,0,20,-8,A minor,4,2019-01-03,6oLHyWvmk6bKrA91EIYZBp,"Cash Money Records/Young Money Ent./Universal Rec.",8A,USCM51500041
9,"Exchange","Bryson Tiller",82,160,"r&b","R&B","T R A P S O U L",2015-10-02,03:14,53,43,11,0,28,10,10,-11,F#/G♭,4,2018-12-14,43PuMrRfbyyuz4QpZ3oAwN,"TrapSoul/RCA Records",2B,USRC11502185
10,"After Dark (feat. Static Major & Ty Dolla $ign)","Drake,Static Major,Ty Dolla $ign",58,142,"rap, ","Hip Hop","Scorpion",2018-06-29,04:49,69,43,4,0,34,10,10,-13,D,4,2019-01-03,3mvYQKm8h6M5K5h0nVPY9S,"Cash Money/Drake LP6",10B,USCM51800213
11,"Diced Pineapples","Rick Ross,Wale,Drake",65,111,"southern hip hop, rap","Hip Hop","God Forgives, I Don't (Deluxe Edition)",2012-01-01,04:36,51,74,35,0,38,20,20,-6,D,5,2019-01-03,27mF2eUbhExYWiOT0y9cuc,"Def Jam Recordings",10B,USUM71207096
12,"24/7 (feat. Ella Mai)","Meek Mill,Ella Mai",62,87,"rap, r&b","R&B, Hip Hop","Championships",2018-11-30,03:41,66,71,1,0,37,30,20,-5,C,4,2019-01-03,6irE4Fbjbry3czv7mTxVSB,"MMG/Atlantic",8B,USAT21812563
13,"Close Friends (Lil Baby & Gunna)","Lil Baby",75,159,"","","Drip Harder",2018-10-05,03:23,67,58,5,0,70,30,0,-5,A#/B♭ minor,4,2019-01-03,5nzhL67GpF9szXWg5y509A,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",3A,USUG11801853
14,"Don't","Bryson Tiller",86,97,"r&b","R&B","T R A P S O U L",2015-10-02,03:18,77,36,22,0,19,20,10,-6,B minor,4,2018-12-14,3pXF1nA74528Edde4of9CC,"TrapSoul/RCA Records",10A,USRC11501051
