Test Song Title,Test Artist,Recommended Song Title,Recommended Artist,Score,
About Damn Time,Lizzo,Sativa,"Jhené Aiko,Rae Sremmurd",0,
Surefire,Wilderado,Summer Of '69,Bryan Adams,1,
Somebody That I Used To Know,"Gotye,Kimbra",Decode,Paramore,1,
Hungry Heart,Bruce Springsteen,Angels Like You,Miley Cyrus,1,
Shut Up Kiss Me,Angel Olsen,Do Me a Favour,Arctic Monkeys,1,
Raging Fire,Phillip Phillips,Just Like Jesse James,Cher,0,
Ladies Don't Play Guitar,Tennis,Club Paradise,Drake,0,
Seventeen,Peach Pit,Heavy Eyes,Zach Bryan,1,
get him back!,Olivia Rodrigo,Tonight,Summer Walker,0,
Wannabe,Spice Girls,You Can't Always Get What You Want,The Rolling Stones,0,
Let Me Love You Tonight,Pure Prairie League,Love Somebody,Morgan Wallen,1,
DEVASTATED,Joey Bada$$,What's the Use?,Mac Miller,1,
Thunderstruck,AC/DC,Fuck You,CeeLo Green,1,
Crush Culture,Conan Gray,Diced Pineapples,"Rick Ross,Wale,Drake",0,
Stand!,The Jackson 5,Black Out Days,Phantogram,0,
Sweet Little Mystery,Wet Wet Wet,SOS,ABBA,0,
Only You,Yazoo,Right Down the Line,Gerry Rafferty,1,
Gila,Beach House,Tightrope,WALK THE MOON,0,
All Night (feat. Knox Fortune),"Chance the Rapper,Knox Fortune",New Freezer (feat. Kendrick Lamar),"Rich The Kid,Kendrick Lamar",1,
Plain Jane,A$AP Ferg,Ether,Nas,1,
Come To My Window,Melissa Etheridge,Train Under Water,Bright Eyes,1,
Runner,Alex G,Does To Me (feat. Eric Church),"Luke Combs,Eric Church",1,
Wandering Star,Portishead,Changing of the Guards,Bob Dylan,0,
Sing Me to Sleep,Alan Walker,SING,My Chemical Romance,0,
Let Em' Know,Bryson Tiller,Over My Dead Body,Drake,1,
Crocodile Rock,Elton John,Genius of Love,Tom Tom Club,0,
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,Aston Martin Music,"Rick Ross,Drake,Chrisette Michele",0,
The Key to Life on Earth,Declan McKenna,Tangled up in Blue,Bob Dylan,1,
Carry Me Out,Mitski,Chelsea Morning,Joni Mitchell,0,
Hey Ya!,Outkast,Questions,Chris Brown,1,
Forgot About Dre,"Dr. Dre,Eminem",Wants and Needs (feat. Lil Baby),"Drake,Lil Baby",0,
She Wants My Money,Dominic Fike,Can't Get Enough,"J. Cole,Trey Songz",0,
Say Yes To Heaven,Lana Del Rey,All The Things She Said,Simple Minds,0,
White Room,Cream,Coyote,Joni Mitchell,0,
Turning Tables,Adele,And It's Still Alright,Nathaniel Rateliff,1,
Let's Work Together,Canned Heat,Your Man,Down With Webster,1,
Bring Me To Life,Evanescence,Can't Fight This Feeling,REO Speedwagon,0,
Catch Me Outside,Ski Mask The Slump God,Nuketown (feat. Juice WRLD),"Ski Mask The Slump God,Juice WRLD",1,
Shit Talk,Sufjan Stevens,All I Want,Joni Mitchell,1,
Teenage Dirtbag,Wheatus,Collard Greens,"ScHoolboy Q,Kendrick Lamar",0,
Beautiful Day,U2,Tangled up in Blue,Bob Dylan,1,
Cross Bones Style,Cat Power,Crash into Me,Dave Matthews Band,1,
Pocketful of Sunshine,Natasha Bedingfield,Lavender Girl,Caamp,1,
I Wanna Get Better,Bleachers,Be Careful What You Wish For,Luke Combs,0,
Comfortably Numb,Pink Floyd,Semi-Charmed Life,Third Eye Blind,0,
Born To Be Wild,Steppenwolf,Ice Cold Pool,Wallows,0,
You Belong With Me,Taylor Swift,betty,Taylor Swift,1,
Year of the Cat,Al Stewart,Tangled up in Blue,Bob Dylan,1,
Runaway Baby,Bruno Mars,Lose Yourself,Eminem,0,
