Test Song Title,Test Artist,Recommended Song Title,Recommended Artist
Stretch You Out (feat. A Boogie wit da Hoodie),"Summer Walker,A Boogie Wit da Hoodie",Happier Than Ever,ASTN
On Melancholy Hill,Gorillaz,Cars,Gary Numan
WHO CARES?,Rex Orange County,Die Young,Sylvan Esso
Solid,Ashford & Simpson,Hang On to Your Love - Long Version,Sade
Should've Been Me,Mitski,Puppy Grin,Peach Pit
People Watching,Conan Gray,Off My Mind,Joe P
Easy On Me,Adele,Million Reasons,Lady Gaga
Roads,Portishead,Undo,Björk
High Road,Zach Bryan,The Predatory Wasp of the Palisades Is Out to Get Us!,Sufjan Stevens
The King,Sarah Kinsley,Drunk on Halloween,Wallows
What You Waiting For?,Gwen Stefani,Bad Romance,Lady Gaga
The Night We Met,Lord Huron,High Road,Zach Bryan
Sex on Fire,Kings of Leon,love is embarrassing,Olivia Rodrigo
Waterloo,ABBA,Love Grows (Where My Rosemary Goes),Edison Lighthouse
Empty Mansions,Local Natives,Ladies Don't Play Guitar,Tennis
Kids,MGMT,On Melancholy Hill,Gorillaz
Lavender Haze,Taylor Swift,In Your Eyes,The Weeknd
Historians,Lucy Dacus,Appointments,Julien Baker
Lose Yourself,Eminem,Relationship (feat. Future),"Young Thug,Future"
Revenge,XXXTENTACION,All I Need,Radiohead
Solo,Frank Ocean,CPR,Summer Walker
Landslide,The Chicks,I Hate It Here,Taylor Swift
(Everything I Do) I Do It For You,Bryan Adams,Heart-Shaped Box,Nirvana
Blister In The Sun,Violent Femmes,Canyon Moon,Harry Styles
Hello,Lionel Richie,All at Once,Whitney Houston
My Love Mine All Mine,Mitski,Infrunami,Steve Lacy
Carried Away,Passion Pit,These Days,Wallows
Patience,Take That,NOKIA,Drake
Africa,TOTO,Jessie's Girl,Rick Springfield
Razor Boy,Steely Dan,Rikki Don't Lose That Number,Steely Dan
Semi-Charmed Life,Third Eye Blind,Supermassive Black Hole,Muse
Chasing The Sun,The Wanted,Break the Ice,Britney Spears
A Forest,The Cure,Cornflake Girl,Tori Amos
(You Make Me Feel Like) A Natural Woman,Carole King,We've Only Just Begun,Carpenters
Sound of da Police,KRS-One,Stronger,Kanye West
Wishes,Beach House,Lies,MARINA
Amber,311,Losing My Religion,R.E.M.
LOVE YOU BETTER,Future,Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock"
Natural Blues,Moby,Sour Times,Portishead
Weekend in New England,Barry Manilow,Goodbye To Love,Carpenters
Just Like Jesse James,Cher,All Through the Night,Cyndi Lauper
Heaven Is A Place On Earth,Belinda Carlisle,Club Tropicana,Wham!
Last Night Lonely,Jon Pardi,Homegrown,Zac Brown Band
Somewhere in My Heart,Aztec Camera,Dancing On The Ceiling,Lionel Richie
Say My Name,"ODESZA,Zyra",Too Close,Alex Clare
Get Your Wish,Porter Robinson,So Hot You're Hurting My Feelings,Caroline Polachek
Wish You Were Here,Pink Floyd,Wonderful Tonight,Eric Clapton
I Dare You,The xx,Buzzcut Season,Lorde
SOS,Rihanna,Luxurious,Gwen Stefani
You Said Something,PJ Harvey,No One Knows,Queens of the Stone Age
Respect,Aretha Franklin,This Old Heart Of Mine (Is Weak For You),The Isley Brothers
Love's Train,"Bruno Mars,Anderson .Paak,Silk Sonic",Dynamite,BTS
big fat mouth,Arlie,You Wouldn't like Me,Tegan and Sara
Lucky,Britney Spears,"yes, and?",Ariana Grande
Luka,Suzanne Vega,Xanadu,Olivia Newton-John
Hot N Cold,Katy Perry,I Don't Feel Like Dancin',Scissor Sisters
Mississippi Queen,Mountain,Living Next Door to Alice,Smokie
Innerbloom,RÜFÜS DU SOL,How to Save a Life,The Fray
Outskirts,Sam Hunt,Hurricane,Luke Combs
Never Is a Promise,Fiona Apple,Every Single Night,Fiona Apple
the 1,Taylor Swift,my tears ricochet,Taylor Swift
Thank U,Alanis Morissette,Hand in My Pocket,Alanis Morissette
I Hate Myself for Loving You,Joan Jett & the Blackhearts,What I Like About You,The Romantics
Somebody To You,The Vamps,Calling After Me,Wallows
Midnight Rider,Allman Brothers Band,Good Riddance (Time of Your Life),Green Day
Cum on Feel the Noize,Quiet Riot,Rebel Yell,Billy Idol
Working For It,"ZHU,Skrillex,THEY.",Keep Moving,Jungle
Young Hearts Run Free,Candi Staton,I'm Every Woman,Chaka Khan
Take A Look Around,Limp Bizkit,I Miss You,blink-182
Nellie,Dr. Dog,Faith Healer,Julien Baker
Crank That (Soulja Boy),Soulja Boy,OOOUUU,Young M.A
No Love,Death Grips,Pass Out,Tinie Tempah
Stoned Love - Single Version,The Supremes,Farewell Is A Lonely Sound,Jimmy Ruffin
Middle of a Memory,Cole Swindell,We Are Tonight,Billy Currington
Girls Like (feat. Zara Larsson),"Tinie Tempah,Zara Larsson",Fuck You,CeeLo Green
Was It Something I Said,MyKey,Harmony Hall,Vampire Weekend
CANDY (feat. Nipsey Hussle),"PARTYNEXTDOOR,Nipsey Hussle",DEEPER,PARTYNEXTDOOR
Temperature,Sean Paul,The Real Slim Shady,Eminem
"Sunflower, Vol. 6",Harry Styles,Puppy Grin,Peach Pit
Stakes Is High,De La Soul,Let Me Ride,"Dr. Dre,Snoop Dogg,RBX,Jewell"
Jimmy,M.I.A.,"Heavy, California",Jungle
Edge of Seventeen,Stevie Nicks,Alive And Kicking,Simple Minds
Blue Bucket of Gold,Sufjan Stevens,Lua,Bright Eyes
The Man Who Sold The World - Live,Nirvana,Take A Look Around,Limp Bizkit
Style,Taylor Swift,F2F,SZA
Linger,The Cranberries,What's Up?,4 Non Blondes
If,Bread,Everything I Own,Bread
Two Weeks,FKA twigs,On Hold,The xx
Lazuli,Beach House,It's Only Right,Wallows
Running Away,Thee Sacred Souls,Milk & Honey,Hollie Cook
Bark at the Moon,Ozzy Osbourne,Hayloft II,Mother Mother
Bitch Better Have My Money,Rihanna,Work It,Missy Elliott
Questions,Chris Brown,Confident,"Justin Bieber,Chance the Rapper"
Something That I Want,Grace Potter,get him back!,Olivia Rodrigo
Prey,The Neighbourhood,Purple Yellow Red and Blue,Portugal. The Man
Hell Broke Luce,Tom Waits,We Float,PJ Harvey
Night Shift,Jon Pardi,Save a Horse (Ride a Cowboy),Big & Rich
Miss America,David Byrne,Ocean Man,Ween
Dark Necessities,Red Hot Chili Peppers,Viva La Vida,Coldplay
You Wouldn't like Me,Tegan and Sara,big fat mouth,Arlie
