Test Song Title,Test Artist,Recommended Song Title,Recommended Artist,Score
Stretch You Out (feat. A Boogie wit da Hoodie),"Summer Walker,A Boogie Wit da Hoodie",Happier Than Ever,ASTN,0
On Melancholy Hill,Gorillaz,Cars,Gary Numan,1
WHO CARES?,Rex Orange County,Die Young,Sylvan Esso,0
Solid,Ashford & Simpson,Hang On to Your Love - Long Version,Sade,1
Should've Been Me,Mitski,Puppy Grin,Peach Pit,1
People Watching,Conan Gray,Off My Mind,Joe P,0
Easy On Me,Adele,Million Reasons,Lady Gaga,1
Roads,Portishead,Undo,Björk,1
High Road,Zach Bryan,The Predatory Wasp of the Palisades Is Out to Get Us!,Sufjan Stevens,0
The King,Sarah Kinsley,Drunk on Halloween,Wallows,1
What You Waiting For?,Gwen Stefani,Bad Romance,Lady Gaga,1
The Night We Met,Lord Huron,High Road,Zach Bryan,1
Sex on Fire,Kings of Leon,love is embarrassing,Olivia Rodrigo,0
Waterloo,ABBA,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1
Empty Mansions,Local Natives,Ladies Don't Play Guitar,Tennis,0
Kids,MGMT,On Melancholy Hill,Gorillaz,1
Lavender Haze,Taylor Swift,In Your Eyes,The Weeknd,0
Historians,Lucy Dacus,Appointments,Julien Baker,1
Lose Yourself,Eminem,Relationship (feat. Future),"Young Thug,Future",0
Revenge,XXXTENTACION,All I Need,Radiohead,0
Solo,Frank Ocean,CPR,Summer Walker,0
Landslide,The Chicks,I Hate It Here,Taylor Swift,1
(Everything I Do) I Do It For You,Bryan Adams,Heart-Shaped Box,Nirvana,0
Blister In The Sun,Violent Femmes,Canyon Moon,Harry Styles,1
Hello,Lionel Richie,All at Once,Whitney Houston,1
My Love Mine All Mine,Mitski,Infrunami,Steve Lacy,1
Carried Away,Passion Pit,These Days,Wallows,1
Patience,Take That,NOKIA,Drake,0
Africa,TOTO,Jessie's Girl,Rick Springfield,1
Razor Boy,Steely Dan,Rikki Don't Lose That Number,Steely Dan,1
Semi-Charmed Life,Third Eye Blind,Supermassive Black Hole,Muse,0
Chasing The Sun,The Wanted,Break the Ice,Britney Spears,1
A Forest,The Cure,Cornflake Girl,Tori Amos,0
(You Make Me Feel Like) A Natural Woman,Carole King,We've Only Just Begun,Carpenters,1
Sound of da Police,KRS-One,Stronger,Kanye West,1
Wishes,Beach House,Lies,MARINA,0
Amber,311,Losing My Religion,R.E.M.,1
LOVE YOU BETTER,Future,Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock",1
Natural Blues,Moby,Sour Times,Portishead,0
Weekend in New England,Barry Manilow,Goodbye To Love,Carpenters,1
Just Like Jesse James,Cher,All Through the Night,Cyndi Lauper,1
Heaven Is A Place On Earth,Belinda Carlisle,Club Tropicana,Wham!,1
Last Night Lonely,Jon Pardi,Homegrown,Zac Brown Band,1
Somewhere in My Heart,Aztec Camera,Dancing On The Ceiling,Lionel Richie,1
Say My Name,"ODESZA,Zyra",Too Close,Alex Clare,1
Get Your Wish,Porter Robinson,So Hot You're Hurting My Feelings,Caroline Polachek,0
Wish You Were Here,Pink Floyd,Wonderful Tonight,Eric Clapton,1
I Dare You,The xx,Buzzcut Season,Lorde,0
SOS,Rihanna,Luxurious,Gwen Stefani,0
You Said Something,PJ Harvey,No One Knows,Queens of the Stone Age,0
Respect,Aretha Franklin,This Old Heart Of Mine (Is Weak For You),The Isley Brothers,1
Love's Train,"Bruno Mars,Anderson .Paak,Silk Sonic",Dynamite,BTS,0
big fat mouth,Arlie,You Wouldn't like Me,Tegan and Sara,1
Lucky,Britney Spears,"yes, and?",Ariana Grande,0
Luka,Suzanne Vega,Xanadu,Olivia Newton-John,1
Hot N Cold,Katy Perry,I Don't Feel Like Dancin',Scissor Sisters,0
Mississippi Queen,Mountain,Living Next Door to Alice,Smokie,0
Innerbloom,RÜFÜS DU SOL,How to Save a Life,The Fray,0
Outskirts,Sam Hunt,Hurricane,Luke Combs,1
Never Is a Promise,Fiona Apple,Every Single Night,Fiona Apple,0
the 1,Taylor Swift,my tears ricochet,Taylor Swift,1
Thank U,Alanis Morissette,Hand in My Pocket,Alanis Morissette,1
I Hate Myself for Loving You,Joan Jett & the Blackhearts,What I Like About You,The Romantics,1
Somebody To You,The Vamps,Calling After Me,Wallows,1
Midnight Rider,Allman Brothers Band,Good Riddance (Time of Your Life),Green Day,0
Cum on Feel the Noize,Quiet Riot,Rebel Yell,Billy Idol,1
Working For It,"ZHU,Skrillex,THEY.",Keep Moving,Jungle,1
Young Hearts Run Free,Candi Staton,I'm Every Woman,Chaka Khan,1
Take A Look Around,Limp Bizkit,I Miss You,blink-182,0
Nellie,Dr. Dog,Faith Healer,Julien Baker,0
Crank That (Soulja Boy),Soulja Boy,OOOUUU,Young M.A,0
No Love,Death Grips,Pass Out,Tinie Tempah,0
Stoned Love - Single Version,The Supremes,Farewell Is A Lonely Sound,Jimmy Ruffin,1
Middle of a Memory,Cole Swindell,We Are Tonight,Billy Currington,1
Girls Like (feat. Zara Larsson),"Tinie Tempah,Zara Larsson",Fuck You,CeeLo Green,0
Was It Something I Said,MyKey,Harmony Hall,Vampire Weekend,0
CANDY (feat. Nipsey Hussle),"PARTYNEXTDOOR,Nipsey Hussle",DEEPER,PARTYNEXTDOOR,1
Temperature,Sean Paul,The Real Slim Shady,Eminem,0
"Sunflower, Vol. 6",Harry Styles,Puppy Grin,Peach Pit,1
Stakes Is High,De La Soul,Let Me Ride,"Dr. Dre,Snoop Dogg,RBX,Jewell",1
Jimmy,M.I.A.,"Heavy, California",Jungle,0
Edge of Seventeen,Stevie Nicks,Alive And Kicking,Simple Minds,1
Blue Bucket of Gold,Sufjan Stevens,Lua,Bright Eyes,1
The Man Who Sold The World - Live,Nirvana,Take A Look Around,Limp Bizkit,0
Style,Taylor Swift,F2F,SZA,1
Linger,The Cranberries,What's Up?,4 Non Blondes,1
If,Bread,Everything I Own,Bread,1
Two Weeks,FKA twigs,On Hold,The xx,0
Lazuli,Beach House,It's Only Right,Wallows,0
Running Away,Thee Sacred Souls,Milk & Honey,Hollie Cook,0
Bark at the Moon,Ozzy Osbourne,Hayloft II,Mother Mother,1
Bitch Better Have My Money,Rihanna,Work It,Missy Elliott,1
Questions,Chris Brown,Confident,"Justin Bieber,Chance the Rapper",1
Something That I Want,Grace Potter,get him back!,Olivia Rodrigo,1
Prey,The Neighbourhood,Purple Yellow Red and Blue,Portugal. The Man,1
Hell Broke Luce,Tom Waits,We Float,PJ Harvey,0
Night Shift,Jon Pardi,Save a Horse (Ride a Cowboy),Big & Rich,1
Miss America,David Byrne,Ocean Man,Ween,0
Dark Necessities,Red Hot Chili Peppers,Viva La Vida,Coldplay,1
You Wouldn't like Me,Tegan and Sara,big fat mouth,Arlie,
,,,,58
