#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Levitating (feat. DaBaby)","Dua Lipa,DaBaby",84,103,"pop, ","Pop","Future Nostalgia",2020-03-27,03:23,70,83,1,0,92,0,0,-4,F#/G♭ minor,4,2025-03-02,5nujrmhLynf4yMoMtj8AQF,"Warner Records",11A,GBAHT2000942
2,"Easy On Me","Adele",85,142,"soft pop","Pop","30",2021-11-19,03:44,60,37,58,0,13,0,10,-8,F,4,2025-03-02,46IZ0fSY2mpAiktS3KOqds,"Columbia",7B,USSM12105970
3,"Kiss Me More (feat. SZA)","Doja Cat,SZA",86,111,"r&b","R&B","Planet Her",2021-06-25,03:28,76,71,26,0,78,0,10,-3,G#/A♭,4,2025-03-02,3DarAbFujv6eYNliUTyqtz,"Kemosabe Records/RCA Records",4B,USRC12100543
4,"we can't be friends (wait for your love)","Ariana Grande",89,116,"pop","Pop","eternal sunshine",2024-03-08,03:48,65,65,6,0,30,0,0,-8,F,4,2025-03-02,51ZQ1vr10ffzbwIjDCwqm4,"Republic Records",7B,USUM72317276
5,"Kill Bill","SZA",85,89,"r&b","R&B","SOS",2022-12-08,02:33,64,74,5,14,42,0,10,-6,G#/A♭,4,2025-03-02,1Qrg8KqiBpW07V7PNxwwwL,"Top Dawg Entertainment/RCA Records",4B,USRC12204584
6,"What Was I Made For? [From The Motion Picture  Barbie ]","Billie Eilish",88,79,"","","What Was I Made For? [From The Motion Picture  Barbie ]",2023-07-13,03:42,39,8,95,0,11,0,10,-18,C,4,2025-03-02,6wf7Yu7cxBSPrRlWeSeK0Q,"Darkroom/Interscope Records",8B,USUM72307484
7,"Good Luck, Babe!","Chappell Roan",94,117,"","","Good Luck, Babe!",2024-04-05,03:38,70,58,5,0,79,0,0,-6,B minor,4,2025-03-02,0WbMK4wrZ1wFSty9F7FCgu,"Chappell Roan PS/ Island",10A,USUG12401967
8,"Austin (Boots Stop Workin')","Dasha",88,115,"","","What Happens Now?",2024-02-16,02:51,76,67,46,0,74,0,10,-7,C,4,2025-03-02,2uqYupMHANxnwgeiXTZXzd,"Warner Records",8B,QZTB92360479
9,"Espresso","Sabrina Carpenter",90,104,"","","Espresso",2024-04-12,02:55,70,76,11,0,69,0,10,-5,C,4,2025-03-02,2qSkIjg1o9h3YT9RAgYN75,"Island Records",8B,USUM72403305
10,"Kings & Queens","Ava Max",82,130,"","","Heaven & Hell",2020-09-18,02:42,64,69,1,0,46,0,10,-4,C♯/D♭ minor,4,2025-03-02,7a53HqqArd4b9NF4XAmlbI,"Atlantic Records",12A,USAT21906943
11,"Die With A Smile","Lady Gaga,Bruno Mars",98,158,"art pop, pop, ","Pop","Die With A Smile",2024-08-16,04:11,52,59,31,0,54,0,10,-8,F#/G♭ minor,3,2025-03-02,2plbrEY59IikOBgBGLjaoe,"Interscope",11A,USUM72409273
12,"Not Like Us","Kendrick Lamar",94,101,"hip hop, west coast hip hop","Hip Hop","Not Like Us",2024-05-04,04:34,90,47,1,0,21,0,10,-7,C♯/D♭,4,2025-03-02,6AI3ezQ4o3HUoP6Dhudph3,"Kendrick Lamar, under exclusive license to Interscope Records",3B,USUG12400910
13,"Si Antes Te Hubiera Conocido","KAROL G",94,128,"reggaeton, latin, urbano latino","Latin","Si Antes Te Hubiera Conocido",2024-06-21,03:15,92,67,45,0,79,0,0,-7,B,4,2025-03-02,6WatFBLVB0x077xWeoVc2k,"Bichota/Interscope Records",1B,USUG12400968
14,"BIRDS OF A FEATHER","Billie Eilish",100,105,"","","HIT ME HARD AND SOFT",2024-05-17,03:30,75,51,20,6,44,0,10,-10,D,4,2025-03-02,6dOtVTDdiauQNBQEDOtlAB,"Darkroom/Interscope Records",10B,USUM72401994
15,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd,JENNIE,Lily-Rose Depp",94,85,"k-pop, ","Pop","The Idol Episode 4 (Music from the HBO Original Series)",2023-06-23,04:04,26,64,4,0,19,0,10,-6,G#/A♭,4,2025-03-02,7CyPwkp0oE8Ro9Dd5CUDjW,"XO / Republic Records",4B,USUG12303881
16,"Beautiful Things","Benson Boone",93,105,"","","Fireworks & Rollerblades",2024-04-05,03:00,47,47,15,0,22,0,10,-6,A#/B♭,3,2025-03-02,3xkHsmpQCBMytMJNiDf3Ii,"Night Street Records, Inc./Warner Records Inc.",6B,USWB12307016
17,"Lose Control","Teddy Swims",92,160,"","","I've Tried Everything But Therapy (Part 1)",2023-09-15,03:30,56,60,20,0,24,0,10,-4,A,3,2025-03-02,17phhZDn6oGtzMe56NuWvj,"Warner Records",11B,USWB12302315
18,"End of Beginning","Djo",91,160,"psychedelic pop","Pop, Rock","DECIDE",2022-09-16,02:39,69,45,4,0,91,0,0,-8,D,4,2025-03-02,3qhlB30KknSejmIvZZLjOD,"Djo",10B,GBKPL2205058
19,"APT.","ROSÉ,Bruno Mars",90,149,"k-pop, ","Pop","rosie",2024-12-06,02:49,78,78,3,0,94,20,30,-4,C minor,4,2025-03-02,4wJ5Qq0jBN4ajy7ouZIV1c,"Atlantic Records",5A,USAT22409172
