#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Chicken Fried","Zac Brown Band",5,170,"country, acoustic country","Country, Folk","The Foundation",2008-11-17,03:58,57,71,65,0,81,0,10,-4,F#/G♭,4,2021-05-30,4dGJf1SER1T6ooX46vwzRB,"Home Grown/Big Picture/Atlantic",2B,USAT20804178
2,"Whiskey Glasses","Morgan Wallen",13,150,"country","Country","If I Know Me",2018-04-27,03:54,61,68,37,0,71,0,10,-5,F#/G♭,4,2023-05-26,6foY66mWZN0pSRjZ408c00,"Big Loud Records",2B,QZ22S1500059
3,"Life is a Highway","Rascal Flatts",76,103,"country","Country","Me And My Gang",2006-01-01,04:36,58,95,0,0,66,0,20,-4,F,4,2021-09-13,2Fs18NaCDuluPG1DHGw1XG,"Lyric Street",7B,USL2S0620350
4,"One Of Them Girls","Lee Brice",68,96,"country, acoustic country","Country, Folk","One Of Them Girls",2020-04-10,03:08,64,79,29,0,80,0,10,-6,E,4,2021-09-13,14GwnOeC9qYEKEA6uOZepa,"Curb Records",12B,USCRB1900135
5,"This Is How We Roll","Florida Georgia Line,Luke Bryan",73,132,"country, pop country, acoustic country","Country, Folk, Pop","Here's To The Good Times...This Is How We Roll",2013-01-01,03:40,56,93,2,0,72,0,40,-3,G#/A♭,4,2021-09-13,2TR7A4ulH9R1PNwMyd8o8U,"Big Machine Label Group",4B,USUM71314750
6,"She Got the Best of Me","Luke Combs",82,151,"country","Country","This One's for You Too (Deluxe Edition)",2018-06-01,03:03,53,91,3,0,70,0,30,-4,B,4,2023-05-26,698eQRku24PIYPQPHItKlA,"River House Artists/Columbia Nashville",1B,US6XF1700267
7,"Toes","Zac Brown Band",3,130,"country, acoustic country","Country, Folk","The Foundation",2008-11-17,04:22,80,76,66,0,82,0,0,-5,B,4,2021-09-13,5kjyiH6but1t2UDXq15aeS,"Home Grown/Big Picture/Atlantic",1B,USAT20804232
8,"House Party","Sam Hunt",72,104,"country, pop country","Country, Pop","Montevallo",2014-10-24,03:10,75,86,11,0,86,0,0,-5,G#/A♭,4,2021-09-13,1TwLKNsCnhi1HxbIi4bAW0,"MCA Nashville",4B,USUM71411592
9,"Wasted On You","Morgan Wallen",82,196,"country","Country","Dangerous: The Double Album",2021-01-08,02:58,51,66,37,0,25,0,10,-5,B minor,3,2021-09-13,3cBsEDNhFI9E82vPj3kvi3,"Big Loud / Republic",10A,USUG12004194
10,"Sand In My Boots","Morgan Wallen",77,70,"country","Country","Dangerous: The Double Album",2021-01-08,03:22,40,54,59,0,41,0,10,-7,D#/E♭,4,2021-09-16,0uRrG2jRR5tuifsYIJHEao,"Big Loud / Republic",5B,USUG12004193
11,"This Bar","Morgan Wallen",52,110,"country","Country","This Bar",2019-12-31,03:05,55,88,12,0,27,0,0,-5,D,4,2021-09-19,3746VOqCr3ys3lQdhmDoyH,"Loud / Republic",10B,QZ22S1800099
12,"Buy Dirt","Jordan Davis,Luke Bryan",81,178,"country, acoustic country","Country, Folk","Buy Dirt",2021-05-21,02:47,59,56,64,0,44,0,0,-7,E,4,2021-10-26,69AIpwGNLxr4qS1X5ynx60,"MCA Nashville",12B,USUM72104058
13,"Cover Me Up","Morgan Wallen",80,128,"country","Country","Dangerous: The Double Album",2021-01-08,04:53,55,44,23,0,21,0,10,-8,G,3,2022-01-30,0mKnuxVkPi5h0kuvZl44VM,"Big Loud / Republic",9B,QZ22S1800057
14,"Sand In My Boots (The Dangerous Sessions) - Bonus","Morgan Wallen",54,140,"country","Country","Dangerous: The Double Album (Bonus)",2021-01-29,03:16,41,27,93,0,47,0,10,-9,D#/E♭,4,2022-01-30,6wR4Kp6gby7SEsD7ezK78c,"Big Loud / Republic",5B,USUG12100503
15,"865","Morgan Wallen",72,88,"country","Country","Dangerous: The Double Album",2021-01-08,03:10,53,58,72,0,37,0,10,-5,G#/A♭,4,2022-01-30,0sKEilrw1GrBlG6qsTCrP4,"Big Loud / Republic",4B,USUG12004197
16,"Humble And Kind","Tim McGraw",71,101,"country","Country","Damn Country Music",2015-01-01,04:19,36,48,68,0,14,0,10,-7,B,3,2022-01-30,4Pn0JlCUusD2QHjADuOzuV,"Big Machine Records, LLC",1B,USCJY1518469
17,"Beautiful Crazy","Luke Combs",82,103,"country","Country","This One's for You Too (Deluxe Edition)",2018-06-01,03:13,55,40,68,0,38,0,0,-7,B,4,2022-01-30,2rxQMGVafnNaRaXlRMWPde,"River House Artists/Columbia Nashville",1B,US6XF1700259
18,"Chasing After You (with Maren Morris)","Ryan Hurd,Maren Morris",63,132,"country","Country","Chasing After You (with Maren Morris)",2021-02-12,03:27,60,68,72,0,48,0,10,-6,E,4,2022-01-30,1ZIKpMTRPqhwAoVXWY3tXI,"Arista Nashville",12B,USRN12000200
19,"Almost Maybes","Jordan Davis",65,180,"country","Country","Buy Dirt",2021-05-21,02:59,48,86,16,0,53,0,10,-4,B,4,2022-01-30,1BVzLiBS3MWmXzqcxBFJDt,"MCA Nashville",1B,USUM72007270
20,"Forever After All","Luke Combs",78,152,"country","Country","What You See Ain't Always What You Get (Deluxe Edition)",2020-10-23,03:52,49,65,19,0,46,0,0,-5,C,4,2022-02-02,6IBcOGPsniK3Pso1wHIhew,"River House Artists/Columbia Nashville",8B,US6XF2000192
21,"Better Together","Luke Combs",74,138,"country","Country","What You See Is What You Get",2019-11-08,03:39,55,23,83,0,67,0,10,-12,C,4,2022-02-02,6gdLyYNuhWBzqwlOFSsXC7,"River House Artists/Columbia Nashville",8B,US6XF1800183
22,"May We All","Florida Georgia Line,Tim McGraw",70,150,"country, pop country, acoustic country","Country, Folk, Pop","Dig Your Roots",2016-08-26,03:46,51,92,4,0,63,0,30,-4,G,4,2022-02-23,498ZVInMGDkmmNVpSWqHiZ,"Big Machine Label Group, LLC",9B,QM3E21602022
23,"Colder Weather","Zac Brown Band",72,136,"country, acoustic country","Country, Folk","You Get What You Give",2010-09-20,04:33,67,38,46,0,20,0,10,-7,D#/E♭,4,2022-02-23,3U8dHeggJ8IBe0UCb1gbyB,"Home Grown Music",5B,USAT21001364
24,"Flower Shops","ERNEST,Morgan Wallen",5,128,"country","Country","Flower Shops",2021-12-31,03:34,53,46,12,0,23,0,0,-6,G,3,2022-02-23,2ccuOtUjIyx3tPcsnpeBzJ,"Big Loud Records",9B,QZ22S2100091
25,"'Til You Can't","Cody Johnson",77,160,"texas country, country, red dirt","Country","Human The Double Album",2021-10-08,03:44,50,82,5,0,46,0,10,-5,C♯/D♭,4,2022-05-22,4k3lPl8YTKuY8c1HelVnm3,"CoJo Music/Warner Music Nashville",3B,QMCQK1900137
26,"Want It Again","Thomas Rhett",56,91,"country, acoustic country, pop country","Country, Folk, Pop","Country Again (Side A)",2021-04-30,02:52,49,52,66,0,37,0,10,-9,A,4,2022-02-23,3VvPREisNL7yBoePVbLbyZ,"The Valory Music Co.",11B,USLXJ2107587
27,"Night Shift","Jon Pardi",35,96,"country, acoustic country","Country, Folk","Night Shift",2016-00-00,02:52,63,75,10,0,73,0,20,-4,D,4,2022-02-24,2rWWh7X1oDMYQL1LOUUjRi,"Capitol Records Nashville",10B,USUM71601617
28,"Picture (feat. Sheryl Crow)","Kid Rock,Sheryl Crow",72,98,"","","Cocky",2001-00-00,04:58,69,50,17,0,38,0,10,-7,G,4,2023-01-17,69j0KoPJuwpnbGWrfn7Yll,"Top Dog/Atlantic",9B,USAT20110175
29,"Somebody’s Problem","Morgan Wallen",75,137,"country","Country","Dangerous: The Double Album",2021-01-08,02:41,66,54,66,0,62,0,10,-8,F,4,2022-05-22,42lqBjPYlmL1EXpMDXvhSN,"Big Loud / Republic",7B,USUG12004195
30,"More Surprised Than Me","Morgan Wallen",63,85,"country","Country","Dangerous: The Double Album",2021-01-08,02:37,52,75,24,0,43,0,10,-6,F#/G♭,4,2022-05-22,5NhcE6cuJjVYyVEKp97zOt,"Big Loud / Republic",2B,USUG12004196
31,"7 Summers","Morgan Wallen",82,204,"country","Country","Dangerous: The Double Album",2021-01-08,03:30,47,79,42,0,57,0,10,-5,C,4,2023-05-26,4obHzpwGrjoTuZh2DItEMZ,"Big Loud / Republic",8B,QZ22S1800133
32,"Dangerous","Morgan Wallen",72,119,"country","Country","Dangerous: The Double Album",2021-01-08,02:27,64,77,22,0,95,0,20,-5,G,4,2023-05-26,1MX19fnaW1OUQoglWTYaOo,"Big Loud / Republic",9B,USUG12004208
33,"More Than My Hometown","Morgan Wallen",81,126,"country","Country","Dangerous: The Double Album",2021-01-08,03:36,62,87,62,0,60,0,10,-5,F#/G♭,4,2023-05-26,5OELUCYgOHKFAvCERnAvfS,"Big Loud / Republic",2B,QZ22S1800117
34,"This Bar","Morgan Wallen",74,110,"country","Country","Dangerous: The Double Album",2021-01-08,03:05,55,88,9,0,25,0,0,-5,D,4,2023-05-26,075qcpR3BnxD5CWUIx1HTr,"Big Loud / Republic",10B,QZ22S1800099
35,"Heartless (feat. Morgan Wallen)","Diplo,Morgan Wallen",79,111,"moombahton, country","Country, Electronic, Latin","Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil",2020-05-29,02:49,77,56,28,0,27,0,0,-6,B,4,2022-05-22,3FU6urUVsgXa6RBuV2PdRk,"Columbia",1B,USSM11905215
36,"Whiskey On You","Nate Smith",68,110,"country","Country","Whiskey On You",2022-05-06,03:03,48,77,0,1,58,0,10,-5,G#/A♭,4,2022-05-22,6Tm4Io4ct4w14nB1EUzsY3,"Arista Nashville",4B,USRN12200053
37,"When It Rains It Pours","Luke Combs",86,128,"country","Country","This One's for You",2017-06-02,04:00,55,80,1,0,63,0,20,-5,F#/G♭,4,2023-05-26,1mMLMZYXkMueg65jRRWG1l,"River House Artists/Columbia Nashville",2B,QZ4751600015
38,"Thought You Should Know","Morgan Wallen",65,140,"country","Country","Thought You Should Know",2022-05-06,03:35,53,70,49,0,51,0,10,-6,F#/G♭,4,2022-05-22,6NHpyYvJyQsg2nXXzGYc2R,"Big Loud Records / Republic Records",2B,USUG12202977
39,"Cruise","Florida Georgia Line",74,148,"country, pop country, acoustic country","Country, Folk, Pop","Here's To The Good Times",2012-01-01,03:28,46,95,2,0,88,0,0,-3,A#/B♭,4,2022-05-22,0i5el041vd6nxrGEU8QRxy,"BMX",6B,USUM71207991
