#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Shelter","Porter Robinson,Madeon",5,200,"edm, electronic, french house","Electronic","Shelter",2016-08-12,03:38,28,80,0,0,26,0,10,-4,C,4,2020-09-24,2CgOd0Lj5MuvOqzqdaAXtS,"popcultur, Madeon appears courtesy of Columbia Records, a division of Sony Music Entertainment UK Limited",8B,QMUY41600040
2,"Don't You Worry Child - Radio Edit","Swedish House Mafia,John Martin",83,129,"edm, ","Electronic","Don't You Worry Child",2012-09-14,03:32,61,84,11,0,44,0,10,-3,B minor,4,2020-09-24,2V65y3PX4DkRhy1djlxd9p,"Virgin Records",10A,GBAAA1200728
3,"Levels - Radio Edit","Avicii",14,126,"edm","Electronic","Levels",2011-10-28,03:19,62,88,6,71,42,0,30,-6,C♯/D♭ minor,4,2020-09-24,0JhKJg5ejeQ8jq89UQtnw8,"Virgin",12A,SEUM71100962
4,"Spectrum","Zedd,Matthew Koma",66,130,"edm, ","Electronic","Clarity",2012-01-01,04:03,61,80,1,0,41,0,10,-4,C minor,4,2020-09-24,1dFkD1JfRMzwO6hwUsE8aS,"Interscope",5A,USUM71205604
5,"Pressure - Alesso UK Radio Edit","Nadia Ali,Starkillers,Alex Kenji,Alesso",0,128,"trance, edm","Electronic","Pressure",2011-12-09,02:43,52,91,0,40,12,0,20,-6,G#/A♭,4,2020-09-24,4Mq3WBbOdwmy4qDxV3sN5J,"Simply Delicious Music",4B,NLC281112156
6,"Stereo Love (Radio Edit)","Edward Maya,Vika Jigulina",59,127,"","","Stereo Love",2010-05-15,03:04,80,79,4,3,55,0,10,-4,A,4,2020-09-24,6sKxXqDGkKROr3Z3Na32nv,"Central Station Records",11B,ROCMA0901772
7,"In My Mind (feat. Georgi Kay) - Axwell Radio Edit","Ivan Gough,Feenixpawl,Georgi Kay,Axwell",8,128,"edm","Electronic","In My Mind (feat. Georgi Kay) [Axwell Radio Edit]",2012-04-02,03:05,51,83,4,0,38,0,30,-5,G minor,4,2020-09-24,6AuVeIzZZxeIQTXhQARyT2,"WM Australia",6A,AUNE31100277
8,"Feel So Close - Radio Edit","Calvin Harris",87,128,"edm","Electronic","18 Months",2012-10-29,03:26,71,92,0,1,92,0,20,-3,G,4,2020-09-24,1gihuPhrLraKYrJMAEONyc,"Columbia",9B,GBARL1100748
9,"Core","RL Grime",8,150,"edm trap, future bass","Electronic, Hip Hop","VOID",2014-11-17,03:56,53,95,0,93,60,0,30,-4,C,3,2020-09-24,6Knx4Tp8hE7IlYtde2dCYI,"WeDidIt Records",8B,USDM31400130
10,"I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","Avicii,Nicky Romero",63,128,"edm, big room, electro house, progressive house","Electronic","I Could Be the One (Avicii vs. Nicky Romero)",2012-01-01,03:28,51,79,33,0,64,0,30,-4,F#/G♭ minor,4,2020-09-24,4q7dBdsALA5BSunzryc104,"Virgin Records",11A,SEUM71201601
11,"Gold Skies","Martin Garrix,Sander van Doorn,DVBBS,Aleesia",8,128,"edm, electronica, progressive house, big room, ","Electronic","Gold Skies",2014-01-01,03:55,48,77,3,1,16,0,50,-6,A minor,4,2020-09-24,2FfrFbYQ0PB4BYzkkdrUz1,"Hussle",8A,NLZ541400459
12,"The Prince","Madeon",48,95,"edm, french house","Electronic","The Prince",2020-08-14,03:42,61,78,0,14,30,0,30,-6,D minor,4,2020-09-24,5MT2w1BexEAWjJ62OOHE6q,"Madeon Productions",7A,US3DF2018540
13,"Calling (Lose My Mind) - Radio Edit","Sebastian Ingrosso,Alesso,Ryan Tedder",10,125,"edm, ","Electronic","Calling (Lose My Mind)",2012-01-01,03:25,42,85,1,0,15,0,20,-5,C♯/D♭ minor,4,2020-09-24,34NNeV9jfgNgaALgUr0u9V,"Universal Music Group",12A,GBJ4B1200056
14,"Titanium (feat. Sia)","David Guetta,Sia",70,126,"edm, dance, ","Electronic","Nothing but the Beat Ultimate",2011-08-24,04:05,60,79,7,15,30,10,10,-4,C minor,4,2020-09-24,2dOTkLZFbpNXrhc24CnTFd,"Parlophone (France)",5A,GB28K1100036
15,"Silhouettes - Original Radio Edit","Avicii",69,128,"edm","Electronic","Silhouettes",2012-04-27,03:31,61,80,16,6,84,0,10,-6,F minor,4,2020-09-24,06h3McKzmxS8Bx58USHiMq,"Universal Music AB",4A,SEUM71200477
16,"The Veldt - Tommy Trash Short Edit","deadmau5,Chris James",34,128,"edm, progressive house, dubstep","Electronic","The Veldt EP",2012-01-01,04:13,72,96,1,35,4,20,0,-3,A,4,2020-09-24,472DEbUSFuf6KIyc1A5a8y,"Parlophone",11B,GBTDG1200442
17,"If I Lose Myself - Alesso vs OneRepublic","OneRepublic,Alesso",74,126,"soft pop, edm","Electronic, Pop","Native",2014-01-01,03:35,52,75,26,0,16,0,10,-6,D,4,2020-09-24,3ScJy88F8KqGDfWu8XJhHx,"Mosley / Interscope",10B,USUM71303190
18,"This Is What It Feels Like","Armin van Buuren,Trevor Guthrie",8,130,"trance, progressive trance, progressive house, electronica, edm, ","Electronic","Intense",2013-01-01,03:23,55,83,11,0,19,0,0,-5,G#/A♭,5,2020-09-24,2J44FXo6c4l2Wy4yBcvCWR,"Virgin Records Ltd",4B,NLF711303312
