#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"I Want You Back","The Jackson 5",62,98,"motown, christmas","Pop, R&B","Greatest Hits",1971-01-01,02:58,67,67,44,0,95,0,20,-6,G#/A♭,4,2021-02-20,2OSfEYKhlSsLx6vn4O75RK,"Motown",4B,USMO19400306
2,"I Gotta Feeling","Black Eyed Peas",10,128,"","","THE E.N.D. (THE ENERGY NEVER DIES)",2009-01-01,04:49,74,77,9,0,61,0,50,-6,C,4,2021-02-20,4vp2J1l5RD4gMZwGFLfRAu,"Interscope",8B,USUM70965169
3,"Shape of You","Ed Sheeran",91,96,"soft pop","Pop","÷ (Deluxe)",2017-03-03,03:53,83,65,58,0,93,0,0,-3,C♯/D♭ minor,4,2021-02-20,7qiZfU4dY1lWllzX7mPBI3,"Atlantic Records UK",12A,GBAHS1600463
4,"Treasure","Bruno Mars",81,116,"","","Unorthodox Jukebox",2012-12-07,02:58,87,69,4,0,94,0,30,-5,F minor,4,2021-02-20,55h7vJchibLdUkxdlX3fK7,"Atlantic Records",4A,USAT21206909
5,"Love Yourself","Justin Bieber",87,100,"","","Purpose (Deluxe)",2015-11-13,03:53,61,38,84,0,52,40,20,-10,E,4,2021-02-20,50kpGaPAhYJ3sGmk6vplg0,"RBMG/Def Jam",12B,USUM71516761
6,"See You Again (feat. Charlie Puth)","Wiz Khalifa,Charlie Puth",4,80,"rap, soft pop, pop","Pop, Hip Hop","See You Again (feat. Charlie Puth)",2015-03-10,03:49,69,48,37,0,28,0,0,-8,A#/B♭,4,2021-02-20,7wqSzGeodspE3V6RBD5W8L,"Atlantic Records",6B,USAT21500313
7,"One Call Away","Charlie Puth",60,91,"soft pop, pop","Pop","Nine Track Mind",2016-01-29,03:14,67,61,40,0,47,0,10,-5,C♯/D♭,4,2021-02-20,7soJgKhQTO8hLP2JPRkL5O,"Artist Partner",3B,USAT21502703
8,"Payphone","Maroon 5,Wiz Khalifa",0,110,"pop, rap","Pop, Hip Hop","Payphone",2012-01-01,03:51,75,76,2,0,50,0,30,-5,E,4,2021-02-20,0iyEaciAmtiv8xMkBg97Fy,"A&M / Octone Records",12B,USUM71203347
9,"Rude","MAGIC!",67,144,"","","Rude",2013-10-11,03:44,74,81,4,0,90,0,30,-4,C♯/D♭,4,2021-02-20,3tCwjWLicbjsMCvXhN0WOE,"Latium Records/RCA Records",3B,CAV161300016
10,"Closer","The Chainsmokers,Halsey",89,95,"","","Closer",2016-07-29,04:04,75,52,41,0,66,0,10,-6,G#/A♭,4,2021-02-20,7BKLCZ1jbUBVqRi2FVlTVw,"Disruptor Records/Columbia",4B,USQX91601347
11,"Brown Eyed Girl","Van Morrison",84,151,"","","Blowin' Your Mind!",1967-09,03:03,49,58,19,0,91,0,40,-11,G,4,2021-02-20,3yrSvpt2l1xhsV9Em88Pul,"Columbia/Legacy",9B,USSM16700357
12,"Lush Life","Zara Larsson",5,98,"","","Lush Life",2015-06-09,03:21,69,71,13,0,80,0,20,-4,G minor,4,2021-02-20,0r4SsYcwvd8URat6AS2m6f,"Epic/Record Company TEN",6A,SEWEE1500509
13,"Don't Stop Me Now - Remastered 2011","Queen",77,156,"classic rock, rock, glam rock","Rock","Jazz (Deluxe Remastered Version)",1978-11-10,03:29,56,87,5,0,60,10,70,-5,F,4,2021-02-20,7hQJA50XrCWABAu5v6QZ4i,"Hollywood Records",7B,GBUM71029610
