#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Kilby Girl","The Backseat Lovers",80,162,"","","When We Were Friends",2019-01-27,04:42,33,44,6,4,23,0,10,-10,C♯/D♭,4,2021-02-02,1170VohRSx6GwE6QDCHPPH,"The Backseat Lovers",3B,USCGH1936387
2,"Hot Rod","Dayglow",6,140,"indie rock","Rock","Fuzzybrain",2019-11-14,03:24,71,77,3,0,83,0,10,-7,G,4,2021-02-02,0zePbRMJ9sd7wsZRlbPQua,"Very Nice Records",9B,TCADU1861897
3,"Brazil","Declan McKenna",85,121,"","","What Do You Think About the Car?",2017-04-13,04:12,69,62,9,0,67,0,0,-5,E,4,2021-02-02,4sNG6zQBmtq7M8aeeKJRMQ,"Columbia",12B,GBARL1500856
4,"Pleaser","Wallows",68,149,"indie","Pop, Rock","Pleaser",2017-04-12,03:07,50,91,13,0,39,0,20,-4,A,4,2021-02-02,11zf7m4vw9Ze7cer9Nyhk1,"Atlantic Records",11B,USAT21801170
5,"Televised","HUNNY",62,108,"indie pop","Pop, Rock","Windows I",2017-05-26,03:14,59,75,0,0,43,0,10,-8,G#/A♭,4,2021-02-02,35Ki1lvKPC2sFBD3GmKdRG,"Epitaph",4B,QM24S1701430
6,"didya think","Arlie",59,140,"","","Wait",2018-09-19,03:20,47,89,0,0,71,0,50,-3,E,4,2021-02-02,4HOg84QsolNLzNp08qZ3sX,"Atlantic Records",12B,USAT21704742
7,"Buttercup","Hippo Campus",61,109,"","","Landmark",2017-02-24,03:46,62,76,20,0,20,0,10,-4,A,4,2021-02-02,6iCJCZqDJjmBxt07Oid6FI,"Grand Jury (RED)",11B,QM5BK1600122
8,"Tongue Tied","GROUPLOVE",83,113,"indie","Pop, Rock","Never Trust a Happy Song",2011-09-02,03:38,56,94,1,0,37,0,10,-6,D#/E♭,4,2021-02-02,0GO8y8jQk1PkHzS31d699N,"Canvasback/ATL",5B,USAT21101334
9,"Talk Too Much","COIN",70,104,"","","How Will You Know If You Never Try",2017-04-21,03:07,60,89,1,0,48,0,30,-5,E,4,2021-02-02,4djIFfof5TpbSGRZUpsTXq,"StarTime International/Columbia",12B,USSM11602662
10,"Goodie Bag","Still Woozy",74,138,"bedroom pop","Pop","Goodie Bag",2017-11-05,02:26,74,52,82,0,62,10,20,-12,G minor,4,2021-02-02,4vHNeBWDQpVCmGbaccrRzi,"Still Woozy Productions Inc., under exclusive license to Interscope Records",6A,QZANL1712241
11,"Cold Cold Man","Saint Motel",67,111,"","","My Type EP",2014-08-16,03:50,61,66,1,0,51,0,10,-5,A,4,2021-02-02,6RKGBcDtgzXx21zUjpeu6F,"Parlophone UK",11B,GBAYE1400934
12,"Freakin' Out On the Interstate","Briston Maroney",71,144,"","","Freakin' Out On The Interstate (Acoustic Version [Live])",2020-07-10,04:11,45,79,39,0,36,0,30,-5,E,4,2021-02-02,0awZwmlC6pxH65KTZpadmX,"Canvasback/ATL",12B,QZBRF1882980
13,"Seventeen","Peach Pit",55,92,"","","Sweet FA",2018-06-27,03:36,56,89,1,1,81,0,10,-5,B,4,2021-02-02,0SBariQWfKjoslW2XSIFOm,"Columbia",1B,USSM11805166
14,"Dance, Baby!","boy pablo",64,122,"bedroom pop","Pop","Roy Pablo",2017-05-19,03:18,60,60,4,0,86,0,30,-9,A,4,2021-02-02,5EV4bGHxVN0kHpcAFvgnTt,"777 Music",11B,USQY51745799
15,"Are You Bored Yet? (feat. Clairo)","Wallows,Clairo",82,120,"indie, bedroom pop","Pop, Rock","Nothing Happens",2019-03-22,02:58,68,68,16,0,64,0,20,-6,G#/A♭ minor,4,2021-02-02,57RA3JGafJm5zRtKJiKPIm,"Atlantic Records",1A,USAT21812258
16,"The Less I Know The Better","Tame Impala",88,117,"indie, psychedelic pop","Pop, Rock","Currents",2015-07-17,03:36,64,74,1,1,79,0,10,-4,E,4,2021-02-02,6K4t31amVTZDgR3sKmwUJJ,"Universal Music Australia Pty. Ltd.",12B,AUUM71500303
17,"New Flesh","Current Joys",0,166,"","","Wild Heart",2013-01-02,02:47,62,59,89,50,70,0,0,-16,A,4,2021-02-02,6TEiFwaiHERpdfG6WnGed1,"Current Joys",11B,TCACS1660968
18,"Moving On","Sarah and the Sundays",3,125,"","","So You're Mad About the Cups",2019-05-19,02:39,73,70,16,0,79,0,30,-6,A,4,2021-02-02,2ndjM095ej5deq3nnhzVkU,"Sarah and the Sundays",11B,TCAEF1960088
19,"Raspberry","GROUPLOVE",60,105,"indie","Pop, Rock","Spreading Rumours",2013-09-17,03:16,49,78,3,0,45,0,10,-5,D#/E♭,4,2021-02-02,1F5A4LpF8ylUVtPoMAvNvn,"Canvasback/ATL",5B,USAT21301610
20,"Crash My Car","COIN",1,184,"","","Dreamland",2020-02-21,03:08,24,65,0,1,53,0,30,-6,F,5,2021-02-02,0X5mtNbqxbiTYkwj0CQc2f,"The Committee for Sound & Mind",7B,USSM11902799
21,"Out of My League","Fitz and The Tantrums",80,170,"","","More Than Just a Dream (Deluxe Edition)",2013-05-07,03:29,55,97,4,0,53,0,30,-4,A minor,4,2021-02-02,2AYEOC02WLhUiOoaig2SEH,"Elektra (NEK)",8A,USAT21300149
22,"Sweet Talk","Saint Motel",66,117,"","","saintmotelevision",2016-10-21,03:12,67,84,4,0,71,0,20,-4,C♯/D♭,4,2021-02-02,6kcHg7XL6SKyPNd78daRBL,"Elektra (NEK)",3B,USAT21602338
23,"Daft Pretty Boys","Bad Suns",1,137,"","","Disappear Here",2016-09-16,03:07,66,84,6,0,61,0,0,-5,G#/A♭,4,2021-02-02,41d2Q6DHcM20OdzynkRtvf,"Vagrant Records",4B,QMRSZ1600419
24,"Shampoo Bottles","Peach Pit",65,107,"","","You and Your Friends",2020-04-03,03:44,65,44,2,0,33,0,0,-10,G#/A♭,4,2021-02-02,2INUkDPCO1eQlOFmIN5VAC,"Columbia",4B,USSM11914411
25,"Feeling Lonely","boy pablo",59,118,"bedroom pop","Pop","Soy Pablo",2018-10-05,03:17,63,54,1,0,89,0,10,-10,F#/G♭ minor,4,2021-02-02,5uIRujGRZv5t4fGKkUTv4n,"U OK?",11A,NOV7L1802030
26,"British Bombs","Declan McKenna",59,132,"","","British Bombs",2019-08-19,04:57,67,87,5,0,69,0,30,-6,F#/G♭,4,2021-02-02,4ZdmTNaBTErD8n9AQE0YaX,"High Quality Popular Music",2B,GBARL1900810
27,"Vowels (and the Importance of Being Me)","HUNNY",55,150,"indie pop","Pop, Rock","Vowels (and the Importance of Being Me)",2016-04-08,03:04,48,88,0,0,72,0,10,-5,E,4,2021-02-02,2yfu1w0yFYHAHnr4p5JS7V,"Epitaph",12B,TCACN1666155
28,"Electric Love","BØRNS",82,120,"","","Dopamine",2015-10-16,03:38,61,80,1,0,52,0,20,-8,F#/G♭ minor,4,2021-02-02,2GiJYvgVaD2HtM8GqD9EgQ,"UMGRI Interscope",11A,USUM71416307
29,"Cooks","Still Woozy",63,77,"bedroom pop","Pop","Cooks",2017-07-16,02:54,45,58,43,1,70,0,20,-10,E minor,4,2021-02-02,75TDPu9k7Yv3IovdYaNCwk,"Still Woozy Productions Inc., under exclusive license to Interscope Records",9A,UST8K1799101
30,"I Love You So","The Walters",5,76,"","","Songs for Dads",2014-11-28,02:40,58,67,65,0,50,0,10,-5,A#/B♭,4,2021-02-02,1175r6ZmkUjX8dRJLz9Ohk,"The Walters",6B,TCACC1438995
31,"Sunflower","Rex Orange County",2,130,"bedroom pop","Pop","Sunflower",2017-03-22,04:12,38,77,65,0,57,0,50,-4,F#/G♭,4,2021-02-02,4EpZ4eYuZOwPSSwyqpdHnJ,"Rex Orange County",2B,US23A1500468
32,"Honeypie","JAWNY",79,115,"bedroom pop","Pop","For Abby",2020-10-27,02:15,74,69,6,0,94,0,10,-4,F minor,4,2021-02-02,6FfLg6FFqhCsrFOaHIGkg0,"Johnny Utah LLC",4A,GBKPL1946902
33,"Trouble","Cage The Elephant",75,78,"modern rock","Rock","Tell Me I'm Pretty",2015-12-18,03:45,47,62,39,0,30,0,10,-6,C,4,2021-02-02,5n0CTysih20NYdT2S0Wpe8,"RCA Records Label",8B,USRC11502826
34,"Sit Next to Me","Foster The People",77,97,"","","Sacred Hearts Club",2017-07-21,04:03,64,74,12,0,66,0,60,-5,F#/G♭ minor,4,2021-02-02,4BdGO1CaObRD4La9l5Zanz,"Columbia",11A,USSM11704909
35,"Cough Syrup","Young the Giant",73,129,"","","Young The Giant (Special Edition)",2011-00-00,04:09,53,72,3,0,23,0,10,-7,B minor,3,2021-02-02,1UqhkbzB1kuFwt2iy4h29Q,"Roadrunner Records",10A,NLA321090389
36,"Small Talk","Briston Maroney",62,130,"","","Indiana",2019-05-17,03:18,61,64,29,0,44,0,10,-8,C,4,2021-02-02,5kBYMymc2d3h164QqEHwRL,"Canvasback/ATL",8B,USAT21901843
37,"Freaks","Surf Curse",3,180,"indie","Pop, Rock","Buds",2015-05-10,02:27,35,94,0,56,40,0,0,-10,A,4,2021-02-02,0HUTL8i4y4MiGCPId7M7wb,"Big Joy Records",11B,TCACA1429223
38,"Stella Brown","Jelani Aryeh",54,125,"","","Stella Brown",2020-04-03,03:07,72,48,21,8,59,0,20,-8,D,4,2021-02-02,4gwltSjdrzKtKz9dlk2Wja,"No Matter",10B,USA2P2010684
39,"Dope on a Rope","The Growlers",57,146,"surf rock","Rock","City Club",2016-09-30,04:10,42,90,0,0,74,10,30,-4,G,4,2021-02-02,76c1AuZodByXM3X2k48wju,"Cult Records",9B,QMKBG1600048
40,"Silhouettes","Colony House",0,165,"","","When I Was Younger",2014-07-22,02:57,48,76,1,0,57,0,0,-7,G#/A♭,4,2021-02-02,612JlaWJl5l6VIrcBck5QB,"Descendant Records",4B,USA5W1400128
41,"Loving Is Easy (feat. Benny Sings)","Rex Orange County,Benny Sings",5,117,"bedroom pop, ","Pop","Loving Is Easy (feat. Benny Sings)",2017-10-11,02:35,76,61,22,0,54,0,10,-8,D#/E♭,4,2021-02-02,5EYi2rH4LYs6M21ZLOyQTx,"Rex Orange County",5B,GBKPL1789493
42,"Looking Out for You","Joy Again",4,101,"","","Looking Out for You",2015-11-06,02:59,68,90,9,6,94,0,0,-5,A,4,2021-02-02,1lpLrlyweOShEKXT1bpcDd,"Never Grow Up Records",11B,GBJET1500070
43,"Kids","Current Joys",8,113,"","","Kids",2015-03-08,04:29,83,66,51,40,90,0,0,-10,F#/G♭,4,2021-02-02,6ixkZ2Q9gQeh52C6GxbETg,"Current Joys",2B,TCACS1677524
44,"Boys Will Be Bugs","Cavetown",70,179,"bedroom pop","Pop","Animal Kingdom",2019-04-12,05:29,49,53,0,0,45,0,10,-12,C♯/D♭,4,2021-02-02,6suYoN4gFkanqOBn5yRnJC,"Oat Milk Industries and Many Hats Endeavors",3B,USL4Q1849675
45,"505","Arctic Monkeys",85,140,"indie, garage rock","Rock, Pop","Favourite Worst Nightmare (Standard Version)",2007-04-24,04:13,52,85,0,0,23,0,0,-6,C,4,2021-02-02,58ge6dfP91o9oXMzq3XkIS,"Domino/Warner Records",8B,GBCEL0700074
46,"Mind Over Matter","Young the Giant",75,155,"","","Mind Over Matter",2014-01-17,04:04,47,76,0,0,29,0,10,-4,C,4,2021-02-02,5Az8KU81g2aLBbJN67F2CI,"Fueled By Ramen",8B,USAT21304149
47,"Disco","Surf Curse",0,173,"indie","Pop, Rock","Heaven Surrounds You",2019-09-13,02:32,48,62,3,0,78,0,10,-9,B minor,4,2021-02-02,644hazYIWNQq4URUn7CPnQ,"Danger Collective Records",10A,QM6MZ1965210
48,"Sweater Weather","The Neighbourhood",93,124,"","","I Love You.",2013-04-22,04:00,61,81,5,2,40,0,10,-3,A#/B♭,4,2021-02-02,2QjOHCTQ1Jl3zawyYOpxh6,"Columbia",6B,USSM11300080
49,"Take a Walk","Passion Pit",67,101,"indie","Pop, Rock","Gossamer",2012-07-23,04:24,57,76,3,0,45,0,30,-6,B,4,2021-02-02,4Sfa7hdVkqlM8UW5LsSY3F,"Columbia",1B,USSM11202617
50,"Electric Feel","MGMT",83,103,"indie","Pop, Rock","Oracular Spectacular",2007-12-14,03:49,76,80,7,28,56,0,30,-4,C♯/D♭,3,2021-02-02,3FtYbEfBqAlGO46NUDQSAt,"Red Ink/Columbia",3B,USSM10702131
