#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Mack the Knife","Bobby Darin",65,83,"big band, adult standards, swing music, doo-wop","Easy Listening, Jazz, Pop, R&B","That's All",1959-00-00,03:04,55,53,76,0,46,10,20,-12,D#/E♭ minor,4,2025-03-17,3E5ndyOfO6vFDEIE42HA8o,"Rhino Atlantic",2A,USEW10000025
2,"Everyday","Buddy Holly,The Crickets",65,136,"rockabilly, rock and roll, doo-wop","Pop, R&B, Rock","Buddy Holly",1958-00-00,02:09,75,22,58,0,50,0,10,-13,D#/E♭,4,2025-03-17,39lnzOIUCSNaQmgBHoz7rt,"Geffen",5B,USMC15703105
3,"I Got a Woman","Ray Charles",42,198,"jazz blues, soul, soul blues, blues, vocal jazz","Blues, Jazz, R&B","Essential Blues Anthems",2013-10-01,02:51,60,51,91,0,73,10,10,-6,A,4,2025-03-17,4n3jZ9O3ntnHrP1sjmWW8T,"X5 Music Group",11B,GBGQH0604927
4,"Mannish Boy","Muddy Waters",66,111,"blues, classic blues, blues rock, jazz blues, soul blues","Blues, Rock, Jazz, R&B","King Of The Electric Blues",1977-00-00,05:21,60,74,44,0,62,10,60,-11,D,3,2025-03-17,58PSYdY0GFg0LFb2PxYk4T,"Epic/Legacy",10B,USSM17600224
5,"Sh-Boom","The Chords",0,137,"doo-wop","Pop, R&B","Sh-Boom (Life Could Be a Dream)",2016-01-29,02:27,67,47,79,0,90,0,10,-9,F,4,2025-03-17,6NjYEcZLw648J3TDddkmWg,"O.L.D Ltd",7B,GB8XC1411435
6,"Breaking Up Is Hard to Do","Neil Sedaka",59,116,"doo-wop, adult standards","Easy Listening, Pop, R&B","Circulate (Expanded Edition)",1960-12-30,02:19,74,80,70,0,97,0,0,-5,G#/A♭ minor,4,2025-03-17,2x6pbpjVGjiWCcH89IK8AX,"RCA Victor/Legacy",1A,USRC19901068
7,"Hit the Road Jack","Ray Charles",0,173,"jazz blues, soul, soul blues, blues, vocal jazz","Blues, Jazz, R&B","Hit the Road Jack (30 Hits)",2011-00-00,02:00,70,81,45,0,95,10,30,-6,G#/A♭ minor,4,2025-03-17,41v8t61WagaUHBCGqE7A8N,"Ducosphere / JDL",1A,FR54E1100958
8,"Don't Be Cruel","Elvis Presley",56,85,"rockabilly, rock and roll","Rock","Elvis' Golden Records",1958-03-21,02:02,70,55,86,0,84,10,0,-11,D,4,2025-03-17,01u6AEzGbGbQyYVdxajxqk,"RCA Records Label",10B,USRC15602859
9,"Bye Bye Love","The Everly Brothers",56,170,"doo-wop","Pop, R&B","The Very Best of The Everly Brothers",1964-08-01,02:22,55,52,72,0,89,0,10,-9,A,4,2025-03-17,6oRHRkQigTzJ3KwpO3XOV6,"Rhino/Warner Records",11B,USWB19903261
10,"Peggy Sue","Buddy Holly,The Crickets",59,148,"rockabilly, rock and roll, doo-wop","Pop, R&B, Rock","Buddy Holly",1958-00-00,02:30,68,42,95,0,49,0,10,-8,A,4,2025-03-17,2OARIMw1hpehr86Iwmv04c,"Geffen",11B,USMC15703180
11,"Folsom Prison Blues","Johnny Cash",65,111,"country","Country","I Walk the Line",1964-06-13,02:35,69,53,19,8,78,0,20,-10,F,4,2025-03-17,0LTSNmOLBt25GMjHlxp9OR,"Columbia Nashville Legacy",7B,USSM11201764
12,"(We're Gonna) Rock Around The Clock - Single Version","Bill Haley & His Comets",44,179,"rockabilly, rock and roll, doo-wop","Pop, R&B, Rock","Bill Haley's Greatest Hits",1991-01-01,02:14,68,69,32,0,62,10,20,-12,G,4,2025-03-17,5PZf7EZr7GfkOAgeEcsqPa,"Geffen*",9B,USMC15486163
13,"Earth Angel","The Penguins",27,73,"doo-wop","Pop, R&B","Earth Angel - The Very Best of The Penguins",2011-08-16,02:56,54,20,98,0,52,0,10,-12,G#/A♭,4,2025-03-17,2NuMeCS2NXS2RZIS9f9U86,"X5 Music Group",4B,SEWDL6014629
14,"All I Have to Do Is Dream","The Everly Brothers",69,96,"doo-wop","Pop, R&B","The Very Best of The Everly Brothers",1964-08-01,02:23,53,46,84,0,53,0,10,-8,E,4,2025-03-17,7dblNGnRXEBrVJunazs2U5,"Rhino/Warner Records",12B,USWB19903268
15,"Never Look Back","Marthy",25,109,"","","Never Look Back",2025-05-14,02:48,75,80,15,0,74,0,40,-5,F#/G♭ minor,4,2025-05-14,4k4UqdNIGQJ8dCiss0cnZt,"Mava Music",11A,TCAJO2500375
16,"Shout","The Isley Brothers",46,137,"motown, quiet storm, soul, northern soul","Pop, R&B, Blues","Pure... '50s",2012-03-23,04:32,46,89,72,0,61,0,80,-6,A#/B♭,4,2025-03-17,4J7VWj4ibCSw3tCiRKpypm,"Sony Music Entertainment",6B,USSM19601985
17,"You Send Me","Sam Cooke",0,96,"motown, soul","Pop, R&B, Blues","30 Greatest Hits: Portrait of a Legend 1951-1964",2003-06-17,02:45,55,29,88,0,41,0,10,-10,E minor,4,2025-03-17,0BFEyqJ9DJXS7gKg0Kj46R,"ABKCO Music & Records, Inc.",9A,USA175720010
18,"Mr. Tambourine Man","The Byrds",62,120,"folk rock, country rock, psychedelic rock, acid rock","Rock, Country, Folk","Mr. Tambourine Man",1965-06-21,02:29,46,47,51,0,64,0,40,-10,D,4,2025-03-17,2HCaIYjkvWSZzaSKUoOh3d,"Columbia/Legacy",10B,USSM16500019
19,"Help! - Remastered 2009","The Beatles",73,95,"classic rock, psychedelic rock","Rock","Help! (Remastered)",1965-08-06,02:19,53,73,19,0,77,0,10,-8,F#/G♭ minor,4,2025-03-17,7DD7eSuYSC5xk2ArU62esN,"EMI Catalogue",11A,GBAYE0601465
20,"Say Hello for Me","Mark Anthony Burke",37,78,"","","Say Hello for Me",2024-06-14,04:03,51,31,87,6,18,0,10,-15,E,4,2025-04-28,1I9Ap5XPchlY8HIHmIxMYl,"MARK ANTHONY BURKE",12B,TCAIG2421375
21,"Gimme Shelter","The Rolling Stones",79,119,"classic rock, rock","Rock","Let It Bleed",1969-12-05,04:30,63,63,45,4,49,0,10,-8,C♯/D♭ minor,4,2025-03-17,6H3kDe7CGoWYBabAeVWGiD,"ABKCO Music and Records, Inc.",12A,USA176910020
22,"A Whiter Shade of Pale - Original Single Version","Procol Harum",1,150,"progressive rock, symphonic rock, baroque pop","Classical, Pop, Rock","Hits'n'Flips",2019-05-03,04:08,25,66,50,0,44,0,0,-7,C,4,2025-03-17,78ZqE2tjAxbqEGGlvGnQfT,"Fly Records",8B,GBBWX0701000
23,"Louie Louie","The Kingsmen",64,122,"proto-punk, garage rock","Rock","The Best of The Kingsmen",2006-01-31,02:45,62,71,10,0,95,0,10,-10,C♯/D♭ minor,4,2025-03-17,0iA3xXSkSCiJywKyo1UKjQ,"Kingsmen Int'l Licensing, Inc.",12A,USA370544298
24,"Sunshine Of Your Love","Cream",65,115,"classic rock, psychedelic rock, acid rock, blues rock","Rock, Blues","Disraeli Gears",1967-11-02,04:10,68,48,48,0,78,0,10,-13,D,4,2025-03-17,6FRwDxXsvSasw0y2eDArsz,"Universal International Music B.V.",10B,GBA076700020
25,"The Weight - Remastered 2000","The Band",73,144,"folk rock, roots rock, southern rock, americana","Country, Folk, Rock","Music From Big Pink (Remastered)",1968-07-01,04:34,63,55,37,0,52,0,10,-9,A,4,2025-03-17,0P7DoyGrr4Wp9w5TotEtUC,"CAPITOL CATALOG MKT (C92)",11B,USCA20000789
26,"Be My Baby","The Ronettes",75,130,"christmas","Pop","Be My Baby: The Very Best of The Ronettes",2011-02-22,02:40,51,77,18,0,82,0,0,-7,E,4,2025-03-17,2G2YzndIA6jeWFPBXhUjh5,"Legacy Recordings",12B,USQX91100088
27,"For What It's Worth","Buffalo Springfield",81,99,"folk rock, country rock","Country, Rock, Folk","Buffalo Springfield",1966-12-05,02:33,65,52,41,2,82,0,10,-10,D,4,2025-03-17,1qRA5BS78u3gME0loMl9AA,"Rhino/Elektra",10B,USEE10170607
28,"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",76,116,"classic rock, rock","Rock","Beggars Banquet (50th Anniversary Edition)",1968-12-06,06:18,70,67,52,0,56,20,0,-9,A,4,2025-03-17,1Ud6moTC0KyXMq1Oxfien0,"ABKCO Music & Records",11B,USA171810010
29,"Light My Fire","The Doors",72,125,"psychedelic rock, classic rock, acid rock","Rock","The Doors",1967-01-04,07:09,41,73,37,0,44,0,0,-6,D#/E♭ minor,4,2025-03-17,5uvosCdMlFdTXhoazkTI5R,"Rhino/Elektra",2A,USEE19900203
30,"All Along the Watchtower","Jimi Hendrix",77,113,"psychedelic rock, classic rock, acid rock, blues rock","Rock, Blues","Electric Ladyland",1968-10-25,04:00,44,81,0,0,56,0,0,-6,G#/A♭,4,2025-03-17,2aoo2jlRnM3A0NyLQqMN2f,"Legacy Recordings",4B,USQX90900749
31,"Under the Milky Way","The Light and the Lost",25,130,"","","Under the Milky Way",2025-03-22,04:29,54,74,46,1,59,0,10,-6,F#/G♭ minor,4,2025-05-13,7hK4k83IpJz5AFPCCS8oZE,"Studio71West Records",11A,QZHNC2509181
32,"God Only Knows - Mono","The Beach Boys",64,117,"baroque pop","Classical, Pop","Pet Sounds (Original Mono & Stereo Mix)",1966-06-16,02:53,52,49,25,0,48,0,0,-8,F#/G♭ minor,4,2025-03-17,6iGU74CwXuT4XVepjc9Emf,"Capitol Records",11A,USCA29600682
33,"(Sittin' On) the Dock of the Bay","Otis Redding",80,104,"soul, motown, soul blues","Pop, R&B, Blues","The Dock of the Bay (Mono)",1968-00-00,02:43,77,37,68,0,53,0,0,-11,D,4,2025-03-17,3zBhihYUHBmGd2bcQIobrF,"Rhino Atlantic",10B,USAT21403443
34,"Live and Let Live","Fistful Of Leaves,Nice&Swell",41,89,"reggae rock","Reggae, Rock","Live and Let Live",2025-04-11,03:45,68,65,4,0,58,0,30,-7,D minor,4,2025-04-25,6z4BujcAjo3LaXzP4yvRp5,"17th Street Recording",7A,QZK6J2541856
35,"November","Rilena",40,176,"","","November",2025-04-30,03:29,44,56,28,0,26,0,0,-9,C minor,4,2025-05-16,157SzwjPM5iBBkd5E7ddhe,"Captain Cooper Records",5A,QZMEP2577814
36,"I Want To Hold Your Hand - Remastered 2015","The Beatles",67,131,"classic rock, psychedelic rock","Rock","1 (Remastered)",2000-11-13,02:25,49,72,39,0,87,0,30,-6,G,4,2025-03-17,4pbG9SUmWIvsROVLF0zF9s,"UMC (Universal Music Catalogue)",9B,GBUM71505904
37,"Love, etc.","The Dust Collectors",30,119,"gothic country","Country, Rock","Love, etc.",2025-04-01,02:52,49,79,19,0,36,0,10,-8,G,4,2025-04-14,5SKcE67DB2Q1jgdIvw5zZv,"release guru",9B,CADVS2500015
38,"My Generation - Stereo Version","The Who",64,97,"classic rock, rock","Rock","My Generation (Stereo Version)",1965-12-03,03:18,41,78,31,1,71,0,0,-9,D minor,4,2025-03-17,4u9f8hqstB7iITDJNzKhQx,"Geffen",7A,GBUM71406026
39,"Good Vibrations - Remastered 2001","The Beach Boys",75,133,"baroque pop","Classical, Pop","Smiley Smile (Remastered)",1967-09-18,03:39,40,47,33,0,39,0,10,-8,A#/B♭ minor,4,2025-03-17,5t9KYe0Fhd5cW6UYT4qP8f,"Capitol Records",3A,USCA20100360
40,"Yesterday - Remastered 2009","The Beatles",78,97,"classic rock, psychedelic rock","Rock","Help! (Remastered)",1965-08-06,02:05,33,18,88,0,32,0,0,-12,F,4,2025-03-17,3BQHpFgAp4l80e1XslIjNI,"EMI Catalogue",7B,GBAYE0601477
41,"Hey Jude - Remastered 2015","The Beatles",73,147,"classic rock, psychedelic rock","Rock","1 (Remastered)",2000-11-13,07:05,39,61,1,0,53,0,0,-8,A#/B♭,4,2025-03-17,0aym2LBJBk9DAYuHHutrIl,"UMC (Universal Music Catalogue)",6B,GBUM71505902
42,"Respect","Aretha Franklin",77,115,"soul, motown, jazz blues","Blues, Jazz, Pop, R&B","I Never Loved a Man the Way I Love You",1967-03-10,02:27,81,56,16,0,97,0,0,-5,C,4,2025-03-17,7s25THrKz86DM225dOYwnr,"Rhino Atlantic",8B,USAT20801240
43,"Like a Rolling Stone","Bob Dylan",78,95,"folk rock, folk, singer-songwriter, roots rock, country rock","Country, Rock, Folk","Highway 61 Revisited",1965-08-30,06:09,48,72,73,0,56,0,10,-7,C,4,2025-03-17,3AhXZa8sUQht0UEdBJgpGc,"Columbia",8B,USSM19922509
44,"You Never Can Tell","Chuck Berry",73,157,"rockabilly, rock and roll","Rock","St. Louis To Liverpool",1964-11-01,02:41,53,85,73,0,88,20,20,-10,G,4,2025-03-17,6FT83pFXKhDlXDsNJFAHWz,"Geffen",9B,USMC16419660
45,"Everlasting Love","Love Affair",60,121,"","","The Everlasting Love Affair",1968-03-04,03:02,50,57,27,0,81,0,30,-11,A,4,2025-03-17,40XXjm2pU6LGZkLq5VmkaQ,"Columbia",11B,GBBBN6700001
