#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Shook Ones, Pt. II","Mobb Deep",78,94,"east coast hip hop, hardcore hip hop, hip hop, gangster rap","Hip Hop","The Infamous",1995-04-25,05:25,76,79,1,1,50,20,0,-6,A#/B♭ minor,4,2025-05-20,33ZXjLCpiINn8eQIDYEPTD,"RCA Records Label",3A,USRC19401295
2,"Till I Collapse","Eminem,Nate Dogg",86,171,"rap, hip hop, g-funk, west coast hip hop","Hip Hop, R&B","The Eminem Show",2002-05-26,04:57,55,85,6,0,10,10,0,-3,C♯/D♭,4,2025-05-20,4xkOaSrkexMciUUogZKVTS,"Aftermath",3B,USIR10211066
3,"Still D.R.E.","Dr. Dre,Snoop Dogg",85,93,"g-funk, gangster rap, west coast hip hop, hip hop, rap","Hip Hop, R&B","2001",1999-11-16,04:30,82,78,16,0,53,20,0,-3,B,4,2025-05-20,503OTo2dSqe7qk76rgsbep,"Aftermath",1B,USIR19905031
4,"goosebumps","Travis Scott",87,130,"rap","Hip Hop","Birds In The Trap Sing McKnight",2016-09-16,04:03,84,73,8,0,43,0,10,-3,G,4,2025-05-20,6gBFPUFcJLzWGx4lenP6h2,"Cactus Jack / Epic",9B,USSM11607555
5,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby,Gunna",82,113,"melodic rap","Hip Hop","Drip Harder",2018-10-05,02:25,90,66,9,0,39,20,50,-7,C♯/D♭ minor,4,2025-05-20,78QR3Wp35dqAhFEc2qAGjE,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records",12A,USUG11801811
6,"SAD!","XXXTENTACION",82,75,"emo rap","Hip Hop, Rock","?",2018-03-16,02:46,74,61,26,0,47,10,10,-5,G#/A♭,4,2025-05-20,3ee8Jmje8o58CHK66QrVC2,"Bad Vibes Forever, LLC",4B,USUG11800208
7,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky,Skepta",84,80,"rap, grime","Electronic, Hip Hop","TESTING",2018-05-25,03:25,85,57,6,8,29,10,10,-8,F minor,4,2025-05-20,7ycWLEP1GsNjVvcjawXz3z,"A$AP Worldwide/Polo Grounds Music/RCA Records",4A,USRC11800930
8,"XO Tour Llif3","Lil Uzi Vert",82,155,"melodic rap","Hip Hop","Luv Is Rage 2",2017-08-25,03:02,73,75,0,0,40,20,10,-6,B minor,4,2025-05-20,7GX5flRQZVHRAGd6B4TmDO,"Generation Now/Atlantic",10A,USAT21703440
9,"rockstar (feat. 21 Savage)","Post Malone,21 Savage",84,160,"","","beerbongs & bentleys",2018-04-27,03:38,59,52,12,0,13,0,10,-6,F minor,4,2025-05-20,0e7ipj03S05BNilyu5bRzt,"Republic Records",4A,USUM71710087
10,"Magnolia","Playboi Carti",81,163,"rage rap","Hip Hop","Playboi Carti",2017-04-14,03:01,79,58,1,0,44,20,30,-7,B minor,4,2025-05-20,1e1JKLEDKP7hEQzJfNAgPl,"AWGE Label",10A,USUM71703095
11,"C.R.E.A.M. (Cash Rules Everything Around Me)","Wu-Tang Clan",76,181,"east coast hip hop, hip hop, gangster rap, hardcore hip hop","Hip Hop","Enter The Wu-Tang (36 Chambers) [Expanded Edition]",1993-11-09,04:12,51,51,56,1,56,30,10,-12,B minor,4,2025-05-20,119c93MHjrDLJTApCVGpvx,"RCA Records Label",10A,USRC19300133
12,"Wishing Well","Juice WRLD",80,150,"melodic rap, emo rap","Hip Hop, Rock","Legends Never Die",2020-07-10,03:14,65,61,0,0,8,10,20,-6,A minor,4,2025-05-20,2U5WueTLIK5WJLD7mvDODv,"Grade A Productions/Interscope Records",8A,USUG12001905
13,"Lalala","Y2K,bbno$",75,130,"meme rap","Hip Hop","Lalala",2019-06-28,02:40,84,39,18,0,50,0,10,-8,D,4,2025-05-20,51Fjme0JiitpyXKuyQiCDo,"Columbia",10B,USSM11904230
14,"Lethal","Project North,Ja-P",42,142,"","","Lethal",2019-02-14,02:00,76,81,27,0,77,30,0,-4,B minor,4,2025-05-20,6wHgUWX3xTlD1rnRymlMbA,"Project North",10A,QZDA51955251
