Song,Artist,Genre Tags,Tag Source
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics,Annie Lennox,Dave Stewart","80s, pop, new wave, female vocalists, synth pop",track
Smalltown Boy,Bronski Beat,"80s, new wave, synthpop, pop, synth pop",track
I'm Still Standing,Elton John,"pop, 80s, elton john, rock, classic rock",track
Funky Town,Lipps Inc.,"Disco, 80s, pop, 70s, dance",track
I'm So Excited,The Pointer Sisters,"80s, Disco, pop, dance, soul",track
Cheri Cheri Lady,Modern Talking,"80s, Disco, pop, Modern Talking, dance",track
Give It Up,KC & The Sunshine Band,"Disco, 70s, 80s, pop, funk",track
It's Raining Men - Single Version,The Weather Girls,"Disco, 80s, pop, dance, female vocalists",track
Take on Me,a-ha,"80s, pop, new wave, synthpop, synth pop",track
9 to 5,Dolly Parton,"country, 80s, female vocalists, pop, Dolly Parton",track
Holiday,Madonna,"pop, 80s, dance, Madonna, female vocalists",track
I Love Rock 'N Roll,Joan Jett & the Blackhearts,"rock, 80s, classic rock, female vocalists, hard rock",track
Bette Davis Eyes,Kim Carnes,"80s, pop, female vocalists, rock, kim carnes",track
Fame,Irene Cara,"80s, Disco, pop, Soundtrack, female vocalists",track
Self Control,Laura Branigan,"80s, pop, female vocalists, dance, Disco",track
Sisters Are Doin' It for Themselves,"Eurythmics,Annie Lennox,Dave Stewart,Aretha Franklin","80s, pop, new wave, rock, female vocalists",track
Englishman In New York,Sting,"80s, sting, rock, pop, classic rock",track
Kiss,Prince,"80s, funk, pop, prince, dance",track
Just Can't Get Enough,Depeche Mode,"80s, new wave, synthpop, electronic, synth pop",track
Wake Me Up Before You Go-Go,Wham!,"80s, pop, dance, british, new wave",track
Like a Virgin,Madonna,"pop, 80s, Madonna, dance, female vocalists",track
Flashdance...What a Feeling - Radio Edit,Irene Cara,"80s, pop, Soundtrack, dance, female vocalists",track
Got My Mind Set On You - Remastered 2004,George Harrison,"classic rock, 80s, george harrison, rock, pop",track
Big in Japan,Alphaville,"80s, pop, new wave, synthpop, synth pop",track
Boys Don't Cry,The Cure,"80s, new wave, post-punk, alternative, rock",track
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,"80s, pop, dance, 1987, soul",track
Video Killed The Radio Star,The Buggles,"80s, pop, new wave, One Hit Wonders, electronic",track
You Make My Dreams (Come True),Daryl Hall & John Oates,"pop, rock, 80s, pop rock, Blue-Eyed Soul",track
Never Gonna Give You Up,Rick Astley,"80s, pop, Brutal Death Metal, rickroll, RICKROLLED",track
Let's Dance - Single Version [Remastered],David Bowie,"80s, rock, classic rock, pop, glam rock",track
Wonderful Life,Black,"80s, pop, Ballad, soft rock, singer-songwriter",track
The Winner Takes It All,ABBA,"pop, abba, 80s, Disco, swedish",track
Kids In America,Kim Wilde,"80s, pop, new wave, female vocalists, rock",track
Loco in Acapulco,Four Tops,"soul, 80s, motown, oldies, the four tops",track
Jump (For My Love),The Pointer Sisters,"80s, Disco, pop, dance, female vocalists",track
The Safety Dance,Men Without Hats,"80s, new wave, pop, dance, synthpop",track
Tell It to My Heart,Taylor Dayne,"80s, pop, dance, female vocalists, Taylor Dayne",track
Should I Stay or Should I Go - Remastered,The Clash,"punk, punk rock, rock, 80s, british",track
In The Army Now,Status Quo,"classic rock, rock, 80s, Status Quo, hard rock",track
1999,Prince,"80s, funk, pop, prince, rock",track
Uptown Girl,Billy Joel,"80s, pop, classic rock, rock, singer-songwriter",track
Heart Of Glass - Special Mix,Blondie,"80s, new wave, pop, Disco, rock",track
Heaven Is A Place On Earth,Belinda Carlisle,"80s, pop, female vocalists, Belinda Carlisle, new wave",track
Red Red Wine,UB40,"reggae, 80s, pop, british, UB40",track
(Feels Like) Heaven,Fiction Factory,"80s, new wave, pop, synthpop, new romantic",track
Always on My Mind,Pet Shop Boys,"80s, pop, electronic, synthpop, cover",track
Faith - Remastered,George Michael,"80s, pop, George Michael, dance, british",track
Walking On Sunshine,Katrina & The Waves,"80s, pop, happy, new wave, summer",track
Crockett's Theme - From  Miami Vice II  Soundtrack,Jan Hammer,"Soundtrack, 80s, instrumental, electronic, miami vice",track
You Can Call Me Al,Paul Simon,"80s, pop, classic rock, singer-songwriter, folk",track
Walk Of Life,Dire Straits,"classic rock, rock, 80s, dire straits, pop",track
Abracadabra - Remastered 2017,Steve Miller Band,"classic rock, 80s, rock, pop, 70s",track
Blue Monday '88,New Order,"80s, new wave, electronic, synthpop, new order",track
Sledgehammer,Peter Gabriel,"80s, rock, Progressive rock, pop, classic rock",track
Everywhere - 2017 Remaster,Fleetwood Mac,"80s, classic rock, pop, rock, Fleetwood Mac",track
Brother Louie,Modern Talking,"80s, Disco, pop, Modern Talking, dance",track
The Riddle,Nik Kershaw,"80s, pop, new wave, synthpop, synth pop",track
99 Luftballons,Nena,"80s, german, pop, deutsch, new wave",track
Never Too Much,Luther Vandross,"soul, luther vandross, 80s, rnb, rhythm and blues",track
It's a Sin - 2001 Remaster,Pet Shop Boys,"80s, pop, synthpop, new wave, dance",track
Call Me,Blondie,"80s, new wave, rock, pop, female vocalists",track
Money For Nothing,Dire Straits,"rock, classic rock, 80s, dire straits, guitar",track
Rhythm Of The Night,DeBarge,"80s, pop, Disco, dance, soul",track
This Charming Man - 2011 Remaster,The Smiths,"80s, indie, new wave, alternative, The Smiths",track
Out of Touch,Daryl Hall & John Oates,"80s, pop, soft rock, 1984, rock",track
Japanese Boy,Aneka,"80s, pop, Disco, Scottish, aneka",track
Get Down On It - Single Version,Kool & The Gang,"funk, Disco, 80s, dance, soul",track
Love Changes (Everything),Climie Fisher,"80s, pop, love songs, climie fisher, Love",track
Breakout,Swing Out Sister,"80s, pop, Swing out Sister, jazz, female vocalists",track
Summer Of '69,Bryan Adams,"rock, 80s, classic rock, bryan adams, Canadian",track
Don't You (Forget About Me) - Remastered,Simple Minds,"80s, new wave, pop, rock, pop rock",track
Purple Rain,Prince,"80s, pop, rock, soul, funk",track
Billie Jean,Michael Jackson,"pop, 80s, michael jackson, dance, Disco",track
With Or Without You,U2,"rock, U2, 80s, classic rock, pop",track
Dancing In the Dark,Bruce Springsteen,"rock, 80s, classic rock, Bruce Springsteen, pop",track
In The Air Tonight - 2015 Remastered,Phil Collins,"80s, pop, Phil Collins, rock, classic rock",track
Heaven,Bryan Adams,"80s, rock, classic rock, Ballad, pop",track
Livin' On A Prayer,Bon Jovi,"rock, 80s, bon jovi, classic rock, hard rock",track
A Forest,The Cure,"new wave, 80s, post-punk, alternative, The Cure",track
Brothers In Arms,Dire Straits,"classic rock, rock, 80s, dire straits, guitar",track
Africa,TOTO,"80s, classic rock, rock, pop, soft rock",track
Run To You,Bryan Adams,"rock, 80s, classic rock, pop, bryan adams",track
(I've Had) The Time of My Life - From  Dirty Dancing  Soundtrack,"Bill Medley,Jennifer Warnes","80s, pop, The time of my life, soul, female vocalists",track
The Final Countdown,Europe,"80s, rock, hard rock, classic rock, Europe",track
Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,"80s, pop, soft rock, rock, Phil Collins",track
Radio Ga Ga - Remastered 2011,Queen,"rock, classic rock, 80s, Queen, british",track
Pride (In The Name Of Love) - Remastered 2009,U2,"rock, 80s, U2, classic rock, irish",track
Eternal Flame,"The Bangles,Susanna Hoffs","80s, pop, female vocalists, Love, romantic",track
I Want to Know What Love Is - 1999 Remaster,Foreigner,"80s, classic rock, rock, Foreigner, Love",track
Born in the U.S.A.,Bruce Springsteen,"rock, classic rock, 80s, Bruce Springsteen, the boss",track
Shout,Tears For Fears,"80s, new wave, pop, Tears for Fears, rock",track
