Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Live,Loud,Camelot,Lyrics,Time,Genre,Subgenre
Pon de Replay,Rihanna,82,99,78,64,0,50,10,-8,9B,"Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

It goes one by one, even two by two
Everybody on the floor, let me show you how we do
Let's go, dip it low, then you bring it up slow
Wind it up one time, wind it back once more

Come, run (Run), run (Run), everybody move (Run)
Lemme see you move, and rock it 'til the groove (Done)
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club, give me a run (Run)
If you ready to move, say it (Yeah)
One time for your mind, say it (Yeah, yeah)
Well, I'm ready for ya, come let me show ya
You want to groove, I'ma show you how to move
Come

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Hey, Mister)
Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up

It goes one by one, even two by two
Everybody in the club gon' be rockin' when I'm through
Let the bass from the speakers run through ya sneakers
Move both ya feet and run to the beat

Come, run (Run), run (Run), everybody move (Run)
Lemme see you move and rock it 'til the groove (Done)
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club give me a run (Run)
If you ready to move, say it (Yeah)
One time for your mind, say it (Yeah, yeah)
Well, I'm ready for ya, come let me show ya
You want to groove, I'ma show you how to move

Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

Hey, Mister (Hey, Mister)
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)
Hey, Mister (Oh, Mister)
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Turn the music up right now)

Okay, everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling
Everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling

Come, Mr. DJ, song pon de replay (Come, Mr. DJ, song pon de replay)
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
(All the gyal pon the dancefloor)
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay (Hey Mr. DJ, boy)
Hey, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?",246,dance,dance rnb
Love You Anyway,Luke Combs,63,140,53,49,15,32,20,-7,12B,"If your kiss turned me to stone
I'd be a statue standing tall in ancient Rome
And if your touch shattered me like glass
I’d be in pieces trying to make the breaking last

If it took one look to turn my days to night
At least I'd have the stars that sparkle in your eyes

There's just some things that leave a man no choice
Like a compass needle needing its true North
Even if I knew the day we met you’d be the reason this heart breaks
Oh, I'd love you anyway

I know just tryin' to write a song
I run the risk that I could get your perfect wrong
And well, I guess what I'm tryin' to say
Is there ain't words been made could shoulder so much weight

And if you turned your back on me and walked away
Not a thing about the way I feel would change

There's just some things that leave a man no choice
Like a compass needle needing its true North
Even if I knew the day we met you'd be the reason this heart breaks
Oh, I’d love you anyway


There’s just some things that leave a man no choice
Like a compass needle needing its true North
Even if I knew the day we met you'd be the reason this heart breaks
Oh, I’d love you anyway

Even if I knew the day we met you'd be the reason this heart breaks
Oh, I'd love you anyway",229,country,country pop
The Boys Of Summer,Don Henley,22,177,52,55,50,91,10,-14,2B,"Nobody on the road
Nobody on the beach
I feel it in the air
The summer's out of reach
Empty lake, empty streets
The sun goes down alone
I'm driving by your house
Though I know you're not home

But I can see you
Your brown skin shining in the sun
You got your hair combed back and your
Sunglasses on, baby
I can tell you, my love for you will still be strong
After the boys of summer have gone

I never will forget those nights
I wonder if it was a dream
Remember how you made me crazy?
Remember how I made you scream?
Now I don't understand what happened to our love
But babe, I'm gonna get you back
I'm gonna show you what I'm made of

I can see you
Your brown skin shining in the sun
I see you walking real slow and
Smiling at everyone
I can tell you, my love for you will still be strong
After the boys of summer have gone


Out on the road today
I saw a Deadhead sticker on a Cadillac
A little voice inside my head said
“Don't look back, you can never look back”
I thought I knew what love was, what did I know?
Those days are gone forever
I should just let them go but...

I can see you
Your brown skin shining in the sun
You got the top pulled down and the
Radio on, baby
I can tell you, my love for you will still be strong
After the boys of summer have gone
I can see you
Your brown skin shining in the sun
You got your hair slicked back and those
Wayfarers on, baby
I can tell you, my love for you will still be strong
After the boys of summer have gone",288,rock,rock 80s
Something to Believe,Weyes Blood,56,137,31,39,63,19,30,-9,12B,"Drank a lot of coffee today
Got lost in the fray, I gave all I had for a time
Then by some strange design, I got a case of the empties
The ruler of my world, a lost forgotten pearl
When fire leaves a girl
Too burned to try my life
Living on the fault line
And at night

I just lay down and cry
The waters don't really go by me
Give me something I can see
Something bigger and louder than the voices in me
Something to believe

Didn't always do it right
Might've left the heat on high
Didn't know I had any left
Thought I finally met my death
Gonna do all I can
To stay away from the quicksand
Gonna do all I can

Nobody's gonna love you the same way
Some of us go astray, I walked so far from them all
Instead of dropping the ball, I seem to carry so many
The colors don't align, a question of time
I seem to lose what I find
Please give me a sign soon
Really wanna find out the truth
And at night

I just lay down and cry
The waters don't really go by me
Give me something I can see
Something bigger and louder than the voices in me
Something to believe, to believe
Something to believe
Something to believe
Something to believe
Something to believe",285,folk,folk
Fluorescent Adolescent,Arctic Monkeys,80,112,65,83,0,79,10,-5,12A,"You used to get it in your fishnets
Now you only get it in your night dress
Discarded all the naughty nights for niceness
Landed in a very common crisis
Everything's in order in a black hole
Nothing seems as pretty as the past though
That Bloody Mary's lacking in Tabasco
Remember when you used to be a rascal?

Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
As daft as they seem, my love, when you dream them up

Flicking through a little book of sex tips
Remember when the boys were all electric?
And now, when she's told she's gonna get it
I'm guessing that she'd rather just forget it
Clinging to not getting sentimental
Said she wasn't going but she went still
Likes her gentlemen not to be gentle
Was it a Mecca Dauber or a betting pencil?

Oh, the boy's a slag, the best you ever had
The best you ever had is just a memory
And those dreams weren't as daft as they seem
Not as daft as they seem, my love, when you dream them up

Oh, Flo, where did you go?
Where did you go? Where did you go?

You're falling about
You took a left off Last Laugh Lane
Just sounding it out
But you're not coming back again
You're falling about
You took a left off Last Laugh Lane
You were just sounding it out
But you're not coming back again

You used to get it in your fishnets
(Falling about)
Now you only get it in your night dress
Discarded all the naughty nights for niceness
(You took a left off Last Laugh Lane)
Landed in a very common crisis
Everything's in order in a black hole
(You were just sounding it out)
Is anything as pretty in the past though?
That Bloody Mary's lacking in Tabasco
(You're not coming back again)
Remember when you used to be a rascal, oh?",183,indie,indie rock
Holiday / Boulevard of Broken Dreams,Green Day,74,167,29,83,0,45,30,-3,4B,"Say hey
Cha

Hear the sound of the fallin' rain
Comin' down like an armageddon flame (Hey)
The shame, the ones who died without a name
Hear the dogs howlin' out of key
To a hymn called ""Faith and Misery"" (Hey)
And bleed, the company lost the war today

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday

Hear the drum poundin' out of time
Another protester has crossed the line (Hey)
To find the money's on the other side
Can I get another ""Amen?"" (Amen)
There's a flag wrapped around a score of men (Hey)
A gag, a plastic bag on a monument

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
On holiday
(Hey)


Three, four
The representative from California has the floor

Sieg Heil to the President Gasman
Bombs away is your punishment
Pulverize the Eiffel Towers
Who criticize your government
Bang-bang goes the broken glass, and
Kill all the fags that don't agree
Trials by fire, settin' fire
Is not a way that's meant for me
Just 'cause (Hey, hey, hey, hey)
Just 'cause, because we're outlaws, yeah (Hey, hey, hey, hey)

I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
I beg to dream and differ from the hollow lies
This is the dawning of the rest of our lives
This is our lives on holiday


I walk a lonely road
The only one that I have ever known
Don't know where it goes
But it's home to me, and I walk alone
I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk alone

I walk alone, I walk alone
I walk alone, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes I wish someone out there will find me
Till then, I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah, ah-ah

I'm walkin' down the line
That divides me somewhere in my mind
On the borderline
Of the edge and where I walk alone
Read between the lines
What's fucked up and everything's all right
Check my vital signs
To know I'm still alive, and I walk alone

I walk alone, I walk alone
I walk alone, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes I wish someone out there will find me
Till then, I walk alone

Ah-ah, ah-ah, ah-ah, ah-ah
Ah-ah, ah-ah
I walk alone, and I walk a—


I walk this empty street
On the Boulevard of Broken Dreams
Where the city sleeps
And I'm the only one, and I walk a—

My shadow's the only one that walks beside me
My shallow heart's the only thing that's beatin'
Sometimes I wish someone out there will find me
Till then, I walk alone",493,alternative,alternative rock
Talk is Cheap,Dr. Dog,43,171,55,75,10,88,20,-9,10B,"To the end of a lane and then back again
Feelin old and dumb and in the way
But I can change
Before the moon explodes and the sun stops shining
Talk is cheap

It might be dark, a little hazy in here
I might be crazy, it's a little unclear
But I can't be wrong
'Cause I fell to the bottom and you found me there
Broken and blue and you gave me air
I can't be wrong

Anywhere, when you're right here with me
The sound of nothin' but the wheels
'Cause baby you'rе an engine driver
You got mе back on the rails
Talk is cheap

Think I know what you want me to do
Just tell me again I get a little confused
But I can't be wrong (Can't be wrong)
Birds in the attic and junk on the stairs
I wanna be clear and I wanna be here
I can't be Wrong (Ooh, not about this)

If memory serves me
You're gonna make a me weep
As alone in the rain on a unnumbered street
Cause baby you're an engine driver
Yeah you never fail
And I can't be wrong, you got me back on the rails

Can't be wrong
I won't believe it, not about this lovely feeling
I can do it, I am free, I’ll change
Talk is cheap
I can't be wrong
Not about this
I can't be wrong
Not about this

I think I know what you want me to do
Tell me again, I get a little confused
But I can't be wrong (Ooh, not about this)
I fell to the bottom and you found me there
Broken and blue and you gave me air
I can't be wrong
Ooh not about this, no

I can't be wrong
Ooh not about this
I can't be wrong
Ooh not about this
I can't be wrong
Ooh not about this
I can't be wrong
Ooh not about this, no
I can't be wrong
Ooh, not about this
I can't be wrong
Ooh, not about this
I can't be wrong",270,indie,indie rock
betty,Taylor Swift,72,96,59,38,60,50,10,-9,8B,"Betty, I won't make assumptions
About why you switched your homeroom, but
I think it's 'cause of me
Betty, one time, I was riding on my skateboard
When I passed your house
It's like I couldn't breathe

You heard the rumors from Inez
You can't believe a word she says
Most times, but this time, it was true
The worst thing that I ever did
Was what I did to you

But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you

Betty, I know where it all went wrong
Your favorite song was playing
From the far side of the gym
I was nowhere to be found
I hate the crowds, you know that
Plus, I saw you dance with him

You heard the rumors from Inez
You can't believe a word she says
Most times, but this time, it was true
The worst thing that I ever did
Was what I did to you

But if I just showed up at your party
Would you have me? Would you want me?
Would you tell me to go fuck myself
Or lead me to the garden?
In the garden, would you trust me
If I told you it was just a summer thing?
I'm only seventeen, I don't know anything
But I know I miss you

I was walking home on broken cobblestones
Just thinking of you when she pulled up like
A figment of my worst intentions
She said, ""James, get in, let's drive""
Those days turned into nights
Slept next to her, but
I dreamt of you all summer long

Betty, I'm here on your doorstep
And I planned it out for weeks now
But it's finally sinkin' in
Betty, right now is the last time
I can dream about what happens when
You see my face again

The only thing I wanna do
Is make it up to you
So I showed up at your party
Yeah, I showed up at your party

Yeah, I showed up at your party
Will you have me? Will you love me?
Will you kiss me on the porch
In front of all your stupid friends?
If you kiss me, will it be just like I dreamed it?
Will it patch your broken wings?
I'm only seventeen, I don't know anything
But I know I miss you

Standing in your cardigan
Kissin' in my car again
Stopped at a streetlight
You know I miss you",294,folk,folk pop
Cool,"Alesso,Roy English",62,128,54,85,4,50,40,-2,11A,"I saw stars on the pavement
California dreams
Looked up through the bright lights
No stars that I see

You said, ""It's all yours if you take it there""
I said, ""I can't do it alone, I swear""
You said, ""It's all yours
It's all yours when you smile""

It's only you (You)
Loves me like you do (Do)
Trying to keep it cool (Cool)
But I can't keep cool about it
Acted like a fool (Fool)
Wanna scream it from the roof (Roof)
I'm trying to keep it cool (Cool)
But I can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)

Before you, love, I was lost
Drifting at sea
You were the beacon I followed home
You were the one that rescued me

You said, ""It's all yours if you take it there""
I said, ""I can't do it alone, I swear""
You said, ""It's all yours
It's all yours when you smile""

It's only you (You)
Loves me like you do (Do)
Trying to keep it cool (Cool)
But I can't keep cool about it
Acted like a fool (Fool)
Wanna scream it from the roof (Roof)
I'm trying to keep it cool (Cool)
But I can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)
Can't keep cool about it ('Bout it)",221,dance,dance pop
Superstition,Stevie Wonder,71,101,61,58,6,88,10,-14,3B,"Very superstitious
Writing's on the wall
Very superstitious
Ladder's 'bout to fall
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
The good things in your past

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way, yeah

Ooh, very superstitious
Wash your face and hands
Rid me of the problem
Do all that you can
Keep me in a daydream
Keep me going strong
You don't want to save me
Sad is my song

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way, yeah

Very superstitious
Nothing more to say
Very superstitious
The devil's on his way
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
Good things in your past

When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way
No, no, no",266,soul,soul 70s
