Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Loud,Camelot,Genre,Subgenre,Clean_Lyrics
I'm So Excited,The Pointer Sisters,0.5625,0.2529411764705882,0.6823529411764706,0.8541666666666666,0.10101010101010102,0.6875,0.8,4B,pop,pop 80s,tonight 's night go make happen tonight put thing aside give time show affection go pleasure night want love feel wrap around want squeeze please get enough move real slow let go excited hide lose control think like excited hide know know know know know want even think tomorrow sweet memory last long long time good time baby worry still play ' round boy fine let us get excited hide lose control think like excited hide know know know know know want want want oh boy want love feel honey wrap around want squeeze please get enough move real slow let go excited hide lose control think like excited hide know know know know know want want excited look hide get burn lose control think like oh oh oh oh ow excited get deny get give know oh oh oh oh ow know want excited look oh boy get burn oh oh oh oh ow excited get look get give oh oh oh oh ow excited look get burn oh oh oh oh ow
Cheri Cheri Lady,Modern Talking,0.7750000000000001,0.38235294117647056,0.6705882352941177,0.6041666666666666,0.4646464646464647,0.8541666666666666,0.48,6B,pop,pop 80s,oh explain every time oh feel real take heart lonely long oh strong take chance romance take heart need time ever go cheri cheri lady go emotion love find listen heart cheri cheri lady livin ' devotion always like first time let take part cheri cheri lady like tomorrow take heart lose listen heart cheri cheri lady know love call baby always get get world turn around right wrong know get pain heart get love soul easy come think easy go need time move slow cheri cheri lady go emotion love find listen heart cheri cheri lady livin ' devotion always like first time let take part cheri cheri lady like tomorrow take heart lose listen heart cheri cheri lady know love call baby always cheri cheri lady like tomorrow take heart lose listen heart cheri cheri lady know love call baby cheri cheri lady like tomorrow take heart lose listen heart cheri cheri lady know love call baby
Give It Up,KC & The Sunshine Band,0.4750000000000001,0.4529411764705883,0.8588235294117648,0.6354166666666666,0.08080808080808081,0.84375,0.56,5B,pop,pop,everybody want everybody want love would like make mine mine nana nana nana nana na na baby give give baby give nana nana nana nana na na baby give give baby give everybody see everybody look stare would like make mine mine nana nana nana nana na na baby give give baby give nana nana nana nana na na baby give give baby give give nana nana nana nana na na baby give give baby give nana nana nana nana na na baby give give baby give everybody want everybody want love would like make mine mine nana nana nana nana na na baby give give baby give nana nana nana nana na na baby give give baby give give give give come baby need love give give baby give know want baby come baby want love give give baby give give love come play game love give give baby give everybody need give come baby need love give give baby give touch love come baby baby love give give baby give give give come baby give love give give baby give know want love come baby need love give give
It's Raining Men - Single Version,The Weather Girls,0.375,0.511764705882353,0.6470588235294118,0.9270833333333334,0.4646464646464647,0.44791666666666663,0.8,4A,pop,pop,hi hi weather girl uh huh get news well listen get ready lonely girl leave umbrella home alright humidity rise mm rise barometer 's get low low girl accord source source street 's place go well hurry 'cause tonight first time halfpast ten first time history go start rain man rain man hallelujah rain man amen go go run let get absolutely soak wet rain man hallelujah rain man every speciman tall blonde dark lean rough tough strong mean god bless mother nature single woman take heaven teach every angel rearrange sky every woman could find perfect guy oh rain man yeah humidity rise barometer 's get low get low low low accord source street 's place go accord source 'cause tonight first time halfpast ten halfpast ten first time history go start rain man start rain man rain man hallelujah rain man amen rain man hallelujah rain man amen rain man hallelujah rain man amen rain man hallelujah rain man amen rain man hallelujah rain man amen rain man hallelujah rain man amen tall blonde dark lean rough tough strong mean teach every angel rearrange sky rain man hallelujah rain man hallelujah
Take on Me,a-ha,0.8625,0.20588235294117652,0.5411764705882353,0.8958333333333334,0.020202020202020204,0.8854166666666666,0.72,11A,pop,pop 80s,talk away know say say anyway today another day find shyin ' away comin ' love okay take take take take go day two needless say odd end stumblin ' away slowly learnin ' life okay say well safe sorry take take take take go day two oh thing say yeah life play worry away thing get remember shyin ' away comin ' anyway take take take take go day take take take take go take take day take take take take take take take
9 to 5,Dolly Parton,0.75,0.3294117647058824,0.5176470588235295,0.7708333333333334,0.42424242424242425,0.8125,0.8,2B,country,country,tumble bed stumble kitchen pour cup ambition yawn stretch try come life jump shower blood start pumpin ' street traffic start jumpin ' folk like job nine five workin ' nine five way make livin ' barely gettin ' takin ' givin ' use mind never give credit enough drive crazy let nine five service devotion would think would deserve fair promotion want move ahead boss seem let swear sometimes man get mmmm let dream watch shatter step bossman 's ladder get dream never take away boat lot friend waitin ' day ship'll come tide 's go turn ' go roll way work nine five way make livin ' barely gettin ' takin ' givin ' use mind never get credit enough drive crazy let nine five yeah get want well life think rich man 's game matter call spend life puttin ' money wallet nine five way make livin ' barely gettin ' takin ' givin ' use mind never give credit enough drive crazy let nine five yeah get want well life think rich man 's game matter call spend life puttin ' money wallet
Holiday,Madonna,0.4750000000000001,0.40588235294117647,0.8235294117647058,0.6875,0.030303030303030304,0.7291666666666666,0.68,9B,pop,pop 80s,holiday celebrate holiday celebrate take holiday take time celebrate one day life would would nice everybody spread word go celebration across world every nation time good time forget bad time oh yeah one day come together release pressure need holiday take holiday ooh oohhooooh take time celebrate come let us celebrate one day life holiday would would nice take holiday oh yeah oh yeah take time celebrate come let us celebrate one day life one day life would would nice turn world around bring back happy day put trouble time celebrate let love shine find way come together make thing well need holiday take holiday holiday take time celebrate come let us celebrate one day life one day life would would nice oh yeah oh yeah come let us celebrate get get together holiday celebrate holiday celebrate take holiday oh yeah oh yeah take time celebrate come let us celebrate one day life holiday would would nice holiday oh yeah oh yeah celebrate come let us celebrate holiday one day life celebrate would nice holiday holiday celebration celebrate come together every nation holiday holiday celebration celebrate come together every nation holiday celebrate holiday celebrate holiday get get together celebrate take time celebrate holiday one day life celebrate would nice holiday holiday celebration celebrate come together every nation holiday holiday celebration celebrate come together every nation holiday holiday
I Love Rock 'N Roll,Joan Jett & the Blackhearts,0.75,0.26470588235294124,0.5058823529411764,0.7083333333333334,0.33333333333333337,0.90625,0.8400000000000001,12B,rock,rock 80s,see dancin ' record machine know musta seventeen beat go strong playin ' favorite song could tell would long ' til yeah could tell would long ' til yeah singin ' love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance smile get ask name matter say 'cause say take home alone next movin ' yeah next movin ' yeah singin ' love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance say take home alone next movin ' yeah movin ' singin ' old song yeah singin ' love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance love rock ' n ' roll put another dime jukebox baby love rock ' n ' roll come take time dance
Bette Davis Eyes,Kim Carnes,0.7750000000000001,0.4,0.6705882352941177,0.6354166666666666,0.020202020202020204,0.59375,0.64,7B,pop,pop 80s,hair harlow gold lip sweet surprise hand never cold get bette davis eye turn music think twice pure new york snow get bette davis eye tease unease well please precocious know take make pro blush get greta garbo stand sigh get bette davis eye let take home whet appetite lay throne get bette davis eye take tumble roll like dice come blue get bette davis eye expose snow foot crumb throw ferocious know take make pro blush boy think spy get bette davis eye tease unease well please precocious know take make pro blush boy think spy get bette davis eye tease unease please ya get bette davis eye expose snow know ya get bette davis eye
Self Control,Laura Branigan,0.75,0.3411764705882353,0.8235294117647058,0.6770833333333334,0.22222222222222224,0.78125,0.56,11A,pop,pop 80s,oh night world city light paint girl day nothing matter nighttime flatter night control wall something break wear white walkin ' street soul take self take self control get livin ' night morning come story 's tell take self take self control another night another day go never stop wonder help forget play role take self take self control live among creature night get try fight new tomorrow guess believe tomorrow never come safe night take self take self control live forest dream take self take self control know night would seem take self take self control must believe something make believe take self take self control night never go ohohoh ohohoh ohohoh ohohoh ohohoh ohohoh ohohoh ohohoh oh night world city light paint girl day nothing matter nighttime flatter live among creature night get try fight new tomorrow guess believe tomorrow never come safe night take self take self control live forest dream take self take self control know night would seem take self take self control must believe something make believe take self take self control night never go ohohoh ohohoh ohohoh ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh take self take self control ohohoh ohohoh
