Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Loud,Camelot,Genre,Subgenre,Clean_Lyrics,Power,sqrt_Acoustic,sqrt_BPM
Stretch You Out (feat. A Boogie wit da Hoodie),"Summer Walker,A Boogie Wit da Hoodie",0.5,0.3176470588235294,0.6235294117647059,0.4947368421052632,0.25252525252525254,0.23157894736842105,0.76,12A,soul,soul rnb,get london da track niggas insecure claim enough claim need last breath last sweat last dime fucking mind see fuck try want pussy six time week never wanna clean talk like shit handle rough end day get nerve bring bitch difference feel like take gon stress yeah yeah gon stretch wanna fun fun fun oh oh wanna make cum cum cum cum cum girl hear hurtin let know workin could put mad baguette purpose go half baby purpose maybach let close curtain purposely everything perfectly body like surgery get insomnia get pop percy sleep yeah throw ass round circle please yeah throw ass round circle yeah like work show nigga learn yeah gon stress yeah yeah whenever whatever gon stretch whenever wherever wanna fun fun fun oh oh wanna make cum cum cum cum cum go smile whenever whatever yeah whenever wherever,0.6956521739130436,0.502518907629606,0.4037740039167783
On Melancholy Hill,Gorillaz,0.8,0.41764705882352937,0.6823529411764706,0.7263157894736842,0.0,0.5789473684210527,0.8,10B,electronic,electronic,melancholy hill good side consumerism like much album criticize society time paradox display upbeat popinfuse sound ahah ahah melancholy hill plastic tree look day another dream get want get let set sea love cause medicine close close ahah call submarine round world well go anybody know love look day another dream ahah get want come melancholy hill sit manatee ahahahah love look day close close ooh oohoohooh ahah oohoohooh oohoohooh close ooh oohoohooh ahah oohoohooh oohoohooh ooh oohoohooh ahah oohoohooh,0.6128364389233956,0.0,0.5070687704432801
WHO CARES?,Rex Orange County,0.3500000000000001,0.21764705882352942,0.8352941176470589,0.2421052631578947,0.595959595959596,0.5894736842105263,0.8,4B,indie,indie pop,mmmm mmmm mmmm mmmm first time try free doubt fear thing use dream get far reach know happen wanna happy suppose care care care care care care people make wanna scream shout right see friend live without okay clear really point live fear wanna happy know suppose know care care care care care car care,0.8985507246376813,0.7719841941125453,0.29154006237704677
Solid,Ashford & Simpson,0.45000000000000007,0.3058823529411765,0.8235294117647058,0.4421052631578947,0.27272727272727276,0.9789473684210527,0.56,8B,soul,soul 80s,love sake mistake oh forgave soon learn trust run away time play build build build solid solid rock love get oh mmm solid solid rock nothing change woo thrill still hot hot hot hot hot hot hot hot oh ha turn away sky go gray somehow manage stick together bat eye make cry know line would make well love sake mistake oh forgave soon learn trust run away time play build build build solid solid rock love get oh yes solid solid rock nothing change oh thrill still hot hot hot hot hot hot hot hot go wind another friend get try separate knock knock wood understand love new feeling willing take chance odd make start get serious would turn dust build build build solid solid rock love oh get oh solid yes solid rock nothing change thrill still hot hot hot hot hot hot hot hot solid solid rock know well know baby solid solid rock solid leave baby solid rock solid solid rock solid solid rock good good thing solid solid solid solid solid solid rock,0.4886128364389235,0.5222329678670935,0.39107745234538993
BREAK MY SOUL,Beyoncé,0.55,0.3882352941176471,0.6823529411764706,0.8842105263157896,0.06060606060606061,0.8631578947368421,0.8400000000000001,12A,dance,dance pop,bout explode take load bend bust open ya make go yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka release ya wiggle yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka release ya wiggle la lalalala lalalala lalalala lalalala lalalala lalalala la break soul break soul break soul break soul tellin everybody everybody everybody everybody fall love quit job go find new drive damn work damn hard work nine past five work nerve sleep night lookin motivation lookin new foundation yeah new vibration buildin foundation yeah hold oh baby baby break soul na na break soul nono na na brak soul nono na na break soul na na tellin evrybody na na everybody everybody everybody release ya anger release ya mind release ya job release time release ya trade release stress release love forget rest let hair cause lose mind bey back sleepin real good night queen front dom back takin flick whole clique snap whole lot people house tryin smoke yak mouth good night back outside say outside outside worldwide hoodie mask outside case forget act outside get motivation motivation find new foundation yeah new foundation takin new salvation oh yeah yeah yeah new salvation build foundation yeah oh yeah yeah yeah oh yeah yeah yeah oh baby baby break soul break soul break soul break soul break soul break soul tellin everybody everybody everybody everybody everybody everybody everybody yeah seek see know break soul think love break soul tryin fake never make know break soul stress take less ill justify love go round circle round circle searchin love round circle go lose find round circle searchin love yeah look something live inside look something live inside break soul break soul break soul break soul tellin everybody tellin everybody everybody everybody break soul break soul break soul break soul tellin everybody get motivation oh yeah yeah everybody oh yeah yeah everybody find new foundation yeah everybody oh yeah yeah takin new salvation yeah yeah yeah yeah build foundation yeah yeah yeah get motivation motivation find new foundation yeah new foundation takin new salvation new salvation build foundation yeah foundation bout explode take load bend bust open ya make go yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka release ya wiggle yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka yakayaka release ya wiggle release ya release ya release ya wiggle release ya anger release ya mind release ya job release time release ya trade release stress release love forget rest,0.6118012422360248,0.24618298195866545,0.47749366486335854
Should've Been Me,Mitski,0.55,0.24117647058823533,0.47058823529411764,0.6105263157894736,0.010101010101010102,0.5684210526315789,0.76,7A,indie,indie pop,well go list friend find one tell overwhelming clean feeling strange serenity see girl look like break heart length go hold get cause give need want could reach go memory relive way still want give need want could reach sorry go bout day hand would come lift drop middle labyrinth stick see girl look like think must lonely love someone try find way maze oh know give need want could reach go memory relive way still want give need want could reach sorry sorry,0.6159420289855073,0.10050378152592121,0.31887998962626973
People Watching,Conan Gray,0.675,0.4529411764705883,0.49411764705882355,0.5684210526315789,0.38383838383838387,0.5368421052631579,0.76,7B,indie,indie pop,funny laugh hard almost cry countin month together almost fortynine makin fun act round holiday wear ring tell people engage meet class metaphysical philosophy tell friend like cause much smart havin talk future 4 happy happy thm happy happy wanna feel love motion attach person holdin someday ill fallin without caution peoplewatchin lookin live vicariously never really love seriously dream house behind picket fence next one choose trust hope use common sense cut people like tag clothing end alone still keep hope wanna feel love emotion attach person holdin someday ill fallin without caution peoplewatchin cut people like tag clothing end alone still keep hope scared let someone know life feel monotone still keep hope cut people like tag clothing feel end alone still keep hope love emotion scared let someone know feel life feel monotone still keep hope love emotion feel love emotion wanna feel love emotion attach person holdin someday ill fallin without caution peoplewatchin,0.6449275362318841,0.6195469181897234,0.5417569612499831
Easy On Me,Adele,0.8125,0.5470588235294118,0.5764705882352941,0.3368421052631579,0.5858585858585859,0.10526315789473685,0.72,7B,pop,pop,gold river washin hand forever know hope water bring swim drown silence baby let go easy baby still child get chance feel world around time choose choose go easy room thing change deeply stuck way deny hard try change put first give go easy baby still child get chance feel th world around time choose choose go easy good intention high hope know right probably even show go easy baby still child get chance feel world around time choose choose go easy,0.7660455486542443,0.7654139963827327,0.6304137483564367
Roads,Portishead,0.5875,0.1588235294117647,0.5882352941176471,0.25263157894736843,0.787878787878788,0.16842105263157892,0.56,7B,electronic,electronic,oh anybody see get war fight never find way regardless say feel wrong moment feel wrong storm morning light feel say freeze get nobody side surely right surely right oh anybody see get war fight never find way regardless say feel wrong moment feel wrong feel wrong moment feel wrong oh anybody see get war fight never find way regardless say feel wrong moment feel wrong,0.7122153209109732,0.8876253645985946,0.22026866166993742
High Road,Zach Bryan,0.65,0.3764705882352941,0.42352941176470593,0.18947368421052632,0.8282828282828284,0.1894736842105263,0.6000000000000001,12B,indie,indie folk,adderall whitelace bra make fall love leave blue jean pickup truck new york time year good cause friend lack selfcontrol empathy boy crawlin shithole wall miss place miss home everyone tellin need help therapy need leave alone bind come back haunt forever ghost window wall iv wait telphone fuckin night someone ever go call remember tellin go hit big time die guess tell god true remember sittin porch talk old regret tulsa bad thing take brain seem quiet dream get much heavy home ill hold pain bind come back haunt forever ghost window wall wait telephone fuckin night someone ever go call bind come back haunt forever ghost window wall waitin telephone fuckin night someone ever go call adderall whitelace bra make fall love leave blue jean pickup truck new york time year good cause friend lack selfcontrol empathy,0.8105590062111803,0.9101004495564369,0.46548395818344757
