Test Song Title,Test Artist,Recommended Song Title,Recommended Artist
About Damn Time,Lizzo,Heartless,Kanye West
Surefire,Wilderado,Whatcha Say,Jason Derulo
Somebody That I Used To Know,"Gotye,Kimbra",Daylight,Harry Styles
Hungry Heart,Bruce Springsteen,Head & Heart (feat. MNEK),"Joel Corry,MNEK"
Shut Up Kiss Me,Angel Olsen,Pretty Heart,Parker McCollum
Raging Fire,Phillip Phillips,Simple Song,The Shins
Ladies Don't Play Guitar,Tennis,Sexy to Someone,Clairo
Seventeen,Peach Pit,Vanilla,flipturn
get him back!,Olivia Rodrigo,Something That I Want,Grace Potter
Wannabe,Spice Girls,The Way I Are,"Timbaland,Keri Hilson,D.O.E."
Let Me Love You Tonight,Pure Prairie League,I Know There's An Answer,The Beach Boys
DEVASTATED,Joey Bada$$,The Box,Roddy Ricch
Thunderstruck,AC/DC,Break from Toronto,PARTYNEXTDOOR
Crush Culture,Conan Gray,Outnumbered,Dermot Kennedy
Stand!,The Jackson 5,Rosalita (Come Out Tonight),Bruce Springsteen
Sweet Little Mystery,Wet Wet Wet,Just Can't Get Enough,Depeche Mode
Only You,Yazoo,Sanctified,Nine Inch Nails
Gila,Beach House,Earned It (Fifty Shades Of Grey),The Weeknd
All Night (feat. Knox Fortune),"Chance the Rapper,Knox Fortune",Love Story (Taylor’s Version),Taylor Swift
Plain Jane,A$AP Ferg,Vroom Vroom,Charli xcx
Come To My Window,Melissa Etheridge,All The Things She Said,Simple Minds
Runner,Alex G,Thriller - 2003 Edit,Michael Jackson
Wandering Star,Portishead,Whatever It Is,Zac Brown Band
Sing Me to Sleep,Alan Walker,Mama,My Chemical Romance
Let Em' Know,Bryson Tiller,Wicked Games,The Weeknd
Crocodile Rock,Elton John,Amber,311
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,A.D.H.D,Kendrick Lamar
The Key to Life on Earth,Declan McKenna,No Love,Death Grips
Carry Me Out,Mitski,Brain Damage,Pink Floyd
Hey Ya!,Outkast,Casanova,Levert
Forgot About Dre,"Dr. Dre,Eminem",Lost,Frank Ocean
She Wants My Money,Dominic Fike,Wicked Game - Remastered,Chris Isaak
Say Yes To Heaven,Lana Del Rey,Doing It Wrong,Drake
White Room,Cream,Dance Hall Days,Wang Chung
Turning Tables,Adele,Only Ones Who Know,Arctic Monkeys
Let's Work Together,Canned Heat,Feels Like I'm in Love,Kelly Marie
Bring Me To Life,Evanescence,Hells Bells,AC/DC
Catch Me Outside,Ski Mask The Slump God,Whoa!,Black Rob
Shit Talk,Sufjan Stevens,Sisters of Mercy,Leonard Cohen
Teenage Dirtbag,Wheatus,One Of Them Girls,Lee Brice
Beautiful Day,U2,Speed of Sound,Coldplay
Cross Bones Style,Cat Power,Ol' 55,Tom Waits
Pocketful of Sunshine,Natasha Bedingfield,Losing My Religion,R.E.M.
I Wanna Get Better,Bleachers,Fat Lip,Sum 41
Comfortably Numb,Pink Floyd,Breathe (In the Air),Pink Floyd
Born To Be Wild,Steppenwolf,Ride Captain Ride,Blues Image
You Belong With Me,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift
Year of the Cat,Al Stewart,Honey Sweet,Blossoms
Runaway Baby,Bruno Mars,Hell N Back,Bakar
Into You,Ariana Grande,My Universe,"Coldplay,BTS"
They Don't Care About Us,Michael Jackson,Wish I Knew You,The Revivalists
Carry on Wayward Son,Kansas,Hot N Cold,Katy Perry
China In Your Hand - Single Version,T'Pau,Middle of a Memory,Cole Swindell
Music For a Sushi Restaurant,Harry Styles,Heartless (feat. Morgan Wallen),"Diplo,Morgan Wallen"
Don't You Want Me,The Human League,Youth,Glass Animals
Boys Don't Cry,The Cure,Do Me a Favour,Arctic Monkeys
Born Again,Saint Motel,Hard to Believe,Wallows
Till I Collapse,"Eminem,Nate Dogg",All Of The Lights,Kanye West
Bat Out of Hell,Meat Loaf,Follow Your Arrow,Kacey Musgraves
Belong to the City,PARTYNEXTDOOR,Killing Me Softly With His Song,Roberta Flack
blind,ROLE MODEL,Miracle Man,Oliver Tree
Cocoa Butter Kisses,"Chance the Rapper,VIC MENSA,Twista",American Money,BØRNS
Tennis Court,Lorde,Dangerous (feat. Jeremih and PnB Rock),"Meek Mill,Jeremih,PnB Rock"
TEMPTATION,Joey Bada$$,The Thrill,"Wiz Khalifa,Empire Of The Sun"
Summers Over Interlude,"Drake,Majid Jordan",Time Moves Slow,"BADBADNOTGOOD,Samuel T. Herring"
EARFQUAKE,"Tyler, The Creator",Pipe Down,Drake
Rock with You - Single Version,Michael Jackson,Celebration,Kool & The Gang
Calling After Me,Wallows,Song 2,Blur
Bad Girls,M.I.A.,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé,Kendrick Lamar"
Raspberry Beret,Prince,Jessie's Girl,Rick Springfield
I Dare You,The Regrettes,What You're Proposing,Status Quo
Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Atlantic City,Bruce Springsteen
Hurricane,Luke Combs,Take It From Me,Jordan Davis
Starlight,Muse,Helena,My Chemical Romance
Shining Star,The Manhattans,Under the Bridge,Red Hot Chili Peppers
Charlie Brown,Coldplay,Rollercoaster,Bleachers
Dearly Departed (feat. Esmé Patterson),Shakey Graves,Burn Out,Midland
All For You,Janet Jackson,Cut To The Feeling,Carly Rae Jepsen
Energy,Drake,On & On,"Cartoon,Jéja,Daniel Levi"
Been Away,Brent Faiyaz,D.M.B.,A$AP Rocky
Green Green Grass,George Ezra,Your Man,Down With Webster
Enter Sandman,Metallica,Electric Love,BØRNS
Stand and Deliver,Adam & The Ants,B.O.B. - Bombs Over Baghdad,Outkast
Hunger,Florence + The Machine,P*$$Y Fairy (OTW),Jhené Aiko
Without You,Harry Nilsson,Private Investigations,Dire Straits
No Ordinary Love,Sade,The Other Side Of Paradise,Glass Animals
Whiskey On You,Nate Smith,That's What You Get,Paramore
Locked Up,Akon,Bluebird,Miranda Lambert
Don't Let the Sun Go Down on Me,"George Michael,Elton John",Pursuit Of Happiness (Nightmare),"Kid Cudi,MGMT,Ratatat"
Lost In Love,Air Supply,You Love Me,Kimya Dawson
Nas Is Like,Nas,N.Y. State of Mind,Nas
No More Mr. Nice Guy,Alice Cooper,Money,Pink Floyd
Folding Chair,Regina Spektor,Coyote,Joni Mitchell
Let Your Love Flow,The Bellamy Brothers,Houdini,Foster The People
Santeria,Sublime,2002,Anne-Marie
Can't Help Falling In Love,Andy Williams,Headlock,Snail Mail
Ayo,"Chris Brown,Tyga",Ms. Fat Booty,Mos Def
