Test Song Title,Test Artist,Recommended Song Title,Recommended Artist,Score
About Damn Time,Lizzo,Heartless,Kanye West,0
Surefire,Wilderado,Whatcha Say,Jason Derulo,1
Somebody That I Used To Know,"Gotye,Kimbra",Daylight,Harry Styles,0
Hungry Heart,Bruce Springsteen,Head & Heart (feat. MNEK),"Joel Corry,MNEK",0
Shut Up Kiss Me,Angel Olsen,Pretty Heart,Parker McCollum,1
Raging Fire,Phillip Phillips,Simple Song,The Shins,1
Ladies Don't Play Guitar,Tennis,Sexy to Someone,Clairo,1
Seventeen,Peach Pit,Vanilla,flipturn,1
get him back!,Olivia Rodrigo,Something That I Want,Grace Potter,1
Wannabe,Spice Girls,The Way I Are,"Timbaland,Keri Hilson,D.O.E.",1
Let Me Love You Tonight,Pure Prairie League,I Know There's An Answer,The Beach Boys,1
DEVASTATED,Joey Bada$$,The Box,Roddy Ricch,1
Thunderstruck,AC/DC,Break from Toronto,PARTYNEXTDOOR,0
Crush Culture,Conan Gray,Outnumbered,Dermot Kennedy,0
Stand!,The Jackson 5,Rosalita (Come Out Tonight),Bruce Springsteen,1
Sweet Little Mystery,Wet Wet Wet,Just Can't Get Enough,Depeche Mode,0
Only You,Yazoo,Sanctified,Nine Inch Nails,1
Gila,Beach House,Earned It (Fifty Shades Of Grey),The Weeknd,0
All Night (feat. Knox Fortune),"Chance the Rapper,Knox Fortune",Love Story (Taylor’s Version),Taylor Swift,0
Plain Jane,A$AP Ferg,Vroom Vroom,Charli xcx,0
Come To My Window,Melissa Etheridge,All The Things She Said,Simple Minds,0
Runner,Alex G,Thriller - 2003 Edit,Michael Jackson,0
Wandering Star,Portishead,Whatever It Is,Zac Brown Band,0
Sing Me to Sleep,Alan Walker,Mama,My Chemical Romance,0
Let Em' Know,Bryson Tiller,Wicked Games,The Weeknd,1
Crocodile Rock,Elton John,Amber,311,1
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,A.D.H.D,Kendrick Lamar,0
The Key to Life on Earth,Declan McKenna,No Love,Death Grips,0
Carry Me Out,Mitski,Brain Damage,Pink Floyd,1
Hey Ya!,Outkast,Casanova,Levert,0
Forgot About Dre,"Dr. Dre,Eminem",Lost,Frank Ocean,0
She Wants My Money,Dominic Fike,Wicked Game - Remastered,Chris Isaak,0
Say Yes To Heaven,Lana Del Rey,Doing It Wrong,Drake,1
White Room,Cream,Dance Hall Days,Wang Chung,1
Turning Tables,Adele,Only Ones Who Know,Arctic Monkeys,1
Let's Work Together,Canned Heat,Feels Like I'm in Love,Kelly Marie,0
Bring Me To Life,Evanescence,Hells Bells,AC/DC,1
Catch Me Outside,Ski Mask The Slump God,Whoa!,Black Rob,1
Shit Talk,Sufjan Stevens,Sisters of Mercy,Leonard Cohen,0
Teenage Dirtbag,Wheatus,One Of Them Girls,Lee Brice,1
Beautiful Day,U2,Speed of Sound,Coldplay,1
Cross Bones Style,Cat Power,Ol' 55,Tom Waits,0
Pocketful of Sunshine,Natasha Bedingfield,Losing My Religion,R.E.M.,1
I Wanna Get Better,Bleachers,Fat Lip,Sum 41,0
Comfortably Numb,Pink Floyd,Breathe (In the Air),Pink Floyd,1
Born To Be Wild,Steppenwolf,Ride Captain Ride,Blues Image,1
You Belong With Me,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift,1
Year of the Cat,Al Stewart,Honey Sweet,Blossoms,1
Runaway Baby,Bruno Mars,Hell N Back,Bakar,1
Into You,Ariana Grande,My Universe,"Coldplay,BTS",1
They Don't Care About Us,Michael Jackson,Wish I Knew You,The Revivalists,0
Carry on Wayward Son,Kansas,Hot N Cold,Katy Perry,0
China In Your Hand - Single Version,T'Pau,Middle of a Memory,Cole Swindell,1
Music For a Sushi Restaurant,Harry Styles,Heartless (feat. Morgan Wallen),"Diplo,Morgan Wallen",0
Don't You Want Me,The Human League,Youth,Glass Animals,0
Boys Don't Cry,The Cure,Do Me a Favour,Arctic Monkeys,1
Born Again,Saint Motel,Hard to Believe,Wallows,0
Till I Collapse,"Eminem,Nate Dogg",All Of The Lights,Kanye West,1
Bat Out of Hell,Meat Loaf,Follow Your Arrow,Kacey Musgraves,0
