Test Song Title,Test Artist,Recommended Song Title,Recommended Artist
About Damn Time,Lizzo,Need You Tonight,INXS
Surefire,Wilderado,Whatcha Say,Jason Derulo
Somebody That I Used To Know,"Gotye,Kimbra",Daylight,Harry Styles
Hungry Heart,Bruce Springsteen,Lucky,Britney Spears
Shut Up Kiss Me,Angel Olsen,Pretty Heart,Parker McCollum
Raging Fire,Phillip Phillips,Simple Song,The Shins
Ladies Don't Play Guitar,Tennis,Heatwave (feat. Akon),"Robin Schulz,Akon"
Seventeen,Peach Pit,Vanilla,flipturn
get him back!,Olivia Rodrigo,The Adults Are Talking,The Strokes
Wannabe,Spice Girls,Fashion Killa,A$AP Rocky
Let Me Love You Tonight,Pure Prairie League,I Know There's An Answer,The Beach Boys
DEVASTATED,Joey Bada$$,Keep Moving,Jungle
Thunderstruck,AC/DC,Kids,MGMT
Crush Culture,Conan Gray,Forever After All,Luke Combs
Stand!,The Jackson 5,The (After) Life Of The Party,Fall Out Boy
Sweet Little Mystery,Wet Wet Wet,Material Girl,Madonna
Only You,Yazoo,Sanctified,Nine Inch Nails
Gila,Beach House,Earned It (Fifty Shades Of Grey),The Weeknd
All Night (feat. Knox Fortune),"Chance the Rapper,Knox Fortune",Japanese Boy,Aneka
Plain Jane,A$AP Ferg,Vroom Vroom,Charli xcx
Come To My Window,Melissa Etheridge,All The Things She Said,Simple Minds
Runner,Alex G,Ain't Even Done With The Night,John Mellencamp
Wandering Star,Portishead,Whatever It Is,Zac Brown Band
Sing Me to Sleep,Alan Walker,New York City,The Chainsmokers
Let Em' Know,Bryson Tiller,Wicked Games,The Weeknd
Crocodile Rock,Elton John,Amber,311
Stuck Inside of Mobile with the Memphis Blues Again,Bob Dylan,Happy Birthday,Altered Images
The Key to Life on Earth,Declan McKenna,No Love,Death Grips
Carry Me Out,Mitski,Pink in the Night,Mitski
Hey Ya!,Outkast,Casanova,Levert
Forgot About Dre,"Dr. Dre,Eminem",Lost,Frank Ocean
She Wants My Money,Dominic Fike,Wicked Game - Remastered,Chris Isaak
Say Yes To Heaven,Lana Del Rey,Doing It Wrong,Drake
White Room,Cream,Dance Hall Days,Wang Chung
Turning Tables,Adele,Hotel,Montell Fish
Let's Work Together,Canned Heat,Feels Like I'm in Love,Kelly Marie
Bring Me To Life,Evanescence,Hells Bells,AC/DC
Catch Me Outside,Ski Mask The Slump God,Whoa!,Black Rob
Shit Talk,Sufjan Stevens,Sign on the Window,Bob Dylan
Teenage Dirtbag,Wheatus,One Of Them Girls,Lee Brice
Beautiful Day,U2,Speed of Sound,Coldplay
Cross Bones Style,Cat Power,Ol' 55,Tom Waits
Pocketful of Sunshine,Natasha Bedingfield,Losing My Religion,R.E.M.
I Wanna Get Better,Bleachers,"This Ain't A Scene, It's An Arms Race",Fall Out Boy
Comfortably Numb,Pink Floyd,Breathe (In the Air),Pink Floyd
Born To Be Wild,Steppenwolf,Ride Captain Ride,Blues Image
You Belong With Me,Taylor Swift,You Belong With Me (Taylor’s Version),Taylor Swift
Year of the Cat,Al Stewart,Honey Sweet,Blossoms
Runaway Baby,Bruno Mars,Hell N Back,Bakar
Into You,Ariana Grande,My Universe,"Coldplay,BTS"
They Don't Care About Us,Michael Jackson,Enjoy the Silence,Depeche Mode
Carry on Wayward Son,Kansas,You Shook Me All Night Long,AC/DC
China In Your Hand - Single Version,T'Pau,Joga,Björk
Music For a Sushi Restaurant,Harry Styles,Heartless (feat. Morgan Wallen),"Diplo,Morgan Wallen"
Don't You Want Me,The Human League,Super Freak,Rick James
Boys Don't Cry,The Cure,Rock You Like A Hurricane,Scorpions
Born Again,Saint Motel,Night Shift,Jon Pardi
Till I Collapse,"Eminem,Nate Dogg",All Of The Lights,Kanye West
Bat Out of Hell,Meat Loaf,Paranoid Android,Radiohead
Belong to the City,PARTYNEXTDOOR,Killing Me Softly With His Song,Roberta Flack
blind,ROLE MODEL,Miracle Man,Oliver Tree
Cocoa Butter Kisses,"Chance the Rapper,VIC MENSA,Twista",Say My Name,"ODESZA,Zyra"
Tennis Court,Lorde,I Wanna Love You,"Akon,Snoop Dogg"
TEMPTATION,Joey Bada$$,The Thrill,"Wiz Khalifa,Empire Of The Sun"
Summers Over Interlude,"Drake,Majid Jordan",Nothings Into Somethings,Drake
EARFQUAKE,"Tyler, The Creator",Pipe Down,Drake
Rock with You - Single Version,Michael Jackson,Celebration,Kool & The Gang
Calling After Me,Wallows,Song 2,Blur
Bad Girls,M.I.A.,Broken Strings,"James Morrison,Nelly Furtado"
Raspberry Beret,Prince,Jessie's Girl,Rick Springfield
I Dare You,The Regrettes,Cross Your Mind,Niall Horan
Anthems For A Seventeen Year-Old Girl,Broken Social Scene,Atlantic City,Bruce Springsteen
Hurricane,Luke Combs,Torn,Natalie Imbruglia
Starlight,Muse,Learn to Fly,Foo Fighters
Shining Star,The Manhattans,To Be With You,Mr. Big
Charlie Brown,Coldplay,Rollercoaster,Bleachers
Dearly Departed (feat. Esmé Patterson),Shakey Graves,Burn Out,Midland
All For You,Janet Jackson,Cut To The Feeling,Carly Rae Jepsen
Energy,Drake,Vroom Vroom,Charli xcx
Been Away,Brent Faiyaz,Melting,Kali Uchis
Green Green Grass,George Ezra,OUT OUT (feat. Charli XCX & Saweetie),"Joel Corry,Jax Jones,Charli xcx,Saweetie"
Enter Sandman,Metallica,Electric Love,BØRNS
Stand and Deliver,Adam & The Ants,Black Night - 1995 Remaster,Deep Purple
Hunger,Florence + The Machine,P*$$Y Fairy (OTW),Jhené Aiko
Without You,Harry Nilsson,High Road,Zach Bryan
No Ordinary Love,Sade,C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan
Whiskey On You,Nate Smith,That's What You Get,Paramore
Locked Up,Akon,Father Stretch My Hands Pt. 1,Kanye West
Don't Let the Sun Go Down on Me,"George Michael,Elton John",Tiny Dancer,Elton John
Lost In Love,Air Supply,You Love Me,Kimya Dawson
Nas Is Like,Nas,Dashboard,Modest Mouse
No More Mr. Nice Guy,Alice Cooper,Money,Pink Floyd
Folding Chair,Regina Spektor,Coyote,Joni Mitchell
Let Your Love Flow,The Bellamy Brothers,Houdini,Foster The People
Santeria,Sublime,2002,Anne-Marie
Can't Help Falling In Love,Andy Williams,Headlock,Snail Mail
Ayo,"Chris Brown,Tyga",So Hot You're Hurting My Feelings,Caroline Polachek
How Deep Is Your Love,"Calvin Harris,Disciples","Dance, Dance",Fall Out Boy
