Test Song Title,Test Artist,Recommended Song Title,Recommended Artist
Stretch You Out (feat. A Boogie wit da Hoodie),"Summer Walker,A Boogie Wit da Hoodie",Happier Than Ever,ASTN
On Melancholy Hill,Gorillaz,One More Time,Daft Punk
WHO CARES?,Rex Orange County,Die Young,Sylvan Esso
Solid,Ashford & Simpson,Best of My Love,The Emotions
BREAK MY SOUL,Beyoncé,Groove Is in the Heart,Deee-Lite
Should've Been Me,Mitski,Mountain at My Gates,Foals
People Watching,Conan Gray,Would That I,Hozier
Easy On Me,Adele,Million Reasons,Lady Gaga
Roads,Portishead,Undo,Björk
High Road,Zach Bryan,xanny,Billie Eilish
The King,Sarah Kinsley,British Bombs,Declan McKenna
I Like That,Janelle Monáe,I Believe I Can Fly,R. Kelly
What You Waiting For?,Gwen Stefani,The Safety Dance,Men Without Hats
Tower of Song,Leonard Cohen,"Don't Think Twice, It's All Right",Bob Dylan
The Night We Met,Lord Huron,ceilings,Lizzy McAlpine
Sex on Fire,Kings of Leon,love is embarrassing,Olivia Rodrigo
Waterloo,ABBA,Footloose - From  Footloose  Soundtrack,Kenny Loggins
April Come She Will,Simon & Garfunkel,Bird on the Wire,Leonard Cohen
Empty Mansions,Local Natives,Big Sad,Mickey Darling
Kids,MGMT,All We Need,"ODESZA,Shy Girls"
Lavender Haze,Taylor Swift,Big in Japan,Alphaville
Historians,Lucy Dacus,Blue Bucket of Gold,Sufjan Stevens
Lose Yourself,Eminem,Feel No Ways,Drake
Revenge,XXXTENTACION,Weird Fishes / Arpeggi,Radiohead
Solo,Frank Ocean,Killing Me Softly With His Song,Roberta Flack
Break Your Heart,Taio Cruz,Where Them Girls At (feat. Nicki Minaj & Flo Rida),"David Guetta,Flo Rida,Nicki Minaj"
Landslide,The Chicks,Guilty as Sin?,Taylor Swift
Joan of Arc,Leonard Cohen,Headless Horseman,The Microphones
(Everything I Do) I Do It For You,Bryan Adams,Someone Saved My Life Tonight,Elton John
Wicked Games,The Weeknd,Let Em' Know,Bryson Tiller
Blister In The Sun,Violent Femmes,Cornflake Girl,Tori Amos
Hello,Lionel Richie,High For This,The Weeknd
My Love Mine All Mine,Mitski,The Night We Met,Lord Huron
Carried Away,Passion Pit,Silvertongue,Young the Giant
Patience,Take That,SOS,ABBA
Africa,TOTO,Cocaine,Eric Clapton
Razor Boy,Steely Dan,Rikki Don't Lose That Number,Steely Dan
Headless Horseman,The Microphones,I'm Your Man,Mitski
Semi-Charmed Life,Third Eye Blind,Supermassive Black Hole,Muse
Chasing The Sun,The Wanted,Copacabana (At the Copa),Barry Manilow
A Forest,The Cure,Paper Bag,Fiona Apple
I Believe I Can Fly,R. Kelly,Since Way Back,"Drake,PARTYNEXTDOOR"
Oh My God,Adele,All Falls Down (feat. Juliander),"Alan Walker,Noah Cyrus,Digital Farm Animals,Juliander"
(You Make Me Feel Like) A Natural Woman,Carole King,We've Only Just Begun,Carpenters
Sound of da Police,KRS-One,"Bitch, Don’t Kill My Vibe",Kendrick Lamar
Wishes,Beach House,Caught,Florence + The Machine
Amber,311,Under the Milky Way,The Church
LOVE YOU BETTER,Future,What You Know Bout Love,Pop Smoke
Natural Blues,Moby,Sour Times,Portishead
Weekend in New England,Barry Manilow,It's All Coming Back to Me Now,Céline Dion
Just Like Jesse James,Cher,Wildest Dreams (Taylor's Version),Taylor Swift
Heaven Is A Place On Earth,Belinda Carlisle,Breathless,The Corrs
Last Night Lonely,Jon Pardi,Homegrown,Zac Brown Band
Somewhere in My Heart,Aztec Camera,Dancing On The Ceiling,Lionel Richie
Say My Name,"ODESZA,Zyra",Rasputin,"Majestic,Boney M."
Get Your Wish,Porter Robinson,No Doubt About It,Hot Chocolate
Wish You Were Here,Pink Floyd,Wonderful Tonight,Eric Clapton
I Dare You,The xx,Every Time the Sun Comes Up,Sharon Van Etten
SOS,Rihanna,Call Me Maybe,Carly Rae Jepsen
You Said Something,PJ Harvey,No One Knows,Queens of the Stone Age
Respect,Aretha Franklin,Hang On to Your Love - Long Version,Sade
Love's Train,"Bruno Mars,Anderson .Paak,Silk Sonic",I Wanna Be Your Lover,Prince
big fat mouth,Arlie,You Wouldn't like Me,Tegan and Sara
Lucky,Britney Spears,"yes, and?",Ariana Grande
Luka,Suzanne Vega,Xanadu,Olivia Newton-John
Hot N Cold,Katy Perry,Rock DJ,Robbie Williams
Mississippi Queen,Mountain,Living Next Door to Alice,Smokie
Innerbloom,RÜFÜS DU SOL,How to Save a Life,The Fray
Outskirts,Sam Hunt,I Hope You’re Happy Now,"Carly Pearce,Lee Brice"
Never Is a Promise,Fiona Apple,To Bring You My Love,PJ Harvey
the 1,Taylor Swift,my tears ricochet,Taylor Swift
Thank U,Alanis Morissette,Still The Same,Bob Seger
I Hate Myself for Loving You,Joan Jett & the Blackhearts,Head Like A Hole,Nine Inch Nails
Somebody To You,The Vamps,Calling After Me,Wallows
The Ocean (feat. Shy Martin),"Mike Perry,shy martin",Heroes (we could be),"Alesso,Tove Lo"
Midnight Rider,Allman Brothers Band,The River,Bruce Springsteen
Cum on Feel the Noize,Quiet Riot,Beautiful Day,U2
Working For It,"ZHU,Skrillex,THEY.",Keep Moving,Jungle
Young Hearts Run Free,Candi Staton,Sexual Healing,Marvin Gaye
Take A Look Around,Limp Bizkit,I Miss You,blink-182
Nellie,Dr. Dog,Lemon Boy,Cavetown
Crank That (Soulja Boy),Soulja Boy,OOOUUU,Young M.A
No Love,Death Grips,Pass Out,Tinie Tempah
Stoned Love - Single Version,The Supremes,Running Away,Thee Sacred Souls
Middle of a Memory,Cole Swindell,We Are Tonight,Billy Currington
Girls Like (feat. Zara Larsson),"Tinie Tempah,Zara Larsson",Luxurious,Gwen Stefani
Was It Something I Said,MyKey,Harmony Hall,Vampire Weekend
CANDY (feat. Nipsey Hussle),"PARTYNEXTDOOR,Nipsey Hussle",The Beach,The Neighbourhood
Temperature,Sean Paul,The Real Slim Shady,Eminem
"Sunflower, Vol. 6",Harry Styles,Don't Fade Away,Beach Fossils
Stakes Is High,De La Soul,Let Me Ride,"Dr. Dre,Snoop Dogg,RBX,Jewell"
Jimmy,M.I.A.,"Heavy, California",Jungle
Edge of Seventeen,Stevie Nicks,Still The Same,Bob Seger
Blue Bucket of Gold,Sufjan Stevens,Historians,Lucy Dacus
The Man Who Sold The World - Live,Nirvana,Gimme Shelter,The Rolling Stones
Style,Taylor Swift,My Kink Is Karma,Chappell Roan
Linger,The Cranberries,Baker Street,Gerry Rafferty
If,Bread,Running To Stand Still,U2
Two Weeks,FKA twigs,On Hold,The xx
Lazuli,Beach House,Do Me a Favour,Arctic Monkeys
