Artist,Song,Key,BPM,Camelot,Popularity,Energy,Danceability,Hapiness,lyrics
21 Savage,ball w/o you,A♭ Major,138,4B,80,63,89,46,"Woah
Woah, woah

You runnin' 'round drinkin' liquor
Takin' pictures 'cause you miss me
(I know you miss me)
You runnin' 'round drinkin' liquor
Fuckin' niggas 'cause you miss me
(You just want attention)
You can sleep with half the world
Bet you still won't forget me
(On God)
You could find love, get married, have kids
I'd still be realest nigga to hit it
(Straight up, straight up, straight up, straight up)
I was gettin' some head earlier and you crossed my mind (Straight up)
I'm as solid as they come, but you crossed the line (21)
Yeah, you been stopped keepin' it real, I can see the signs (On God)
When it came to havin' your back, I'm so real
I prolly would've gave you my spine (Straight up)
I'd rather have loyalty than love
'Cause love really don't mean jack (Straight up)
See love is just a feeling
You can love somebody and still stab them in they back (On God)
It don't take much to love
You can love somebody just by being attached (21)
See loyalty is a action
You can love or hate me and still have my back (Facts)

I gave you my all (My all)
You was my dawg (You was my dawg)
I would have went to war with the world on your call (On your call)
Thought you had my back (Nah)
You let me fall (Let me fall)
You healed my pain (My pain)
Then you caused it (Then you caused it)
Now I gotta ball without you (Straight up)
Now I gotta ball (Straight up)
Now I gotta ball without you (21)
Now I gotta ball (21)
Now I gotta ball without you (Ball)
Now I gotta ball (Now I gotta ball)
Now I gotta ball without you (21)
Now I gotta ball (21, 21)

You crossed me once, it's fuck you forever (Straight up)
Middle school got my heart broke, stop writin' love letters (21)
Heart cold, yeah, so cold had to buy the Moncler sweater (On God)
Valentines Day, she ripped the card and urinated on the rose petals (Damn)
You was my rock, heavy metal
Now you ain't shit to me (Facts)
I thought it was love, until I woke up
And had an epiphany (21)
Keep the fame and keep the love
Just give me the loyalty (On God)
Nefertiti, King Tut
I treat you like royalty (Fact)

I just wish your love wouldn't fade away
Even when the smoke clear, I'm here to stay
Don't you ever let a nigga take my place
Would you be around if I had minimum wage?

I gave you my all (My all)
You was my dawg (You was my dawg)
I would have went to war with the world on your call (On your call)
Thought you had my back (Nah)
You let me fall (Let me fall)
You healed my pain (My pain)
Then you caused it (Then you caused it)
Now I gotta ball without you (Straight up)
Now I gotta ball (Straight up)
Now I gotta ball without you (21)
Now I gotta ball (21)
Now I gotta ball without you (Ball)
Now I gotta ball (Now I gotta ball)
Now I gotta ball without you (21)
Now I gotta ball (21, 21)"
21 Savage,can't leave without it,F# Minor,132,11A,74,59,87,70,"Yeah

VVS look like a star (Yeah)
I took the top off the car (Yeah)
We don't abide by the law (No)
You don’t know what I done saw (Saw)
Can't leave without it (I can't leave without it)
I keep a stick for the war (Stick)
Checks I deposit (Checks I deposit)
Money just stick with the boy

Lot of model bitches check for me
Nigga, don’t check for me 'less you got checks for me
I kept a stick like a hobo, no checkin' me
Way back when D-Lo had the spot in Trestletree
So many hoes, had to get a vasectomy
She left her body home and brought her neck to me
I did a walk-through, they sent a jet to me
Y'all niggas show price less than my travel fee
One of my arms worth a ticket
Watch so much that a car came with it
Back in the day I used to rob with no mask on
Shit on my wrist, I woulda killed the whole house for
And I went to school high, I ain't go to class though
I was with the OGs learnin' 'bout the glass bowl
Caught me with a deuce-five, mama kicked my ass, bro
Break yourself, leave his brains on the dashboard
I'm with Ced and Lil Baby (Yeah)
We got four choppers that’s full (21)
Way before rappin’, on God, I was trappin', sneakin’ my Glock in Lacura (On God)
I got my K from Osama Bin Laden, lil' nigga, he signed this shit (Straight up)
I'm 4L gang, if you reach for my chain, then a nigga gon' die in this bitch (On God)
A-B-C-D-E-F-G-Wagen, y’all niggas doin' that big cappin' (21)
I ain't with the friendly shit
Closest thing y'all gettin' to a handshake is the beat clappin' (21)
Your mama gon' have to make a GoFundMe, y'all niggas keep doing that sneak jabbin' (Straight up)
Gucci had to kill the whole woods
Just to make Young Savage this motherfuckin' mink jacket (21)

VVS look like a star (Yeah)
I took the top off the car (Yeah)
We don't abide by the law (No)
You don't know what I done saw (Saw)
Can't leave without it (I can't leave without it)
I keep a stick for the war (Stick)
Checks I deposit (Checks I deposit)
Money just stick with the boy (Stick)

Cash in and cash out (Cash in and cash out)
I am not lookin' for clout (Nah)
I knew I would figure it out (I knew)
I took the millionaire route (Run it up)
Popped a pill got my head in the cloud (Huh)
Say my name, it'll bring out a crowd (Crowd)
We got paid, now my family proud (On God)
I been drippin' this drip since a child

I hit your bitch, she a jump-off
Cartier bracelets for her, they don't come off
They get the swag from Atlanta and run off
I make the boys swing the stick like a tomahawk
Runnin' this shit, what the fuck is they talkin' 'bout?
Skinny jeans stuffed with them hundreds, they poke out
S65, I'm in a robot
I'm a real one, I ain't running from nobody
Hellcat fast, you know that I show out
Ain't sparin' no bitch, give a fuck 'bout a blowout
If we wanted smoke with you, boy, you couldn't go out
Still gettin' money my label don't know 'bout
Court-side with a vibe with her toes out
Rich nigga, I come straight out the poor house
Trap goin' crazy right there by Morehouse
Dead end, me, Ced, and Mohawk
Bought a Benz, doubled back, bought a Trackhawk
I'm with Savage in the 6 doin' donuts (Skrrt)
Youngins with me, they got fire, they gon' go nuts
Quarter-million in a baby-blue Goyard
Buy it cash then I go in the motor
Drive fast, ain't no pullin' me over
Play with bags, you can tell by the odor
No alcohol, go get me a new soda

VVS look like a star (Yeah)
I took the top off the car (Yeah)
We don't abide by the law (No)
You don't know what I done saw (Saw)
Can't leave without it (I can't leave without it)
I keep a stick for the war (Stick)
Checks I deposit (Checks I deposit)
Money just stick with the boy

Yeah, niggas tryna drip like the boy, yeah (Boy)
I don't gotta get no award, yeah (Award)
Live in the bank, don't do fraud, yeah (No fraud)
Two hundred racks on my arm, yeah
I been fuckin' superstars, yeah (Stars)
Her pussy good, buy her a car, yeah (Cars)
You niggas ain't makin' no noise, yeah (Noise)
You niggas ain't makin' no noise"
"21 Savage, Metro Boomin",Glock In My Lap,B♭ Minor,130,3A,80,73,85,20,"Y'all niggas stop playin', nigga
Y'all niggas know what the fuck goin' on
Big 4L, big steppers
Big footprints, pussy (Southside on the track, yeah)
Pussy, pussy, pussy, pussy, pussy
Pussy, pussy, okay, 21 (Honorable C.N.O.T.E.)
Okay, 21, okay, 21 (Okay)
Okay, 21 (Metro Boomin want some more, nigga)
21, 21, 21

Big 4L, I'm a member (Yeah)
Leave an opp cold, like December (What?)
.45 on me, it's a Kimber (And what?)
AK knockin' down trees, like timber
Get your baby mama 'fore we bend her (21)
Hit the windshield, not the fender (21)
Givin' out smoke my agenda (21)
Throw the white flag, they surrender (Pussy)
All black tux, I'm a businessman (Pussy)
Millionaire, still shakin' killеrs hand (Woah)
Take the plug off and the middlе man (Woah)
Spray the whole block, I don't give a damn (Woah)
Fuck a nigga bitch, I'm a gentleman (21)
21, your bitch know I been the man (21)
Playin' with the rock like I'm Jigga man
Gotta look a nigga in the eyes when you kill a man

Glock in my lap, everywhere I'm strapped
Most these rappers cap, I ain't givin' dap
Glenwood to the flat, used to rob and trap
Money tall, Shaq, choppa bullets, splat
Chuck E. Cheese, rat, we get rodents whacked
Way too many steppers, I can't hold 'em back
Body full of scars, face full of tats
You pray on your knees, I pray to my strap

Say you want smoke, but the fire come with it
Money on your head, nigga, we'll come get it
New Kel-Tec put a hun-dun in it
'Partment so sweet, threw a honey bun in it
Keep it in the street, I ain't doin' no squealin'
I don't never put women in my business
Full-time rapper, I ain't doin' no drillin'
Woah, woah, I can make a M in my sleep (Straight up)
17 breakin' down a P (On God)
18 start sellin' hard with Lil B
Hundred dollar three-five, a whip from D
Ridin' down Glenwood, tank on E
All about the money, I ain't never smoke weed
Cool young nigga, still take yo' cheese (Pussy)
Not mine, this bitch for us (21)
The gang is what I trust (Straight up)
Don't argue, we don't fuss (Straight up)
No talkin', he get touched (Straight up)
I can't smoke my opps (On God)
'Cause all my opps is dust (Pussy)
He think he the battery, we call him Elon Musk (Pussy)
Open your mouth when I bust (21)
Suck me up slow, don't rush (21)
Havin' threesomes is a must (Straight up)
Hit it from the back and she cussed (On God)
I put his bitch in the Benz (21)
She used to ride on the bus (Damn)
I walk around with them thigh pads (21)
But I ain't got no yard rushed

Glock in my lap, everywhere I'm strapped
Most these rappers cap, I ain't givin' dap
Glenwood to the flat, used to rob and trap
Money tall, Shaq, choppa bullets, splat
Chuck E. Cheese, rat, we get rodents whacked
Way too many steppers, I can't hold 'em back
Body full of scars, face full of tats
You pray on your knees, I pray to my strap"
"21 Savage, Metro Boomin",Feel It,C# Minor,150,12A,49,45,76,30,"“Feel It” is the eighth track off of the collaborative mixtape “Savage Mode”. Metro Boomin teams up with co producer Zaytoven, to deliver an eerie beat behind 21 addressing relationships.
Now first of all where I'm supposed to start
When I first met you man another nigga had your heart
But, I'ma player so you know a playa played his part
Smooth talkin', conversation took a nigga broad
I'm on the road doin' shows, seem like we fell apart
She think a nigga fuckin' groupies, I'm just grindin' hard
Your family said we wouldn't last, but we beat the odds
Bonnie and Clyde, she was with a nigga stealin' cars
These streets so dirty, I just want someone who really there
Can't fake love, I just want someone who really care
Be loyal to me, want somebody I ain't gotta share
Open your eyes, baby girl, real niggas rare
All my dog ways, had to put 'em in a kennel
I'm a savage to these niggas, but to her I'm gentle
I'm a savage to these niggas, but to her I'm gentle
I'm just sippin' on this mud, you was on my mental (21)

I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air

I can feel it in the air, I'ma grab her by her hair
I'ma fuck her like a bear, I'ma fuck her like a bear
Red bottoms on her, yeah
Buy her Gucci, Fendi, yeah
She too stiff on niggas, yeah
She gon' make these niggas stare
I'ma fuck her with no condom
I'ma let her meet my momma
I'ma take her out that Honda
I'ma put her in the foreign
Spoiled, she ain't got no patience
She gon' have these bitches hatin'
Got them diamonds on me skatin'
Got them diamonds on her skatin'
Everywhere we go we clean
She want me to quit that lean
Baby, I can't quit that lean
Put a ring around codeine
Everywhere we go we clean
She want me to quit that lean
Baby, I can't quit that lean
Put a ring around codeine

I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air
I can feel it in the air, I can feel it in the air"
22Gz,Retaliation,B Major,142,1B,55,68,92,49,"(SkinnyKhris)
Skrrt, skrrt
Skrrt, skrrt, skrrt, skrrt, skrrt
Gang, gang, gang
Gang, gang, gang, gang, gang

Told my sniper, ""Spin the block again, I think he still alive""
Tinted windows on that vehicle, tryna catch that homicide
When this FN hit his face, it's gon' go through the other side
Ask the opps, I done spinned they block about a hundred times
I spent cases, ooters gon' chase him, he ain't gon' make it
Do a hit in McQueens so they can't see our faces (So they can't see our faces)
I'ma use the revolver, it's gon' catch all the cases (It's gon' catch shell cases)
What I spent on this chain and my wrist just savings (Drip)
Catch him and fry him like bacon (Like bacon)

We gon' make him a day, turn him to a patient soon as we get the location
No GTA, we left him wasted (SkinnyKhris), shouldn't been droppin' them rakes then (Shouldn't been droppin' them rakes then)
He gon' end up with a mortgage for all that fraudin', better be cautious (Better be cautious)
He only tough when he log in, he ain't gon' talk when that blick to his noggin (That blick to his noggin)
All black Honda, shooters like Mamba, kill an opp, roll him in grabba (Just like Mamba)
Ain't gonna line him, soon as we find him (SkinnyKhris), hella holes in his designer (Hella holes in his designer)
Three deep, call us the Migos (Skrrt, skrrt)
Run up on him while he playin' cee-lo
Heart rate, we gon' turn it to zero (Turn it to zero)
My lil' youngin did it for a C-note
Last nigga who tried me got took off the map (He got turned to a pack)
I have a MAC, come let off a mag (SkinnyKhris), this shit go brrat (Rrah-rrah)
Niggas ain't got the heart to slide, no cap (Niggas ain't got the heart to slide, no cap)
Told the driver to park at the front, we gon' walk through the back
Gon' end up like the rest of them niggas as soon as he lack (Skrrt, skrrt, skrrt, skrrt)
Hollow tips rip through his chest, he gon' catch an attack (Catch an attack)
One in the head with the blicky, I'm ready to snap (One in the head with the blicky, I'm ready to snap)
Niggas get whacked for thinkin' this shit just rap

Told my sniper, ""Spin the block again, I think he still alive"" (Spin it, spin it, spin it, spin it)
Tinted windows on that vehicle, tryna catch that homicide
When this FN hit his face, it's gon' go through the other side
Ask the opps, I done spinned they block about a hundred times (Hundred times)
I spent cases, ooters gon' chase him, he ain't gon' make it (He ain't gon' make it)
Do a hit in McQueens so they can't see our faces (So they can't see our faces, man down, man down)
I'ma use the revolver, it's gon' catch all the cases (It's gon' catch shell cases)
What I spent on this chain and my wrist just savings (Drip)
Catch him and fry him like bacon (Like bacon)"
22Gz,"Suburban, Pt. 2",B Major,144,1B,62,57,83,54,"(Ghosty)
Catch one of y'all niggas slipping out here, nigga
It's gon' be murder, nigga, word to my mama, nigga
Hoodie on, mask on, strap drawn, tried to run, he ain't get that far
Fishbowl try to spin that block, gang gang gon' Swiss that car
Kill a opp broad day, get blasted, lawyer gon' spank that charge
Hangin' out all black Suburbans, Blicky gon' hit that target

Hoodie on, mask on, strap drawn, tried to run, he ain't get that far (Come here)
Fishbowl try to spin that block, gang gang gon' Swiss that car
Kill a opp broad day, get blasted, lawyer gon' spank that charge (Gang, gang, gang)
Hangin' out all black Suburbans, Blicky gon' hit that target

Whole lotta shots, knock his face off
Spin through, hang out the roof with a Draco
Back from the Yams and the case closed
Blood on my kicks, that's from stomping his face off
Chop off a limb with a chainsaw (Come here)
No cap, I'm in the booth with a bankroll (Bankroll)
Stuffin' the clip, a whole trey-O
He ain't gon' shoot, why the fuck is he gang for?
Run up on Fetty, catch Fetty, that's Fetty (Come here)
Countin' hella bands, Swing chase that zelly (Pussy)
Henny on Henny on Henny on Henny
Gang in the spot, get deady on deady
Bustin' a 40, spin on your shawty, don't do Bacardi (Don't do Bacardi)
Bust your piñata, open your māthā, shoot up the party (Māthā, māthā)
Fuck it, we live, chair to the head, get beat up like Mauley (Beat up like Mauley)
If I'm not on the H, then I'm in the Fields or I'm up in Garvey
Thirty clip, that mean hella bodies (Hella bodies)
Spin your hood and kill anybody (Anybody)
If he missing, the medics got him
He ain't dead, but we paralyzed him (Paralyzed him)

Hoodie on, mask on, strap drawn, tried to run, he ain't get that far (Come here)
Fishbowl try to spin that block, gang gang gon' Swiss that car
Kill a opp broad day, get blasted, lawyer gon' spank that charge (Gang, gang, gang)
Hangin' out all black Suburbans, Blicky gon' hit that target

Getting money off the zelly
In and out her like a deli
Free that nigga Skrelly
Put a bullet in his belly
BnB, so fuck a telly
Fucking up a shot
We don't do the jumpin' (Nah)
Shotgun start to pumpin'
See him slipping, I'ma dump it (Gang, gang, gang)
Kill a nigga, then we dump him
Throw his body in a dumpster
Spin through like ayy
He moving wock, he get shot in the face (Ayy, ayy)
I heard they droppin' the rakes (Huh?)
But we got the addy and we on the way
Swervin', lurkin', slippin', murk 'em
Purge with burners, it's a murder (Gang, gang, nigga)
Hearse him, put him in the dirt
They got his face prints on a shirt
Hop out, strap drawn, head tap, tried to run, he ain't get that far (He ain't get that far)
Spin through, two shooters, one driver, we gon' kill that boy (We gon' kill that boy)
We gon' bend that block, we gon', you gon' hear that noise (You gon' hear that shit)
All we know is dead opps, no attempts at leg shots, hit him in his headtop (Kill that nigga)

Hoodie on, mask on, strap drawn, tried to run, he ain't get that far (Come here)
Fishbowl try to spin that block, gang gang gon' Swiss that car
Kill a opp broad day, get blasted, lawyer gon' spank that charge (Gang, gang, gang)
Hangin' out all black Suburbans, Blicky gon' hit that target
Hoodie on, mask on, strap drawn, tried to run, he ain't get that far (Come here)
Fishbowl try to spin that block, gang gang gon' Swiss that car
Kill a opp broad day, get blasted, lawyer gon' spank that charge (Gang, gang, gang)
Hangin' out all black Suburbans, Blicky gon' hit that target

Sniper da Blicky da Blicky da Blicky da Blicky
Free Kodak Black
Let me catch one of y'all niggas comin' out the corner store or some shit, it's litty
Gang"
24kGoldn,MY BED,C Major,128,8B,35,55,73,60,"You wanna play, I'm not with the games, so don't even try, yeah
Hit up my phone, leave me alone, get out of my head
You was tryna break my heart, that's what they all said
Swear that you ain't been the same since you left my bed

You wanna play, I'm not with the games, so don't even try, yeah
Hit up my phone, leave me alone, get out of my head
You was tryna break my heart, that's what they all said
Swear that you ain't been the same since you left my bed, hey

You been actin' different, baby (Uh)
What you been sippin' on? 'Cause that don't look like Lipton, baby (No)
I wanna take you back, you know that you could get it, baby (Yeah)
But you keep sayin' that you done and that you fucking hate me (Woah), you really drive me crazy
I just wanna know, do you even wanna be mine?
Up at three AM, girl, what happened to your bedtime?
You was all on my mind, thought I was the right guy
Lost her to the night light, guess she wasn't my type

You wanna play, I'm not with the games, so don't even try, yeah
Hit up my phone, leave me alone, get out of my head
You was tryna break my heart, that's what they all said
Swear that you ain't been the same since you left my bed
You wanna play, I'm not with the games, so don't even try, yeah (No)
Hit up my phone, leave me alone, get out of my head (My head)
You was tryna break my heart, that's what they all said (All said)
Swear that you ain't been the same since you left my bed (My bed)
You wanna play, I'm not with the games, so don't even try, yeah (No)
Hit up my phone, leave me alone, get out of my head (My head)
You was tryna break my heart, that's what they all said (All said)
Swear that you ain't been the same since you left my bed"
24kGoldn,VALENTINO,A Minor,151,8A,69,72,75,52,"I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed
I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed

I fuck her long, ain't no Minute Maid, my diamonds lemonade
Flexin' hard, call me Popeye, wallet filled with spinach, ayy
Cut you off on the interstate, I'm first to finish, ayy
I'm a young, rich nigga, bitch, it's always been that way
To the grave, might just be tomorrow, might just be today
So I always live it up, we poppin' bottles, poppin' K's
Gucci shades from my bougie bitch, I ain't even had to pay
Had to put on for the team and had to put on for the Bay
I'm still fly when I wear Robin's wings, I can't stay in one place
Russian Creams in my rocket ship, we go to outer space
Mask off, mask on, fuck it, I can't catch a case
Blast off, blast off, see the stars up in the Wraith
You can't get into the crib because the mansion got a gate
You can't come into my section, I'm gon' put you into place
If your club goin' up, you bet I'm slidin' like a Chase
And I think I fell in love, she shook that ass up in my face

I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed
I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed

She just can't seem to keep her knees closed
She just can't seem to keep her knees closed

⁠⁠I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed
I don't want a valentine, I just want Valentino
I just want the neck, I poke her face like a casino
Deep throat, know I get it in like a free throw
Shawty want some mo', she just can't seem to keep her knees closed"
"24kGoldn, iann dior",Mood (feat. iann dior),G Minor,91,6A,80,72,70,73,"What's up everybody it's 24kGoldn, I'm really proud of this.. I spent hours and hours designing the world.. Picking the songs, re-recording new vocals.. Rehearsing all the moves and dressed like i'm about to go deep in the metaverse just for y'all... See you soon, I gotta get on stage
What's up Robloxians! How you guys doing today? What's good? What's good? Oh i like your outfit over there! Now, if you don't know, My name is 24kGoldn and it's an incredible honor to put on this concert for y'all today... But before we get started with any music.. I got to put you on.. A little secret.. You see this? This is called a relic. I've hidden five of them across the entire concert.. And if you can collect them all you're gonna get a special reward.. Now, because I'm a nice guy.. The first one is a freebie. Thank me later for that. Uh, this first song we're going to get into is one of my favorites, it's a very special song to me.. You might have heard it before and it's called ""Mood"". And to do this song i'm gonna need my golden microphone

Oh-oh-oh
Yeah, yeah, yeah, yeah (Yeah)

Why you always in a mood?
Messin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playin' by your rules
Everything look better with a view
Why you always in a mood?
Messin' 'round, actin' brand new
I ain't tryna tell you what to do
But try to play it cool
Baby, I ain't playin' by your rules
Everything look better with a view, yeah

I could never get attached
When I start to feel, I unattach
Someone I was into end up feelin' bad
Baby, I am not your dad
What more do you want from me
I just want your company
Girl, it's obvious, elephant in the room
And we're a part of it, don't act so confu-

Uh... Who are you? No, seriously, Who are you? Hey! ouch.. What are you- Hey! That's my microphone! I'll take this.. No you won't!
What? I can't do the show without my microphone.. Uh.. Let me think.. I got an idea.. Come on y'all.. Let's get in the car"
"2Scratch, Lox Chatterbox",Superlife,A♭ Major,148,4B,54,57,63,16,"(Ooh)
(Shawty so high)

Yeah, shawty so high, she popped a pill
Now she call it superlife, yeah
She want me come over, fuck her body
So she fuck me all the night, yeah
Bitches in the club sell their souls for a drive to cloud nine, yeah
Seems like they will do everything to feel a bit alive

Superlife, she gon' live it twice
Nothing that she wouldn't do to try to feel alive
Superlife, don't care if it's right
She just wanna get a little taste of what it's like

Superlife, she gon' live that (Live that)
If you broke, she ain't with that (With that)
Super white, she gon' sniff that
Tryna get to a high she can't get back (Get back)
When she call me up, I know what she want (Yeah)
Someone to get high with, somebody to fuck (Everytime)
They call it suicide (Suicide), I call it lost but she call it superlife (Superlife)

Yeah, shawty so high, she popped a pill
Now she call it superlife (Super life), yeah
She want me come over, fuck her body
So she fuck me all the night, yeah
Bitches in the club sell their souls for a drive to cloud nine, yeah
Seems like they will do everything to feel a bit alive

(Superlife)
(Ooh)
(Superlife)
(Superlife)
(Superlife)

W-w-when she call me up, I know what she want
Someone to get high with, somebody to fuck
They sayin' she crazy, they callin' it suicide
But I call it lost, she call it superlife

Yeah, shawty so high, she popped a pill
Now she call it superlife, yeah
She want me come over, fuck her body
So she fuck me all the night, yeah
Bitches in the club sell their souls for a drive to cloud nine, yeah
Seems like they will do everything to feel a bit alive (It's Lox)

She's so high, you can see in both her eyes
She ain't even got emotions left
She ain't even got a pulse, don't try
You don't even wanna ask that girl
Better make two feet, four, or five
Everybody knows she's super lit like supernovas in the sky
I think it's funny how a superficial girl (Hmm)
Keep tryna live a super fucking life (Right?)
She ain't even got a super fucking clue
How to ever make it to the other side
She wanna be on film, Super 8 (Eight)
She wanna make those mills, supersized (-sized)
Tryna live a new life few could taste (Taste)
She just wanna live a superlife (Life, life)

Superlife, she gon live it twice
Nothing that she wouldn't do to try to feel alive
Superlife, don't care if it's right
She just wanna get a little taste of what it's like
W-w-when she call me up, I know what she want
Someone to get high with, somebody to fuck
They sayin' she crazy, they callin' it suicide
But I call it lost, she call it superlife

Yeah, shawty so high, she popped a pill
Now she call it superlife (Super life), yeah
She want me come over, fuck her body
So she fuck me all the night, yeah
Bitches in the club sell their souls for a drive to cloud nine, yeah
Seems like they will do everything to feel a bit alive

(Superlife)
(Ooh)
(Superlife)

(Superlife)
(Superlife)
W-w-when she call me up, I know what she want
Someone to get high with, somebody to fuck
They sayin' she crazy, they callin' it suicide
But I call it lost, she call it superlife"
