#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time ,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Not a Bad Thing","Justin Timberlake",59,86,"","","The 20/20 Experience - 2 of 2 (Deluxe)",2013-09-27,11:28,31,56,53,0,11,0,10,-9,C,4,2019-12-28,3nB82yGjtbQFSU0JLAwLRH,"RCA Records Label",8B,USRC11301024
2,"Bad and Boujee (feat. Lil Uzi Vert)","Migos,Lil Uzi Vert",8,127,"trap, melodic rap","Hip Hop","Culture",2017-04-07,05:43,93,67,6,0,17,20,10,-5,B,4,2019-11-22,4Km5HrUvYTaSUfiSGPJeQR,"Quality Control Music",1B,QMCE31600796
3,"Holy Grail","JAY-Z,Justin Timberlake",65,145,"hip hop, east coast hip hop, rap, ","Hip Hop","Magna Carta... Holy Grail",2013-07-04,05:38,68,53,6,0,16,0,20,-7,D minor,4,2019-12-28,1q9bLSeIlGf2xBvbOkp2Wr,"Roc Nation / Jay-Z",7A,QMJMT1300025
4,"Mercy","Kanye West,Big Sean,Pusha T,2 Chainz",72,140,"rap, southern hip hop","Hip Hop","Mercy",2012-01-01,05:29,56,50,7,0,43,40,10,-9,F#/G♭ minor,4,2019-12-28,4qikXelSRKvoCqFcHLB2H2,"Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",11A,USUM71203564
5,"Redbone","Childish Gambino",6,160,"",""," Awaken, My Love! ",2016-12-02,05:26,74,34,17,1,58,10,10,-11,C♯/D♭,4,2019-12-28,0wXuerDYiBnERgIpbb3JBR,"Glassnote Entertainment Group LLC",3B,USYAH1600107
6,"Suit & Tie (feat. JAY-Z)","Justin Timberlake,JAY-Z",71,102,"hip hop, east coast hip hop, rap","Hip Hop","The 20/20 Experience (Deluxe Version)",2013-03-15,05:26,80,60,10,0,36,20,10,-4,B minor,4,2019-12-28,6vt0I1cw1YmAIKDJvHVIM5,"RCA Records Label",10A,USRC11300004
7,"Drunk in Love (feat. JAY-Z)","Beyoncé,JAY-Z",75,140,"hip hop, east coast hip hop, rap","Hip Hop","BEYONCÉ [Platinum Edition]",2014-11-24,05:23,58,62,1,0,40,0,10,-7,F minor,4,2019-12-28,6jG2YzhxptolDzLHTGLt7S,"Parkwood Entertainment/Columbia",4A,USSM11307800
8,"The Edge Of Glory","Lady Gaga",67,128,"art pop, pop","Pop","Born This Way",2011-01-01,05:20,58,77,0,2,36,0,10,-7,A,4,2019-12-28,0JNdS1n0ifOP25XvhwAMgM,"Interscope",11B,USUM71106458
9,"Same Love (feat. Mary Lambert)","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Mary Lambert",62,85,"","","The Heist",2012-10-09,05:18,69,47,72,0,30,10,10,-9,G#/A♭,4,2019-12-28,01uqI4H13Gsd8Lyl1EYd8H,"Macklemore",4B,GMM881200024
10,"Low Life (feat. The Weeknd)","Future,The Weeknd",86,144,"rap, ","Hip Hop","EVOL",2016-04-13,05:13,72,33,34,28,10,0,10,-8,G#/A♭,4,2019-12-28,7EiZI6JVHllARrX9PUvAdX,"Epic/Freebandz/A1",4B,USSM11600557
