Song,Artist,Popularity,BPM,Genres,Parent Genres,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Camelot,Artist_Clean,Song_Clean
Murder On The Dancefloor,Sophie Ellis-Bextor,2,117,,,03:50,73,85,0,0,86,0,30,-5,C♯/D♭ minor,4,12A,Sophie Ellis-Bextor,Murder On The Dancefloor
Dog Days Are Over,Florence + The Machine,83,150,baroque pop,"Classical, Pop",04:12,50,81,3,1,26,0,10,-5,G,4,9B,Florence + The Machine,Dog Days Are Over
Say It Right,Nelly Furtado,84,117,,,03:43,87,87,5,0,81,10,0,-6,C♯/D♭,4,3B,Nelly Furtado,Say It Right
Where Is The Love?,Black Eyed Peas,3,94,,,04:32,83,70,11,0,80,20,10,-3,F,4,7B,Black Eyed Peas,Where Is The Love?
Walking On A Dream,Empire Of The Sun,87,127,,,03:18,87,70,26,0,72,0,0,-6,F minor,4,4A,Empire Of The Sun,Walking On A Dream
Just Dance,"Lady Gaga,Colby O'Donis",87,119,"art pop, pop, ",Pop,04:01,82,74,3,0,75,0,10,-5,C♯/D♭ minor,4,12A,Lady Gaga,Just Dance
So Sick,Ne-Yo,81,93,,,03:27,45,57,25,0,58,30,10,-8,F#/G♭,4,2B,Ne-Yo,So Sick
You've Got The Love,Florence + The Machine,80,110,baroque pop,"Classical, Pop",02:48,57,69,0,0,40,0,10,-5,F#/G♭,4,2B,Florence + The Machine,You've Got The Love
Winter Wind,Roberto Bocchetti,16,144,,,02:39,72,66,2,18,50,0,10,-10,F#/G♭,4,2B,Roberto Bocchetti,Winter Wind
Love,Keyshia Cole,84,117,r&b,R&B,04:15,69,52,6,0,31,0,10,-4,F,4,7B,Keyshia Cole,Love
Track for Luigi,Disintegration C.E.,18,126,,,04:34,83,72,11,0,52,0,30,-8,G,4,9B,Disintegration C.E.,Track for Luigi
Young Folks,Peter Bjorn and John,81,138,indie,"Pop, Rock",04:36,70,81,2,0,66,0,10,-6,C,4,8B,Peter Bjorn and John,Young Folks
Bananza (Belly Dancer),Akon,0,105,,,03:58,88,70,3,0,67,10,70,-6,A#/B♭ minor,4,3A,Akon,Bananza (Belly Dancer)
Летний вечер,Olga Neff,22,130,,,03:56,95,48,12,10,96,0,10,-10,D minor,4,7A,Olga Neff,Летний вечер
Family Affair,Mary J. Blige,83,93,r&b,R&B,04:25,91,55,13,0,97,0,0,-4,G#/A♭ minor,4,1A,Mary J. Blige,Family Affair
Wanna Dance,BRUNSWICK,29,174,,,02:56,62,96,0,71,23,0,0,-2,B,4,1B,BRUNSWICK,Wanna Dance
Drop It Like It's Hot,"Snoop Dogg,Pharrell Williams",3,92,"g-funk, west coast hip hop, gangster rap, hip hop, rap, ","Hip Hop, R&B",04:26,89,63,17,0,68,20,10,-4,C♯/D♭,4,3B,Snoop Dogg,Drop It Like It's Hot
Mr. Brightside,The Killers,8,148,alternative rock,Rock,03:42,35,93,0,0,24,0,10,-4,C♯/D♭,4,3B,The Killers,Mr. Brightside
Fair,WiLL,33,94,,,02:57,55,53,20,0,55,0,10,-7,F minor,4,4A,WiLL,Fair
Promiscuous,"Nelly Furtado,Timbaland",88,114,,,04:02,81,97,6,0,87,0,10,-6,A#/B♭ minor,4,3A,Nelly Furtado,Promiscuous
South of Monterey,Jas Stewart,8,105,,,04:06,67,66,50,2,53,0,10,-8,E,4,12B,Jas Stewart,South of Monterey
Always On Time,"Ja Rule,Ashanti",11,97,"east coast hip hop, r&b","Hip Hop, R&B",04:05,84,71,21,0,84,20,20,-6,F minor,4,4A,Ja Rule,Always On Time
Because Of You,Ne-Yo,79,110,,,04:26,81,54,53,0,83,0,10,-6,C minor,4,5A,Ne-Yo,Because Of You
Tell Me,"Monika Talach,Nino Chill",28,194,,,02:57,74,63,66,0,82,30,10,-4,A#/B♭ minor,4,3A,Monika Talach,Tell Me
Dynamite,Taio Cruz,78,120,,,03:22,75,78,0,0,81,0,0,-4,E,4,12B,Taio Cruz,Dynamite
"I'm Hella Down, Bro",Apollo A.i Nation,14,150,,,02:56,57,75,0,2,18,0,70,-10,B minor,4,10A,Apollo A.i Nation,"I'm Hella Down, Bro"
She Will Be Loved - Radio Mix,Maroon 5,86,102,pop,Pop,04:19,65,66,23,0,47,0,10,-6,C minor,4,5A,Maroon 5,She Will Be Loved
Dangerous,"Kardinal Offishall,Akon",79,117,,,04:06,95,79,0,0,81,0,0,-6,G#/A♭,4,4B,Kardinal Offishall,Dangerous
Summertime,Olga Neff,21,127,,,03:20,76,31,55,23,91,0,10,-14,F#/G♭ minor,4,11A,Olga Neff,Summertime
The Sweet Escape,"Gwen Stefani,Akon",76,120,,,04:06,76,77,19,0,73,0,10,-4,C♯/D♭,4,3B,Gwen Stefani,The Sweet Escape
Flakey Fakes,space electronic disco,8,124,,,02:36,70,64,3,4,82,0,20,-7,C,4,8B,space electronic disco,Flakey Fakes
Umbrella,"Rihanna,JAY-Z",69,174,"hip hop, east coast hip hop, rap",Hip Hop,04:35,58,83,1,0,55,10,0,-5,C♯/D♭,4,3B,Rihanna,Umbrella
Party In The U.S.A.,Miley Cyrus,84,96,,,03:22,65,70,0,0,47,0,0,-5,A#/B♭ minor,4,3A,Miley Cyrus,Party In The U.S.A.
LetUGo,Jordan Xiro,18,90,,,03:33,68,68,41,0,34,0,10,-6,A#/B♭,4,6B,Jordan Xiro,LetUGo
The Real Slim Shady,Eminem,87,105,"rap, hip hop",Hip Hop,04:44,95,66,3,0,76,0,0,-4,F minor,4,4A,Eminem,The Real Slim Shady
Stay,"Chip Pirrs,bina",21,121,,,03:02,68,63,0,0,44,0,10,-8,C,4,8B,Chip Pirrs,Stay
Empire State Of Mind,"JAY-Z,Alicia Keys",85,174,"hip hop, east coast hip hop, rap, r&b, neo soul","Hip Hop, R&B",04:36,49,96,3,0,81,30,40,-2,B,4,1B,JAY-Z,Empire State Of Mind
I Kissed A Girl,Katy Perry,74,130,pop,Pop,02:59,70,76,0,0,70,0,10,-3,F,4,7B,Katy Perry,I Kissed A Girl
Barely Alive,Scott Hopkins,16,121,,,03:36,58,74,0,0,63,0,20,-8,D,4,10B,Scott Hopkins,Barely Alive
Bad Bitches,DaKid dipuo,33,158,,,02:25,68,52,15,0,40,10,10,-13,B minor,4,10A,DaKid dipuo,Bad Bitches
Dilemma,"Nelly,Kelly Rowland",3,168,,,04:49,73,55,18,0,61,10,20,-8,D minor,4,7A,Nelly,Dilemma
Ring of Fire,Christel Golden,14,129,,,03:55,54,17,91,0,19,0,10,-12,G,4,9B,Christel Golden,Ring of Fire
It Wasn't Me,"Shaggy,Rik Rok",0,95,"reggae, dancehall, riddim, lovers rock, ragga","Reggae, Hip Hop, Electronic",03:47,85,62,5,0,69,0,30,-5,C,4,8B,Shaggy,It Wasn't Me
Fergalicious,"Fergie,will.i.am",62,129,,,04:52,91,58,6,0,83,30,10,-8,G#/A♭ minor,4,1A,Fergie,Fergalicious
Sway,Spiral Core,31,105,,,03:18,65,81,0,61,16,0,20,-8,G,4,9B,Spiral Core,Sway
A Thousand Miles,Vanessa Carlton,80,95,,,03:57,56,83,32,0,27,0,10,-4,B,4,1B,Vanessa Carlton,A Thousand Miles
When I'm Gone or Left,Emcee Rapper,15,170,,,03:48,58,54,12,0,18,20,10,-10,B,4,1B,Emcee Rapper,When I'm Gone or Left
Love Story (Taylor’s Version),Taylor Swift,79,119,,,03:55,63,79,13,0,42,0,0,-4,D,4,10B,Taylor Swift,Love Story (Taylor’s Version)
Foolish,Ashanti,77,90,r&b,R&B,03:47,67,70,35,0,71,0,10,-6,C,4,8B,Ashanti,Foolish
Atlantic Brothers,Disintegration C.E.,20,126,,,05:04,81,84,1,34,53,0,10,-7,C♯/D♭,4,3B,Disintegration C.E.,Atlantic Brothers
Put Your Records On,Corinne Bailey Rae,82,96,,,03:35,74,51,17,0,54,0,10,-8,A,4,11B,Corinne Bailey Rae,Put Your Records On
"The Good, The Bad, and The Beautiful",B$nkPsy,14,100,,,02:45,91,36,32,0,92,10,0,-14,F#/G♭ minor,4,11A,B$nkPsy,"The Good, The Bad, and The Beautiful"
Naive,The Kooks,79,101,"indie, indie rock","Pop, Rock",03:23,39,81,8,0,74,0,10,-6,G#/A♭ minor,4,1A,The Kooks,Naive
Apologize,OneRepublic,54,118,soft pop,Pop,03:28,59,74,36,0,50,0,10,-6,G#/A♭,4,4B,OneRepublic,Apologize
Rooted Wings,Engare,14,96,,,02:44,80,75,1,3,58,10,30,-8,D,4,10B,Engare,Rooted Wings
Hey There Delilah,Plain White T's,81,104,,,03:52,66,29,87,0,30,0,10,-11,D,4,10B,Plain White T's,Hey There Delilah
Valjean (Pay-A-Debt),Disintegration C.E.,17,126,,,05:16,80,76,3,19,97,0,0,-9,A,4,11B,Disintegration C.E.,Valjean (Pay-A-Debt)
Scar,Missy Higgins,58,92,,,03:33,65,79,38,0,83,0,20,-6,C,4,8B,Missy Higgins,Scar
Bubbly,Colbie Caillat,75,128,,,03:16,69,48,59,0,26,0,10,-7,A,4,11B,Colbie Caillat,Bubbly
"Fly, Fly Away",Eddy Mann,6,112,"ccm, christian folk, cedm, christian pop","Christian, Electronic, Folk, Pop",04:17,71,59,2,5,79,0,10,-11,C,4,8B,Eddy Mann,"Fly, Fly Away"
Chasing Cars,Snow Patrol,9,104,,,04:27,56,59,21,0,14,0,10,-5,A,4,11B,Snow Patrol,Chasing Cars
The Darkness,"Blake Red,Nona Hendryx",13,171,post-disco,"Pop, R&B",03:12,40,90,0,0,26,10,10,-6,C♯/D♭,4,3B,Blake Red,The Darkness
Stacy's Mom,Fountains Of Wayne,78,118,power pop,"Pop, Rock",03:17,77,75,0,0,93,0,0,-5,B minor,4,10A,Fountains Of Wayne,Stacy's Mom
Bulletproof,La Roux,76,123,,,03:25,67,88,0,0,68,0,0,-3,D#/E♭ minor,4,2A,La Roux,Bulletproof
I'll Be Better,Joel McColl,14,83,,,05:28,64,53,9,0,44,0,0,-12,A,3,11B,Joel McColl,I'll Be Better
Grace Kelly,MIKA,74,122,,,03:07,68,83,2,1,67,0,30,-6,C,4,8B,MIKA,Grace Kelly
I Say So,JDot Pirelli,18,146,,,02:19,58,72,4,0,37,30,10,-8,F minor,4,4A,JDot Pirelli,I Say So
I Miss You,blink-182,73,110,"pop punk, punk, emo pop, rock, skate punk, emo","Rock, Pop",03:47,42,71,0,0,59,0,0,-8,B,4,1B,blink-182,I Miss You
All The Things She Said,t.A.T.u.,80,180,,,03:34,53,83,4,1,38,0,10,-6,F minor,4,4A,t.A.T.u.,All The Things She Said
Change Is Coming Soon,The Cravens,6,75,,,04:29,51,63,20,0,57,0,10,-7,A,4,11B,The Cravens,Change Is Coming Soon
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,74,200,"emo, pop punk, emo pop","Rock, Pop",03:32,44,89,0,0,41,0,0,-4,A,4,11B,Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
Better Together,Jack Johnson,77,110,surf rock,Rock,03:27,87,35,30,0,66,0,10,-9,F,4,7B,Jack Johnson,Better Together
Rehab,Amy Winehouse,67,72,,,03:33,43,87,5,0,73,0,40,-3,C,4,8B,Amy Winehouse,Rehab
My Mirror,Nita,19,140,,,03:08,52,81,0,0,41,0,30,-7,B minor,4,10A,Nita,My Mirror
Candy Shop,"50 Cent,Olivia",82,125,"east coast hip hop, ",Hip Hop,03:29,61,57,3,0,76,40,30,-8,B,5,1B,50 Cent,Candy Shop
Joker And The Thief,Wolfmother,60,155,stoner rock,Rock,04:40,26,78,5,2,46,0,30,-3,C,4,8B,Wolfmother,Joker And The Thief
Fireflies,Owl City,81,180,,,03:48,51,66,3,0,47,0,10,-7,D#/E♭,4,5B,Owl City,Fireflies
By Reason or By Force,"3rd Rate,Dez Cadena",12,90,,,02:09,48,93,2,0,50,10,20,-5,A#/B♭,4,6B,3rd Rate,By Reason or By Force
Whole Again,Atomic Kitten,66,94,,,03:05,75,71,8,0,57,0,10,-5,E,4,12B,Atomic Kitten,Whole Again
Estoy de Locos,Lily Fuster,30,160,,,02:45,58,70,3,36,50,0,10,-7,F,4,7B,Lily Fuster,Estoy de Locos
Touch The Sky,"Kanye West,Lupe Fiasco",77,99,"rap, ",Hip Hop,03:56,55,85,1,0,55,30,30,-5,A,1,11B,Kanye West,Touch The Sky
Akima,LUGJOY,16,130,,,02:51,78,94,2,34,68,0,0,-4,C minor,4,5A,LUGJOY,Akima
Breathless,The Corrs,74,127,celtic rock,Rock,03:27,61,82,5,0,77,0,20,-8,B,4,1B,The Corrs,Breathless
