Song,Artist,Genre Tags,Tag Source,lyrics
Sweet Dreams (Are Made of This) - 2005 Remaster,"Eurythmics,Annie Lennox,Dave Stewart","80s, pop, new wave, female vocalists, synth pop",track,
Smalltown Boy,Bronski Beat,"80s, new wave, synthpop, pop, synth pop",track,"To your soul
To your soul
Cry
Cry
Cry

You leave in the morning with everything you own in a little black case
Alone on a platform, the wind and the rain on a sad and lonely face

Mother will never understand why you had to leave
But the answers you seek will never be found at home
The love that you need will never be found at home

Run away, turn away, run away, turn away, run away
Run away, turn away, run away, turn away, run away (Oooh)

Pushed around and kicked around, always a lonely boy
You were the one that they'd talk about around town as they put you down

And as hard as they would try they'd hurt to make you cry
But you never cried to them, just to your soul
No, you never cried to them, just to your soul

Run away, turn away, run away, turn away, run away
(Crying to your soul, crying to your soul)
Run away, turn away, run away, turn away, run away
(Crying to your soul, crying to your soul)
Run away, turn away, run away, turn away, run away (Cry)
Run away, turn away, run away, turn away, run away

Cry, boy, cry
Cry, boy, cry
Cry, boy, cry, boy, cry
Cry, boy, cry, boy, cry
Cry, boy, cry, boy, cry
Cry, boy, cry, boy, cry
Cry, boy, cry, boy, cry
Cry, boy, cry, boy, cry
(Cry)

You leave in the morning with everything you own in a little black case
Alone on a platform, the wind and the rain on a sad and lonely face

Run away, turn away, run away, turn away, run away (Cry)
Run away, turn away, run away, turn away, run away (Cry)
Run away, turn away, run away, turn away, run away
(To your soul, to your soul)
Run away, turn away, run away, turn away, run away (Cry)
Run away, turn away, run away, turn away, run away (Cry)
Run away, turn away, run away, turn away, run away (To your soul)
Run away, turn away, run away, turn away, run away
(To your soul)"
I'm Still Standing,Elton John,"pop, 80s, elton john, rock, classic rock",track,"You could never know what it's like
Your blood, like winter, freezes just like ice
And there's a cold, lonely light that shines from you
You'll wind up like the wreck you hide behind that mask you use
And did you think this fool could never win?
Well, look at me, I'm a-comin' back again
I got a taste of love in a simple way
And if you need to know while I'm still standin', you just fade away

Don't you know, I'm still standin' better than I ever did?
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)

Once, I never coulda hoped to win
You're startin' down the road, leavin' me again
The threats you made were meant to cut me down
And if our love was just a circus, you'd be a clown by now

You know, I'm still standin' better than I ever did
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)


Don't you know that I'm still standin' better than I ever did?
Lookin' like a true survivor, feelin' like a little kid
And I'm still standin' after all this time
Pickin' up the pieces of my life without you on my mind

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)

I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)
I'm still standin' (Yeah, yeah, yeah)"
Funky Town,Lipps Inc.,"Disco, 80s, pop, 70s, dance",track,"Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'
Gotta move on
Gotta move on
Gotta move on


A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?


Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?


Gotta make a move to a town that's right for me
Town to keep me movin', keep me groovin' with some energy

Well, I talk about it, talk about it
Talk about it, talk about it
Talk about, talk about
Talk about movin'
Gotta move on
Gotta move on
Gotta move on


A-won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?


Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown?
Won't you take me to Funkytown, yeah?

Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
Won't you take me down to Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
(Won't you take me to) Funkytown?
Take me, won't you take me?
Take me, won't you take me?
Take me, (won't you take me) won't you take me?
Take me, (won't you take me) won't you take me?
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown
I wanna go (won't you take me) to Funkytown"
I'm So Excited,The Pointer Sisters,"80s, Disco, pop, dance, soul",track,"Tonight's the night we're gonna make it happen
Tonight, we'll put all other things aside
Give in this time and show me some affection
We're going for those pleasures in the night

I want to love you, feel you
Wrap myself around you
I want to squeeze you, please you
I just can't get enough
And if you move real slow, I'll let it go

I'm so excited, and I just can't hide it
I'm about to lose control, and I think I like it
I'm so excited, and I just can't hide it
And I know, I know, I know, I know
I know I want you

We shouldn't even think about tomorrow
Sweet memories will last a long, long time
We'll have a good time, baby, don't you worry
And if we're still playing 'round, boy, that's just fine

Let's get excited, we just can't hide it
I'm about to lose control and I think I like it
I'm so excited, and I just can't hide it
I know, I know, I know, I know
I know I want you, I want you, I want you


Oh boy, I want to love you, feel you
Honey, wrap myself around you
I want to squeeze you, please you
No, I just can't get enough
And if you move real slow, I'll let it go

I'm so excited, and I just can't hide it
I'm about to lose control and I think I like it
I'm so excited, and I just can't hide it
I know, I know, I know, I know
I know I want you, want you

I'm so excited (Look what you do to me)
And I just can't hide it (You’ve got me burning up)
I'm about to lose control and I think I like it (Oh, oh, oh, oh, ow!)
I'm so excited (How did you get to me?)
And I can't deny it (I’ve got to give it up)
I know (Oh, oh, oh, oh ow!)
I know I want you
I'm so excited (Look what you do to me)
Oh, boy (You’ve got me burning up)
Oh, oh, oh, oh, ow!
I'm so excited
(How did you get to me?)
Look at me (I’ve got to give it up)
Oh, oh, oh, oh ow!
I'm so excited
(Look what you do to me, you’ve got me burning up)
Oh, oh, oh, oh, ow!"
Cheri Cheri Lady,Modern Talking,"80s, Disco, pop, Modern Talking, dance",track,"Oh, I cannot explain
Every time, it's the same
Oh, I feel that it's real, take my heart
I've been lonely too long
Oh, I can't be so strong
Take a chance for romance, take my heart
I need you so
There's no time, I'll ever go

Cheri Cheri Lady, goin' through emotion
Love is where you find it, listen to your heart
Cheri Cheri Lady, livin' in devotion
It's always like the first time, let me take a part
Cheri Cheri Lady, like there's no tomorrow
Take my heart, don't lose it, listen to your heart
Cheri Cheri Lady, to know you is to love you
If you call me, baby, I'll be always yours

I get up, I get down
All my world turns around
Who is right? Who is wrong? I don't know
I've got pain in my heart, got a love in my soul
Easy come, but I think easy go
I need you so
All the times, I move so slow

Cheri Cheri Lady, goin' through emotion
Love is where you find it, listen to your heart
Cheri Cheri Lady, livin' in devotion
It's always like the first time, let me take a part
Cheri Cheri Lady, like there's no tomorrow
Take my heart, don't lose it, listen to your heart
Cheri Cheri Lady, to know you is to love you
If you call me, baby, I'll be always yours

Cheri Cheri Lady, like there's no tomorrow
Take my heart, don't lose it, listen to your heart
Cheri Cheri Lady, to know you is to love you
If you call me, baby, I'll be yours
Cheri Cheri Lady, like there's no tomorrow
Take my heart, don't lose it, listen to your heart
Cheri Cheri Lady, to know you is to love you
If you call me, baby, I'll be yours"
Give It Up,KC & The Sunshine Band,"Disco, 70s, 80s, pop, funk",track,"Everybody wants you
Everybody wants your love
I'd just like to make you mine, all mine

Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up
Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up

Everybody sees you
Everybody looks and stares
I'd just like to make you mine, all mine

Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up
Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up

Give it up

Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up
Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up

Everybody wants you
Everybody wants your love
I'd just like to make you mine, all mine

Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up
Na-na, na-na, na-na, na-na, na, na, now
Baby, give it up
Give it up
Baby, give it up

Can you give it, can you give it, give it up?
Come on, baby, I need your love
Give it up, give it up, baby
Give it up
Do you know I want it, baby?
Come on, baby, I want your love
Give it up, give it up, baby
Give it up
Give it up, some of your love
Come on and play the game of love
Give it up, give it up, baby
Give it up
Everybody is in need, give it up
Come on, baby, I need your love
Give it up, give it up, baby
Give it up
Can I touch you? Can I love you?
Come on, baby, baby, I love you
Give it up, give it up, baby
Give it up
Can you give it, give it up?
Come on, baby, give me your love
Give it up, give it up, baby
Give it up
Don't you know I want your love?
Come on, baby, I need your love
Give it up, give it up…"
It's Raining Men - Single Version,The Weather Girls,"Disco, 80s, pop, dance, female vocalists",track,"Hi! Hi! We're your weather girls
(Uh huh)
And have we got news for you!
You better listen
Get ready all you lonely girls
And leave those umbrellas at home
Alright

Humidity is rising (Mm rising), barometer's getting low (How low, girl?)
According to all sources (What sources now?)
The street's the place to go (You better hurry up)
'Cause tonight for the first time
Just about half-past ten
For the first time in history
It's gonna start raining men

It's raining men! Hallelujah!
It's raining men! Amen!
I'm gonna go out to run and let myself get
Absolutely soaking wet!
It's raining men! Hallelujah!
It's raining men! Every specimen!
Tall, blonde, dark and lean
Rough and tough and strong and mean

God bless Mother Nature, she's a single woman too
She took off to heaven and she did what she had to do
She taught every angel
She rearranged the sky
So that each and every woman could find her perfect guy
Oh, it's raining men, yeah

Humidity is rising, barometer's getting low (its getting low low low)
According to all sources, the street's the place to go (According to all sources)
'Cause tonight for the first time
Just about half-past ten (half-past ten)
For the first time in history
It's gonna start raining men (start raining men)

It's raining men! Hallelujah!
It's raining men! Amen!
It's raining men! Hallelujah!
It's raining men! Amen!
It's raining men! Hallelujah!
It's raining men! Amen!
It's raining men! Hallelujah!
It's raining men! Amen!
It's raining men! Hallelujah!
It's raining men! Amen!
It's raining men! Hallelujah!
It's raining men! Amen!
(Tall, blonde, dark and lean)
(Rough and tough and strong and mean)
She taught every angel
She rearranged the sky
(It's Raining Men! Hallelujah!)
(It's Raining Men! Hallelujah!)"
Take on Me,a-ha,"80s, pop, new wave, synthpop, synth pop",track,"We're talking away
No, I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shyin' away
I'll be comin' for your love, okay?

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two

So, needless to say
I'm odds and ends
But I'll be stumblin' away
Slowly learnin' that life is okay
Say after me
""It's no better to be safe than sorry""

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two


Oh, things that you say
Yeah, is it life or just to play
My worries away?
You're all the things I've got to remember
You're shyin' away
I'll be comin' for you anyway

Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day

(Take on me) (Take on me)
(Take me on) (Take on me)
I'll be gone (Take on me) (Take on me)
In a day (Take me on) (Take on me)
(Take on me) (Take on me)
(Take me on) (Take on me)
(Take on me)"
9 to 5,Dolly Parton,"country, 80s, female vocalists, pop, Dolly Parton",track,"Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way

Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet"
Holiday,Madonna,"pop, 80s, dance, Madonna, female vocalists",track,"Holiday
Celebrate
Holiday
Celebrate

If we took a holiday
Took some time to celebrate
Just one day out of life
It would be, it would be so nice

Everybody spread the word
We're gonna have a celebration
All across the world
In every nation

It's time for the good times
Forget about the bad times, oh, yeah
One day to come together to release the pressure
We need a holiday

If we took a holiday (Ooh, ooh-hoo-ooh)
Took some time to celebrate (Come on, let's celebrate)
Just one day out of life (Holiday)
It would be, it would be so nice

If we took a holiday (Oh, yeah, oh, yeah)
Took some time to celebrate (Come on, let's celebrate)
Just one day out of life (Just one day out of life)
It would be, it would be so nice

You can turn this world around
And bring back all of those happy days
Put your troubles down
It's time to celebrate

Let love shine
And we will find
A way to come together, it can make things better
We need a holiday

If we took a holiday (Holiday)
Took some time to celebrate (Come on, let's celebrate)
Just one day out of life (Just one day out of life)
It would be, it would be so nice

Oh, yeah, oh, yeah
Come on, let's celebrate
We have got to get together

Holiday
Celebrate
Holiday
Celebrate

If we took a holiday (Oh, yeah, oh, yeah)
Took some time to celebrate (Come on, let's celebrate)
Just one day out of life (Holiday)
It would be, it would be so nice

Holiday (Oh yeah, oh yeah)
Celebrate (Come on, let's celebrate)
Holiday (Just one day out of life)
Celebrate (It would be so nice)
(Holiday) Holiday, celebration
(Celebrate) Come together in every nation
(Holiday) Holiday, celebration
(Celebrate) Come together in every nation
(Holiday)
(Celebrate)
(Holiday)
(Celebrate)

(Holiday) We've got to get together
(Celebrate) Take some time to celebrate
(Holiday) Just one day out of life
(Celebrate) It would be so nice

(Holiday) Holiday, celebration
(Celebrate) Come together in every nation
(Holiday) Holiday, celebration
(Celebrate) Come together in every nation
(Holiday) Holiday"
I Love Rock 'N Roll,Joan Jett & the Blackhearts,"rock, 80s, classic rock, female vocalists, hard rock",track,"I saw him dancin' there by the record machine
I knew he musta been about seventeen
The beat was goin' strong
Playin' my favorite song

And I could tell it wouldn't be long
'Til he was with me, yeah, me
And I could tell it wouldn't be long
'Til he was with me, yeah, me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me

He smiled, so I got up and asked for his name
""That don't matter,"" he said, ""'cause it's all the same""
Said, ""Can I take you home where we can be alone?""

And next we were movin' on
He was with me, yeah, me
Next we were movin' on
He was with me, yeah, me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me


Said, ""Can I take you home where we can be alone?""
Next we were movin' on
He was with me, yeah, me
And we'll be movin' on and singin' that same old song
Yeah, with me, singin'

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me

I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with
I love rock 'n' roll
So put another dime in the jukebox, baby
I love rock 'n' roll
So come and take your time and dance with me"
Bette Davis Eyes,Kim Carnes,"80s, pop, female vocalists, rock, kim carnes",track,"Her hair is Harlow gold
Her lips sweet surprise
Her hands are never cold
She's got Bette Davis eyes

She'll turn her music on you
You won't have to think twice
She's pure as New York snow
She got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
She got Greta Garbo stand off sighs
She's got Bette Davis eyes

She'll let you take her home
It whets her appetite
She'll lay you on her throne
She got Bette Davis eyes

She'll take a tumble on you
Roll you like you were dice
Until you come up blue
She's got Bette Davis eyes

She'll expose you
When she snows you
Off your feet with the crumbs she throws you
She's ferocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

And she'll tease you
She'll unease you
All the better just to please you
She's precocious and she knows just
What it takes to make a pro blush
All the boys think she's a spy
She's got Bette Davis eyes

She'll tease you
She'll unease you
Just to please ya
She's got Bette Davis eyes
She'll expose you
When she snows you
She knows ya
She's got Bette Davis eyes"
Fame,Irene Cara,"80s, Disco, pop, Soundtrack, female vocalists",track,"Baby, look at me
And tell me what you see
You ain't seen the best of me yet
Give me time, I'll make you forget the rest

I got more in me
And you can set it free
I can catch the moon in my hands
Don't you know who I am?
Remember my name

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)

Baby hold me tight
'Cause you can make it right
You can shoot me straight to the top
Give me love and take all I've got to give

Baby I'll be tough
Too much is not enough
I can ride your heart til it breaks
Oooh I got what it takes

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember)

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my name

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)
Remember my name

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my...

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)

(Fame!)
I'm gonna make it to heaven
Light up the sky like a flame
(Fame!)
I'm gonna live forever
Baby, remember my...

(Remember, remember, remember, remember)
(Remember, remember, remember, remember)
(Remember my name)

(Fame!)
I'm gonna live forever
I'm gonna learn how to fly
(High!)
I feel it coming together
People will see me and cry
(Fame!)
I'm gonna make it to heaven..."
Self Control,Laura Branigan,"80s, pop, female vocalists, dance, Disco",track,"Oh, the night is my world
City light painted girl
In the day, nothing matters
It's the nighttime that flatters
In the night, no control
Through the wall something's breaking
Wearing white as you're walkin'
Down the street of my soul

You take my self, you take my self control
You got me livin' only for the night
Before the morning comes, the story's told
You take my self, you take my self control
Another night, another day goes by
I never stop myself to wonder why
You help me to forget to play my role
You take my self, you take my self control

I, I live among the creatures of the night
I haven't got the will to try and fight
Against a new tomorrow, so I guess I'll just believe it
That tomorrow never comes
A safe night (You take my self, you take my self control)
I'm living in the forest of a dream (You take my self, you take my self control)
I know the night is not as it would seem (You take my self, you take my self control)
I must believe in something, so I'll make myself believe it (You take my self, you take my self control)
This night will never go

Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh

Oh, the night is my world
City light painted girl
In the day, nothing matters
It's the nighttime that flatters

I, I live among the creatures of the night
I haven't got the will to try and fight
Against a new tomorrow, so I guess I'll just believe it
That tomorrow never comes
A safe night (You take my self, you take my self control)
I'm living in the forest of a dream (You take my self, you take my self control)
I know the night is not as it would seem (You take my self, you take my self control)
I must believe in something, so I'll make myself believe it (You take my self, you take my self control)
This night will never go

Oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh
Oh-oh-oh

You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)
You take my self, you take my self control (Oh-oh-oh, oh-oh-oh)"
Sisters Are Doin' It for Themselves,"Eurythmics,Annie Lennox,Dave Stewart,Aretha Franklin","80s, pop, new wave, rock, female vocalists",track,
Englishman In New York,Sting,"80s, sting, rock, pop, classic rock",track,"I don't drink coffee, I'll take tea my dear
I like my toast done on one side
And you can hear it in my accent when I talk
I'm an Englishman in New York

See me walking down Fifth Avenue
A walking cane here at my side
I take it everywhere I walk
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say

Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Modesty, propriety, can lead to notoriety
You could end up as the only one
Gentleness, sobriety are rare in this society
At night a candle's brighter than the sun


Takes more than combat gear to make a man
Takes more than a license for a gun
Confront your enemies, avoid them when you can
A gentleman will walk but never run

If ""manners maketh man"" as someone said
Then he's the hero of the day
It takes a man to suffer ignorance and smile
Be yourself, no matter what they say
Be yourself, no matter what they say
Be yourself, no matter what they say

Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York
Whoa
(Be yourself, no matter what they say)
I'm an alien, I'm a legal alien
I'm an Englishman in New York

Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
Whoa
I'm an Englishman in New York
Whoa
I'm an alien, I'm a legal alien
(Be yourself, no matter what they say)
I'm an Englishman in New York"
