Test Song Title,Test Artist,Recommended Song Title,Recommended Artist
BIRDS OF A FEATHER,Billie Eilish,WILDFLOWER,Billie Eilish
Die With A Smile,"Lady Gaga,Bruno Mars","Good Luck, Babe!",Chappell Roan
WILDFLOWER,Billie Eilish,"Good Luck, Babe!",Chappell Roan
back to friends,sombr,Yellow,Coldplay
"Good Luck, Babe!",Chappell Roan,NOKIA,Drake
undressed,sombr,I Wanna Be Yours,Arctic Monkeys
NOKIA,Drake,Beautiful Things,Benson Boone
Not Like Us,Kendrick Lamar,Beautiful Things,Benson Boone
I Wanna Be Yours,Arctic Monkeys,Sailor Song,Gigi Perez
Sailor Song,Gigi Perez,No One Noticed,The Marías
Yellow,Coldplay,Creep,Radiohead
Beautiful Things,Benson Boone,Blinding Lights,The Weeknd
Anxiety,Doechii,End of Beginning,Djo
No One Noticed,The Marías,Anxiety,Doechii
Lose Control,Teddy Swims,Cruel Summer,Taylor Swift
Every Breath You Take,The Police,greedy,Tate McRae
Creep,Radiohead,In the End,Linkin Park
The Night We Met,Lord Huron,Messy,Lola Young
End of Beginning,Djo,Messy,Lola Young
party 4 u,Charli xcx,A Sky Full of Stars,Coldplay
Blinding Lights,The Weeknd,Cruel Summer,Taylor Swift
Cruel Summer,Taylor Swift,Locked out of Heaven,Bruno Mars
In the End,Linkin Park,Viva La Vida,Coldplay
greedy,Tate McRae,Espresso,Sabrina Carpenter
As It Was,Harry Styles,Heat Waves,Glass Animals
Messy,Lola Young,No. 1 Party Anthem,Arctic Monkeys
Espresso,Sabrina Carpenter,greedy,Tate McRae
APT.,"ROSÉ,Bruno Mars",Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean"
Snooze,SZA,Pink + White,Frank Ocean
Numb,Linkin Park,A Sky Full of Stars,Coldplay
Viva La Vida,Coldplay,Clocks,Coldplay
Pink + White,Frank Ocean,Snooze,SZA
Locked out of Heaven,Bruno Mars,Unwritten,Natasha Bedingfield
No. 1 Party Anthem,Arctic Monkeys,Do I Wanna Know?,Arctic Monkeys
Unwritten,Natasha Bedingfield,we can't be friends (wait for your love),Ariana Grande
The Scientist,Coldplay,Sparks,Coldplay
A Sky Full of Stars,Coldplay,Numb,Linkin Park
Heat Waves,Glass Animals,Pink Pony Club,Chappell Roan
Sparks,Coldplay,The Scientist,Coldplay
We Are The People,Empire Of The Sun,Cinnamon Girl,Lana Del Rey
Without Me,Eminem,goosebumps,Travis Scott
Hips Don't Lie (feat. Wyclef Jean),"Shakira,Wyclef Jean",Sports car,Tate McRae
Take on Me,a-ha,Sports car,Tate McRae
Here With Me,d4vd,My Love Mine All Mine,Mitski
Africa,TOTO,Back In Black,AC/DC
My Love Mine All Mine,Mitski,Here With Me,d4vd
Everybody Wants To Rule The World,Tears For Fears,Save Your Tears,The Weeknd
we can't be friends (wait for your love),Ariana Grande,Save Your Tears,The Weeknd
Another Love,Tom Odell,Softcore,The Neighbourhood
Sports car,Tate McRae,Time of Our Lives,"Pitbull,Ne-Yo"
Pink Pony Club,Chappell Roan,Shut Up and Dance,WALK THE MOON
Do I Wanna Know?,Arctic Monkeys,Circles,Post Malone
Lovers Rock,TV Girl,Softcore,The Neighbourhood
Bring Me To Life,Evanescence,Chop Suey!,System Of A Down
Shut Up and Dance,WALK THE MOON,Romantic Homicide,d4vd
Thunderstruck,AC/DC,Back In Black,AC/DC
Cry For Me,The Weeknd,Clocks,Coldplay
Romantic Homicide,d4vd,Shut Up and Dance,WALK THE MOON
Circles,Post Malone,Shut Up and Dance,WALK THE MOON
Stick Season,Noah Kahan,The Less I Know The Better,Tame Impala
White Ferrari,Frank Ocean,Thinkin Bout You,Frank Ocean
Clocks,Coldplay,Losing My Religion,R.E.M.
The Less I Know The Better,Tame Impala,Walking On A Dream,Empire Of The Sun
MILLION DOLLAR BABY,Tommy Richman,Sure Thing,Miguel
Chop Suey!,System Of A Down,Sign of the Times,Harry Styles
Austin (Boots Stop Workin'),Dasha,A Bar Song (Tipsy),Shaboozey
Save Your Tears,The Weeknd,Adventure of a Lifetime,Coldplay
Cinnamon Girl,Lana Del Rey,Say Yes To Heaven,Lana Del Rey
How You Remind Me,Nickelback,Fix You,Coldplay
Fix You,Coldplay,How You Remind Me,Nickelback
A Bar Song (Tipsy),Shaboozey,Austin (Boots Stop Workin'),Dasha
Softcore,The Neighbourhood,Say Yes To Heaven,Lana Del Rey
Adventure of a Lifetime,Coldplay,Too Sweet,Hozier
Gangsta's Paradise,"Coolio,L.V.",Sundress,A$AP Rocky
Love Somebody,Morgan Wallen,You Should Probably Leave,Chris Stapleton
Can't Stop,Red Hot Chili Peppers,Under the Bridge,Red Hot Chili Peppers
Heather,Conan Gray,drivers license,Olivia Rodrigo
Back In Black,AC/DC,Thunderstruck,AC/DC
"Hey, Soul Sister",Train,Time of Our Lives,"Pitbull,Ne-Yo"
Feather,Sabrina Carpenter,Don't Stop The Music,Rihanna
drivers license,Olivia Rodrigo,Heather,Conan Gray
Thinkin Bout You,Frank Ocean,White Ferrari,Frank Ocean
Time of Our Lives,"Pitbull,Ne-Yo",Too Sweet,Hozier
DJ Got Us Fallin' In Love (feat. Pitbull),"USHER,Pitbull",Feather,Sabrina Carpenter
Too Sweet,Hozier,Time of Our Lives,"Pitbull,Ne-Yo"
Something in the Orange,Zach Bryan,Cowgirls (feat. ERNEST),"Morgan Wallen,ERNEST"
Losing My Religion,R.E.M.,Californication,Red Hot Chili Peppers
Toxic,Britney Spears,Confident,"Justin Bieber,Chance the Rapper"
deja vu,Olivia Rodrigo,Nobody Gets Me,SZA
Water,Tyla,Sure Thing,Miguel
Fade Into You,Mazzy Star,deja vu,Olivia Rodrigo
Kiss Me,Sixpence None The Richer,We Found Love,"Rihanna,Calvin Harris"
goosebumps,Travis Scott,Till I Collapse,"Eminem,Nate Dogg"
Sign of the Times,Harry Styles,Have You Ever Seen The Rain,Creedence Clearwater Revival
Have You Ever Seen The Rain,Creedence Clearwater Revival,I Was Made For Lovin' You,KISS
Sundress,A$AP Rocky,Till I Collapse,"Eminem,Nate Dogg"
Californication,Red Hot Chili Peppers,Seven Nation Army,The White Stripes
Highway to Hell,AC/DC,Dancing In the Dark,Bruce Springsteen
Walking On A Dream,Empire Of The Sun,the perfect pair,beabadoobee
Toxicity,System Of A Down,Break Stuff,Limp Bizkit
