Artist,Song,Key,BPM,Camelot,Popularity,Energy,Danceability,Hapiness
21 Savage,ball w/o you,A♭ Major,138,4B,80,63,89,46
21 Savage,can't leave without it,F# Minor,132,11A,74,59,87,70
"21 Savage, Metro Boomin",Glock In My Lap,B♭ Minor,130,3A,80,73,85,20
"21 Savage, Metro Boomin",Feel It,C# Minor,150,12A,49,45,76,30
22Gz,Retaliation,B Major,142,1B,55,68,92,49
22Gz,"Suburban, Pt. 2",B Major,144,1B,62,57,83,54
24kGoldn,MY BED,C Major,128,8B,35,55,73,60
24kGoldn,VALENTINO,A Minor,151,8A,69,72,75,52
"24kGoldn, iann dior",Mood (feat. iann dior),G Minor,91,6A,80,72,70,73
"2Scratch, Lox Chatterbox",Superlife,A♭ Major,148,4B,54,57,63,16
3 Doors Down,It's Not My Time,C Major,128,8B,48,93,53,28
"3 Doors Down, Jack Joseph Puig",Let Me Go,C# Minor,92,12A,64,86,48,49
347aidan,MEMORIES!,A Major,155,11B,71,38,84,31
347aidan,Demons and Monsters,A Minor,81,8A,60,32,78,41
"347aidan, Kenny Beats",IDWK,A Major,140,11B,53,31,85,73
38 Special,Caught Up In You,C# Minor,131,12A,68,68,43,93
"3OH!3, Katy Perry, Matt Squire",STARSTRUKK (feat. Katy Perry),B Minor,140,10A,68,81,61,23
3xbravo,I Luv Dat,D Minor,83,7A,40,44,63,51
"41, Kyle Richh, Jenn Carter, TaTa","Bent (with Kyle Richh, Jenn Carter & TaTa)",D Major,124,10B,71,63,85,25
42 Dugg,Bestfriends,D Major,94,10B,67,70,82,45
"42 Dugg, EST Gee",Everybody Shooters Too,C# Major,188,3B,65,45,60,41
44phantom,gray!,C Major,118,8B,38,69,79,64
49 Winchester,Russell County Line,D Major,95,10B,67,32,65,39
5 Seconds of Summer,She Looks So Perfect,A Major,160,11B,75,95,49,44
5 Seconds of Summer,Ghost Of You,B♭ Major,150,6B,72,56,46,21
50 Cent,Get Up,B Minor,92,10A,57,89,71,41
50 Cent,Hustler's Ambition,G Major,88,9B,52,76,66,66
6ix9ine,WAIT,D Major,138,10B,41,79,77,59
6ix9ine,GUMMO,B♭ Minor,78,3A,66,77,69,67
"6ix9ine, A Boogie Wit da Hoodie",WAKA (feat. A Boogie Wit da Hoodie),G Minor,97,6A,59,81,77,63
"6ix9ine, Kanye West, Nicki Minaj",MAMA (feat. Nicki Minaj & Kanye West),C# Major,160,3B,57,66,76,44
6LACK,PRBLMS,A Major,69,11B,71,58,42,14
6VIB3Z,In Due Time,A Major,160,11B,16,52,55,30
"7981 Kal, Polo G",FTG,F Minor,174,4A,33,60,48,45
80purppp,Hex,F Major,110,7B,81,40,85,49
"88rising, Joji, Don Krez",Breathe,G Major,113,9B,55,52,54,8
8TURN,TIC TAC,D Major,89,10B,51,94,73,77
916frosty,FRIDAY,B♭ Minor,92,3A,48,69,41,45
9lokknine,10 Percent,B Major,90,1B,57,59,78,41
"A Boogie Wit da Hoodie, Juice WRLD",Demons and Angels (feat. Juice WRLD),D Minor,77,7A,68,55,81,18
A Flock Of Seagulls,I Ran (So Far Away) - Single Edit,D Major,146,10B,66,77,51,64
"A$AP ANT, A$AP Rocky",The God Hour,C Major,130,8B,56,71,78,39
A$AP Ferg,Floor Seats,F Major,136,7B,60,73,71,68
A$AP Rocky,Sundress,F# Major,125,2B,87,71,72,74
A$AP Rocky,Lord Pretty Flacko Jodye 2 (LPFJ2),F# Major,208,2B,75,72,49,5
Aaron May,"I'm Good Luv, Enjoy.",B Major,130,1B,73,59,89,95
Aaron May,Cream,C# Major,170,3B,65,37,87,75
Aaron May,No Recognition,D Major,119,10B,65,45,72,75
Aaron May,Let Go,A Minor,110,8A,77,50,87,69
ABBA,Chiquitita,A Major,84,11B,77,55,50,37
ABBA,Dancing Queen,A Major,101,11B,87,87,54,75
ABBA,Take A Chance On Me,B Major,107,1B,79,68,68,92
Abel Zavala,Listo Para Nuestro Encuentro,C# Major,115,3B,57,24,45,20
"Ace DJ Xquisite, Zaki Amujei",Dorime - Amapiano Version,C# Major,115,3B,23,64,93,76
Addison Rae,Diet Pepsi,B♭ Major,150,6B,87,56,67,84
"Addison Rae, Charli xcx",2 die 4 (feat. Charli XCX),B♭ Minor,105,3A,65,59,86,43
Adele,Chasing Pavements,F Minor,80,4A,78,47,62,33
Aerosmith,Dream On,C# Major,78,3B,85,48,39,23
"AFTER, Milo j, Akim 88",No Estoy,G Major,120,9B,63,66,83,70
Agust D,Haegeum,G Major,85,9B,87,84,70,83
"Agust D, NiiHWA",28 (feat. NiiHWA),A Minor,120,8A,64,65,68,35
Aidan Bissett,More Than Friends,F# Major,160,2B,64,66,56,67
"Aitch, AJ Tracey, Tay Keith",Rain,A Major,150,11B,66,87,87,83
AJ Mitchell,Used to Be,F Major,118,7B,50,46,47,21
Alan Walker,Alone,B♭ Major,97,6B,79,91,67,18
"Alan Walker, Dash Berlin, Vikkstar","Better Off (Alone, Pt. III)",A Minor,130,8A,78,69,51,38
"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander",All Falls Down (feat. Juliander),C# Major,98,3B,67,67,66,68
Alanis Morissette,Head over Feet - 2015 Remaster,C Major,80,8B,68,81,48,44
Albert Hammond,It Never Rains in Southern California,A Major,117,11B,70,56,63,92
Alec Benjamin,Let Me Down Slowly,C# Minor,150,12A,84,56,65,48
Alec Benjamin,If We Have Each Other,B♭ Minor,173,3A,77,58,66,86
"Alesso, Tove Lo",Heroes (we could be),F Major,126,7B,76,75,50,36
Alex & Sierra,Little Do You Know,C Major,146,8B,72,29,50,37
Alex Warren,Save You a Seat,F# Major,136,2B,65,47,59,33
Alexander 23,IDK You Yet,C# Major,77,3B,72,31,65,20
Alexander Stewart,echo,F Minor,128,4A,55,50,63,51
Alexandre Desplat,Courtyard Apocalypse,C# Major,93,3B,55,29,15,16
Alexis Ffrench,A Time of Wonder,E Minor,166,9A,55,19,29,22
Ali Gatie,It's You - Acoustic,B Minor,96,10A,47,22,82,58
Alice In Chains,We Die Young,C# Major,126,3B,69,94,49,53
Alice In Chains,I Stay Away,F# Major,81,2B,68,78,17,28
Alice In Chains,Would? (2022 Remaster),F# Major,100,2B,81,84,30,59
ALL(H)OURS,GIMME GIMME,C# Major,137,3B,55,94,67,61
Allstar Weekend,Not Your Birthday,G Major,129,9B,41,94,68,78
Aloe Blacc,Can You Do This,G Minor,155,6A,37,79,58,34
Alphaville,Forever Young,A Minor,137,8A,85,48,49,33
alt-J,In Cold Blood,B Minor,143,10A,55,75,49,58
alt-J,Something Good,G Major,109,9B,58,58,68,54
alt-J,Tessellate,D Major,117,10B,61,61,70,44
alt-J,Breezeblocks,F Major,150,7B,72,66,62,29
America,You Can Do Magic,E Minor,130,9A,71,57,86,94
"America, George Martin",Ventura Highway,D Major,131,10B,79,76,61,84
American Authors,Best Day Of My Life,D Major,100,10B,81,90,67,54
Aminé,REEL IT IN,B♭ Minor,129,3A,68,34,75,42
Amy Winehouse,Tears Dry On Their Own,C# Minor,122,12A,77,54,63,47
ancient heiakim,Darling.,G Major,170,9B,36,67,65,48
Anderson .Paak,Heart Don't Stand a Chance,G Major,94,9B,58,55,69,51
Andrea Vanzo,Spring,F Major,174,7B,62,6,17,31
"Andrew Spencer, Ron Rockwell",Axel F. - Radio Edit,E♭ Minor,126,2A,26,93,73,21
Andy Grammer,Don't Give Up On Me,C Minor,113,5A,81,54,64,7
Andy Grammer,Blame It On The Stars,G Major,119,9B,30,66,85,77
Andy Grammer,Miss Me,B Major,99,1B,36,79,53,26
Andy Grammer,Fine By Me,B Major,90,1B,63,79,58,88
"Andy Mineo, Lecrae",Coming in Hot,A♭ Major,140,4B,58,45,89,42
Angus & Julia Stone,Big Jet Plane,B♭ Minor,110,3A,62,38,77,26
"Anna Carter & Ed Hamilton, Dead Light",Trills,B Major,130,1B,26,41,34,23
"Anthony Keyrouz, Paradigm",Wake Me Up In Paris,B Minor,131,10A,67,82,71,36
Aqyila,Vibe for Me (Bob for Me),B♭ Minor,120,3A,46,72,70,58
"araabMUZIK, Cardi B",Red Barz,A Major,97,11B,45,92,84,69
Arcade Fire,Keep the Car Running,D Major,96,10B,54,90,47,28
Arcade Fire,Afterlife,B Major,116,1B,55,87,64,80
Arcade Fire,The Suburbs,F# Minor,118,11A,67,69,62,54
Architecture In Helsinki,Escapee,C# Major,111,3B,49,72,67,67
Aretha Franklin,I Say a Little Prayer,A Major,133,11B,78,36,59,50
Ariana Grande,"thank u, next",C# Major,107,3B,82,65,72,41
Ariana Grande,bloodline,D Minor,152,7A,80,67,76,64
Ariana Grande,Into You,A Major,108,11B,83,73,62,37
"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),A♭ Major,179,4B,82,45,60,54
"Ariana Grande, The Weeknd",Love Me Harder,C# Minor,99,12A,83,71,49,24
Arizona Zervas,ROXANNE,F# Minor,117,11A,76,60,62,46
Armand Van Helden,I Want Your Soul - Radio Edit,B♭ Minor,128,3A,36,91,66,80
Armani White,BILLIE EILISH.,F Minor,100,4A,68,53,90,76
"Armin van Buuren, Trevor Guthrie",This Is What It Feels Like,A♭ Major,130,4B,76,83,55,14
Artemas,if u think i'm pretty,A♭ Major,144,4B,80,62,54,46
Artemas,i like the way you kiss me,B Major,152,1B,78,95,60,75
"Ashanti, Nelly, Akon",Body On Me,G Minor,180,6A,69,62,66,74
Ashe,Moral of the Story,B♭ Major,120,6B,77,40,57,27
Ashnikko,Daisy,A♭ Major,122,4B,71,66,83,77
"Ashnikko, Hatsune Miku",Daisy 2.0 (feat. Hatsune Miku),B Major,131,1B,65,63,77,52
Astrid S,Hurts So Good,G Minor,120,6A,73,63,67,42
ATB,9 PM (Till I Come),A Minor,130,8A,48,92,67,79
Audioslave,Like a Stone,G Minor,108,6A,55,57,61,52
Audioslave,Shadow on the Sun,A Major,141,11B,34,66,33,29
AURORA,Queendom,C# Major,130,3B,56,54,35,20
AURORA,Cure For Me,F# Minor,116,11A,67,74,72,43
AURORA,Runaway,B Major,114,1B,79,30,42,12
Autumn!,Still the Same,A♭ Major,138,4B,62,52,69,10
Autumn!,Nina!,B Major,78,1B,51,68,50,66
Ava Max,Kings & Queens,C# Minor,130,12A,82,69,64,46
Ava Max,My Head & My Heart,A Minor,116,8A,75,93,61,44
Avaqe,die with you,A Major,132,11B,46,64,70,23
Avicii,Waiting For Love,F# Minor,128,11A,84,74,58,61
"Avicii, Aloe Blacc",SOS (feat. Aloe Blacc),F Minor,100,4A,75,65,80,38
"Avicii, Rita Ora",Lonely Together (feat. Rita Ora),F Major,103,7B,58,67,66,27
Avril Lavigne,What the Hell,F# Minor,150,11A,80,93,58,88
"Axwell /\ Ingrosso, Axwell, Sebastian Ingrosso",Dreamer,B♭ Major,126,6B,67,85,63,61
"AYLIVA, Ali Gatie",When I Cry (feat. Ali Gatie),A Minor,150,8A,54,66,55,22
"B.o.B, Bruno Mars",Nothing on You,B♭ Major,104,6B,71,80,55,38
"Baby Bash, Akon","Baby, I'm Back",A Minor,100,8A,65,39,90,77
Baby Keem,APOLOGIZE,F Minor,95,4A,63,43,76,9
"Baby Keem, Brent Faiyaz",lost souls (with Brent Faiyaz),C# Minor,170,12A,69,35,65,18
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),C# Major,134,3B,83,61,71,14
Bacilos,Perderme Contigo,C Major,104,8B,66,88,72,69
Bad Bunny,La Zona,C# Minor,94,12A,72,80,76,81
Bahari,Savage,E♭ Minor,98,2A,64,43,72,44
Bailey Zimmerman,New To Country,A♭ Minor,146,1A,68,93,57,92
Bailey Zimmerman,Where It Ends,A Major,170,11B,77,84,43,65
Bakar,"Right Here, for Now",C Major,130,8B,53,58,80,78
"Bakar, Dominic Fike",Stop Selling Her Drugs (feat. Dominic Fike),F Major,85,7B,60,28,85,76
Band of Horses,Is There A Ghost,C# Major,136,3B,59,84,30,14
Band of Horses,Our Swords,B Major,107,1B,58,79,64,35
Band of Horses,The Funeral,C Minor,122,5A,73,76,32,10
Bankrol Hayden,Rich Bitch,E Minor,176,9A,56,82,77,86
Bankrol Hayden,No Drama,C# Major,108,3B,55,66,94,84
BANNERS,Shine A Light,C Major,195,8B,59,80,32,10
Barenaked Ladies,One Week,A Major,113,11B,72,90,70,73
BARRY BILL,DIGITAL,A♭ Major,175,4B,10,61,46,12
Basshunter,Boten Anna - Radio edit,A Minor,140,8A,63,97,46,27
Bastille,Pompeii,A Major,127,11B,78,72,68,57
Bastille,Icarus,E Minor,135,9A,61,78,58,67
Bazzi,Mine,E Major,143,12B,75,79,71,72
Bazzi,Fantasy,F Minor,144,4A,72,67,70,31
Bazzi,Paradise,B Minor,122,10A,73,64,84,59
Bazzi,Myself,A Minor,196,8A,66,56,75,90
Bear Hands,Giants,C Major,184,8B,47,85,47,42
"Beatchild, Drake, hxzel",Share,A♭ Minor,94,1A,27,62,77,81
"Bebe Rexha, Doja Cat","Baby, I'm Jealous (feat. Doja Cat)",B Minor,98,10A,61,87,74,51
Beck,Gamma Ray,B Minor,168,10A,59,91,60,70
Beck,Girl,E♭ Major,149,5B,48,68,69,86
Beck,Go It Alone,C# Major,150,3B,54,39,87,52
Beck,Loser,D Major,85,10B,75,61,65,79
"Beck, Phoenix",Odyssey,F# Major,116,2B,45,78,70,89
Becky G,Shower,D Major,120,10B,80,53,70,12
Bee Gees,More Than A Woman,G Major,106,9B,79,68,63,70
Ben E. King,Stand By Me,A Major,119,11B,79,23,63,67
Ben Folds,Rockin' the Suburbs,C Major,95,8B,43,90,61,64
Ben Folds Five,Army,C# Major,175,3B,44,77,44,51
Ben Howard,Old Pine,F Major,130,7B,68,36,40,22
"benny blanco, Halsey, Khalid",Eastside (with Halsey & Khalid),F# Minor,90,11A,82,69,63,33
"benny blanco, Juice WRLD, Brendon Urie",Roses (with Juice WRLD feat. Brendon Urie),A♭ Major,147,4B,66,60,61,53
"Benny The Butcher, Black Thought",Crowns for Kings (Feat. Black Thought),G Major,88,9B,57,91,49,58
Benson Boone,Beautiful Things,B♭ Major,105,6B,92,47,47,22
Beyoncé,Halo,B Minor,78,10A,78,71,42,47
Beyoncé,Diva,F# Minor,146,11A,76,55,87,86
"Bhad Bhabie, Lil Baby",Geek'd (feat. Lil Baby),A Minor,164,8A,62,56,86,19
"Bhad Bhabie, Megan Thee Stallion",Bestie (feat. Megan Thee Stallion),C# Major,102,3B,47,66,90,68
"Big L, Fat Joe",The Enemy (feat. Fat Joe),B Major,174,1B,67,65,61,88
"Big Pun, Joe",Still Not a Player (feat. Joe) - Radio Version,E Minor,94,9A,76,62,90,87
Big Sean,Moves,D Major,76,10B,56,52,81,38
"Big Sean, Post Malone",Wolves (feat. Post Malone),D Major,160,10B,68,68,72,33
"Big Sean, TWENTY88",Same Time Pt. 1,C Minor,89,5A,43,49,66,72
Big Thief,Velvet Ring - 2023 Remaster,C Major,139,8B,79,40,32,28
Big Thief,Vampire Empire,A Major,131,11B,77,57,64,66
BigXthaPlug,Mmhmm,A Major,126,11B,83,68,93,96
BigXthaPlug,Safehouse,C# Minor,112,12A,71,43,97,38
BigXthaPlug,Levels,F Major,122,7B,82,56,80,50
"BigXthaPlug, Bailey Zimmerman",All The Way (feat. Bailey Zimmerman),C# Minor,135,12A,87,56,83,44
"BigXthaPlug, Big Yavo",Boy,C# Major,90,3B,69,70,60,70
Bill Withers,Ain't No Sunshine,E Minor,78,9A,83,42,53,52
Billie Eilish,I Didn't Change My Number,A Major,142,11B,76,48,85,68
Billie Eilish,goodbye,F# Minor,74,11A,71,14,15,5
Billie Eilish,SKINNY,A Major,70,11B,83,25,25,4
Billie Eilish,Therefore I Am,D Major,94,10B,76,37,88,66
"Billie Eilish, Khalid",lovely (with Khalid),E Minor,115,9A,89,30,35,12
"Billie Eilish, ROSALÍA",Lo Vas A Olvidar (with ROSALÍA),E Minor,135,9A,65,24,34,3
Billy Currington,Good Directions,F Major,122,7B,77,72,72,48
Billy Joel,Vienna,B♭ Major,125,6B,86,50,53,31
